Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ANDALAS,ANTROPOLOGI SOSIAL,S1,30,213,14.08
UNIVERSITAS CENDERAWASIH,ANTROPOLOGI SOSIAL,S1,24,5,100.0
UNIVERSITAS DIPONEGORO,ANTROPOLOGI SOSIAL,S1,30,425,7.06
UNIVERSITAS HALUOLEO,ANTROPOLOGI SOSIAL,S1,45,20,100.0
UNIVERSITAS HASANUDDIN,ANTROPOLOGI SOSIAL,S1,12,94,12.77
UNIVERSITAS INDONESIA,ANTROPOLOGI SOSIAL,S1,12,246,4.88
UNIVERSITAS KHAIRUN,ANTROPOLOGI SOSIAL,S1,12,19,63.16
UNIVERSITAS SAM RATULANGI,ANTROPOLOGI SOSIAL,S1,10,15,66.67
UNIVERSITAS SUMATERA UTARA,ANTROPOLOGI SOSIAL,S1,36,267,13.48
UNIVERSITAS TANJUNGPURA,ANTROPOLOGI SOSIAL,S1,27,41,65.85
