Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT PERTANIAN BOGOR,BIOLOGI,S1,40,460,8.7
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,BIOLOGI,S1,24,155,15.48
INSTITUT TEKNOLOGI SUMATERA,BIOLOGI,S1,44,126,34.92
UNIVERSITAS AIRLANGGA,BIOLOGI,S1,18,325,5.54
UNIVERSITAS ANDALAS,BIOLOGI,S1,36,221,16.29
UNIVERSITAS BANGKA BELITUNG,BIOLOGI,S1,20,57,35.09
UNIVERSITAS BENGKULU,BIOLOGI,S1,20,57,35.09
UNIVERSITAS BRAWIJAYA,BIOLOGI,S1,53,372,14.25
UNIVERSITAS CENDERAWASIH,BIOLOGI,S1,15,3,100.0
UNIVERSITAS DIPONEGORO,BIOLOGI,S1,47,441,10.66
UNIVERSITAS GADJAH MADA,BIOLOGI,S1,57,411,13.87
UNIVERSITAS HALUOLEO,BIOLOGI,S1,24,28,85.71
UNIVERSITAS HASANUDDIN,BIOLOGI,S1,22,201,10.95
UNIVERSITAS INDONESIA,BIOLOGI,S1,20,290,6.9
UNIVERSITAS ISLAM NEGERI AR-RANIRY,BIOLOGI,S1,9,56,16.07
UNIVERSITAS ISLAM NEGERI JAKARTA,BIOLOGI,S1,18,333,5.41
UNIVERSITAS ISLAM NEGERI MALANG,BIOLOGI,S1,60,280,21.43
UNIVERSITAS ISLAM NEGERI RADEN FATAH,BIOLOGI,S1,22,35,62.86
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,BIOLOGI,S1,35,93,37.63
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,BIOLOGI,S1,21,163,12.88
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,BIOLOGI,S1,27,376,7.18
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,BIOLOGI,S1,15,141,10.64
UNIVERSITAS ISLAM NEGERI WALISONGO,BIOLOGI,S1,27,109,24.77
UNIVERSITAS JAMBI,BIOLOGI,S1,20,40,50.0
UNIVERSITAS JEMBER,BIOLOGI,S1,32,228,14.04
UNIVERSITAS JENDERAL SOEDIRMAN,BIOLOGI,S1,45,426,10.56
UNIVERSITAS LAMBUNG MANGKURAT,BIOLOGI,S1,12,75,16.0
UNIVERSITAS LAMPUNG,BIOLOGI,S1,45,199,22.61
UNIVERSITAS MATARAM,BIOLOGI,S1,16,106,15.09
UNIVERSITAS MULAWARMAN,BIOLOGI,S1,32,123,26.02
UNIVERSITAS NEGERI GORONTALO,BIOLOGI,S1,25,32,78.12
UNIVERSITAS NEGERI JAKARTA,BIOLOGI,S1,20,300,6.67
UNIVERSITAS NEGERI MAKASSAR,BIOLOGI,S1,11,88,12.5
UNIVERSITAS NEGERI MALANG,BIOLOGI,S1,33,338,9.76
UNIVERSITAS NEGERI MEDAN,BIOLOGI,S1,30,264,11.36
UNIVERSITAS NEGERI SEMARANG,BIOLOGI,S1,24,365,6.58
UNIVERSITAS NEGERI SURABAYA,BIOLOGI,S1,18,307,5.86
UNIVERSITAS NEGERI YOGYAKARTA,BIOLOGI,S1,27,409,6.6
UNIVERSITAS NUSA CENDANA,BIOLOGI,S1,20,27,74.07
UNIVERSITAS PADJADJARAN,BIOLOGI,S1,36,443,8.13
UNIVERSITAS PALANGKARAYA,BIOLOGI,S1,15,23,65.22
UNIVERSITAS PAPUA,BIOLOGI,S1,21,5,100.0
UNIVERSITAS PATTIMURA,BIOLOGI,S1,37,27,100.0
UNIVERSITAS PENDIDIKAN GANESHA,BIOLOGI,S1,18,9,100.0
UNIVERSITAS PENDIDIKAN INDONESIA,BIOLOGI,S1,13,356,3.65
UNIVERSITAS RIAU,BIOLOGI,S1,36,241,14.94
UNIVERSITAS SAM RATULANGI,BIOLOGI,S1,18,28,64.29
UNIVERSITAS SAMUDRA,BIOLOGI,S1,16,19,84.21
UNIVERSITAS SEBELAS MARET,BIOLOGI,S1,18,285,6.32
UNIVERSITAS SRIWIJAYA,BIOLOGI,S1,24,165,14.55
UNIVERSITAS SUMATERA UTARA,BIOLOGI,S1,54,383,14.1
UNIVERSITAS SYIAH KUALA,BIOLOGI,S1,25,153,16.34
UNIVERSITAS TADULAKO,BIOLOGI,S1,10,32,31.25
UNIVERSITAS TANJUNGPURA,BIOLOGI,S1,34,101,33.66
UNIVERSITAS TIMOR,BIOLOGI,S1,20,1,100.0
UNIVERSITAS UDAYANA,BIOLOGI,S1,21,74,28.38
