Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BRAWIJAYA,BUDIDAYA PERAIRAN,S1,48,250,19.2
UNIVERSITAS HALUOLEO,BUDIDAYA PERAIRAN,S1,18,14,100.0
UNIVERSITAS HASANUDDIN,BUDIDAYA PERAIRAN,S1,20,132,15.15
UNIVERSITAS KHAIRUN,BUDIDAYA PERAIRAN,S1,15,3,100.0
UNIVERSITAS LAMBUNG MANGKURAT,BUDIDAYA PERAIRAN,S1,10,27,37.04
UNIVERSITAS LAMPUNG,BUDIDAYA PERAIRAN,S1,14,116,12.07
UNIVERSITAS MATARAM,BUDIDAYA PERAIRAN,S1,20,53,37.74
UNIVERSITAS NEGERI GORONTALO,BUDIDAYA PERAIRAN,S1,65,13,100.0
UNIVERSITAS PALANGKARAYA,BUDIDAYA PERAIRAN,S1,23,17,100.0
UNIVERSITAS PATTIMURA,BUDIDAYA PERAIRAN,S1,30,6,100.0
UNIVERSITAS RIAU,BUDIDAYA PERAIRAN,S1,36,146,24.66
UNIVERSITAS SAM RATULANGI,BUDIDAYA PERAIRAN,S1,10,6,100.0
UNIVERSITAS SAMUDRA,BUDIDAYA PERAIRAN,S1,32,25,100.0
UNIVERSITAS SRIWIJAYA,BUDIDAYA PERAIRAN,S1,20,80,25.0
UNIVERSITAS SULAWESI BARAT,BUDIDAYA PERAIRAN,S1,20,8,100.0
UNIVERSITAS SYIAH KUALA,BUDIDAYA PERAIRAN,S1,45,111,40.54
UNIVERSITAS TADULAKO,BUDIDAYA PERAIRAN,S1,57,16,100.0
