Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS AIRLANGGA,GIZI,32,779,4.11
UNIVERSITAS ANDALAS,GIZI,30,646,4.64
UNIVERSITAS DIPONEGORO,GIZI,27,1256,2.15
UNIVERSITAS HALUOLEO,GIZI,24,0,100.0
UNIVERSITAS INDONESIA,GIZI,14,367,3.81
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,GIZI,12,134,8.96
UNIVERSITAS ISLAM NEGERI WALISONGO,GIZI,30,498,6.02
UNIVERSITAS JEMBER,GIZI,15,499,3.01
UNIVERSITAS NEGERI MAKASSAR,GIZI,34,0,100.0
UNIVERSITAS NEGERI MEDAN,GIZI,22,545,4.04
UNIVERSITAS NEGERI SEMARANG,GIZI,36,956,3.77
UNIVERSITAS NEGERI SURABAYA,GIZI,20,568,3.52
UNIVERSITAS PENDIDIKAN INDONESIA,GIZI,20,0,100.0
UNIVERSITAS SILIWANGI,GIZI,18,536,3.36
UNIVERSITAS SINGAPERBANGSA KARAWANG,GIZI,17,456,3.73
UNIVERSITAS SRIWIJAYA,GIZI,20,353,5.67
UNIVERSITAS SULAWESI BARAT,GIZI,16,0,100.0
UNIVERSITAS SULTAN AGENG TIRTAYASA,GIZI,8,253,3.16
UNIVERSITAS TADULAKO,GIZI,26,166,15.66
UNIVERSITAS TEUKU UMAR,GIZI,40,141,28.37
"UPN ""VETERAN"" JAKARTA",GIZI,21,1037,2.03
