Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS CENDERAWASIH,ILMU KEOLAHRAGAAN,60,1,100.0
UNIVERSITAS HALUOLEO,ILMU KEOLAHRAGAAN,18,21,85.71
UNIVERSITAS NEGERI JAKARTA,ILMU KEOLAHRAGAAN,20,40,50.0
UNIVERSITAS NEGERI MAKASSAR,ILMU KEOLAHRAGAAN,24,25,96.0
UNIVERSITAS NEGERI MALANG,ILMU KEOLAHRAGAAN,32,31,100.0
UNIVERSITAS NEGERI MANADO,ILMU KEOLAHRAGAAN,12,1,100.0
UNIVERSITAS NEGERI MEDAN,ILMU KEOLAHRAGAAN,37,42,88.1
UNIVERSITAS NEGERI SEMARANG,ILMU KEOLAHRAGAAN,36,58,62.07
UNIVERSITAS NEGERI SURABAYA,ILMU KEOLAHRAGAAN,45,59,76.27
UNIVERSITAS NEGERI YOGYAKARTA,ILMU KEOLAHRAGAAN,18,40,45.0
UNIVERSITAS PENDIDIKAN GANESHA,ILMU KEOLAHRAGAAN,9,3,100.0
UNIVERSITAS PENDIDIKAN INDONESIA,ILMU KEOLAHRAGAAN,36,75,48.0
UNIVERSITAS SINGAPERBANGSA KARAWANG,ILMU KEOLAHRAGAAN,20,26,76.92
UNIVERSITAS SULTAN AGENG TIRTAYASA,ILMU KEOLAHRAGAAN,8,8,100.0
