Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BRAWIJAYA,ILMU KEPERAWATAN,S1,60,689,8.71
UNIVERSITAS CENDERAWASIH,ILMU KEPERAWATAN,S1,15,33,45.45
UNIVERSITAS GADJAH MADA,ILMU KEPERAWATAN,S1,28,395,7.09
UNIVERSITAS HASANUDDIN,ILMU KEPERAWATAN,S1,30,588,5.1
UNIVERSITAS INDONESIA,ILMU KEPERAWATAN,S1,30,347,8.65
UNIVERSITAS ISLAM NEGERI JAKARTA,ILMU KEPERAWATAN,S1,30,1067,2.81
UNIVERSITAS JAMBI,ILMU KEPERAWATAN,S1,30,185,16.22
UNIVERSITAS JEMBER,ILMU KEPERAWATAN,S1,60,1031,5.82
UNIVERSITAS LAMBUNG MANGKURAT,ILMU KEPERAWATAN,S1,24,329,7.29
UNIVERSITAS PADJADJARAN,ILMU KEPERAWATAN,S1,40,1815,2.2
UNIVERSITAS RIAU,ILMU KEPERAWATAN,S1,60,901,6.66
UNIVERSITAS SAM RATULANGI,ILMU KEPERAWATAN,S1,19,176,10.8
UNIVERSITAS SRIWIJAYA,ILMU KEPERAWATAN,S1,24,434,5.53
UNIVERSITAS SUMATERA UTARA,ILMU KEPERAWATAN,S1,30,610,4.92
UNIVERSITAS SYIAH KUALA,ILMU KEPERAWATAN,S1,40,626,6.39
