Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS CENDERAWASIH,ILMU KESEHATAN MASYARAKAT,S1,15,41,36.59
UNIVERSITAS HALUOLEO,ILMU KESEHATAN MASYARAKAT,S1,105,318,33.02
UNIVERSITAS INDONESIA,ILMU KESEHATAN MASYARAKAT,S1,30,580,5.17
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,ILMU KESEHATAN MASYARAKAT,S1,100,506,19.76
UNIVERSITAS JAMBI,ILMU KESEHATAN MASYARAKAT,S1,75,573,13.09
UNIVERSITAS NEGERI MALANG,ILMU KESEHATAN MASYARAKAT,S1,48,986,4.87
UNIVERSITAS NEGERI MANADO,ILMU KESEHATAN MASYARAKAT,S1,48,117,41.03
UNIVERSITAS NUSA CENDANA,ILMU KESEHATAN MASYARAKAT,S1,59,239,24.69
UNIVERSITAS SAM RATULANGI,ILMU KESEHATAN MASYARAKAT,S1,64,339,18.88
UNIVERSITAS SRIWIJAYA,ILMU KESEHATAN MASYARAKAT,S1,44,936,4.7
UNIVERSITAS SUMATERA UTARA,ILMU KESEHATAN MASYARAKAT,S1,80,1288,6.21
UNIVERSITAS UDAYANA,ILMU KESEHATAN MASYARAKAT,S1,45,480,9.38
