Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT PERTANIAN BOGOR,ILMU KOMPUTER,S1,48,784,6.12
UNIVERSITAS GADJAH MADA,ILMU KOMPUTER,S1,18,667,2.7
UNIVERSITAS HALUOLEO,ILMU KOMPUTER,S1,15,115,13.04
UNIVERSITAS HASANUDDIN,ILMU KOMPUTER,S1,18,457,3.94
UNIVERSITAS INDONESIA,ILMU KOMPUTER,S1,30,616,4.87
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,ILMU KOMPUTER,S1,53,423,12.53
UNIVERSITAS LAMBUNG MANGKURAT,ILMU KOMPUTER,S1,14,363,3.86
UNIVERSITAS LAMPUNG,ILMU KOMPUTER,S1,45,409,11.0
UNIVERSITAS NEGERI JAKARTA,ILMU KOMPUTER,S1,10,197,5.08
UNIVERSITAS NEGERI MEDAN,ILMU KOMPUTER,S1,18,461,3.9
UNIVERSITAS NUSA CENDANA,ILMU KOMPUTER,S1,20,144,13.89
UNIVERSITAS PENDIDIKAN GANESHA,ILMU KOMPUTER,S1,24,38,63.16
UNIVERSITAS PENDIDIKAN INDONESIA,ILMU KOMPUTER,S1,22,853,2.58
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,ILMU KOMPUTER,S1,40,50,80.0
UNIVERSITAS SUMATERA UTARA,ILMU KOMPUTER,S1,30,1238,2.42
