Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS AIRLANGGA,ILMU KOMUNIKASI,30,560,5.36
UNIVERSITAS ANDALAS,ILMU KOMUNIKASI,30,599,5.01
UNIVERSITAS BENGKULU,ILMU KOMUNIKASI,20,320,6.25
UNIVERSITAS BRAWIJAYA,ILMU KOMUNIKASI,75,909,8.25
UNIVERSITAS DIPONEGORO,ILMU KOMUNIKASI,42,1372,3.06
UNIVERSITAS GADJAH MADA,ILMU KOMUNIKASI,19,939,2.02
UNIVERSITAS HALUOLEO,ILMU KOMUNIKASI,60,214,28.04
UNIVERSITAS HASANUDDIN,ILMU KOMUNIKASI,18,535,3.36
UNIVERSITAS INDONESIA,ILMU KOMUNIKASI,14,805,1.74
UNIVERSITAS ISLAM NEGERI ALAUDDIN,ILMU KOMUNIKASI,36,211,17.06
UNIVERSITAS ISLAM NEGERI RADEN FATAH,ILMU KOMUNIKASI,30,244,12.3
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,ILMU KOMUNIKASI,35,397,8.82
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,ILMU KOMUNIKASI,23,280,8.21
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,ILMU KOMUNIKASI,42,500,8.4
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,ILMU KOMUNIKASI,26,714,3.64
UNIVERSITAS JENDERAL SOEDIRMAN,ILMU KOMUNIKASI,24,642,3.74
UNIVERSITAS LAMBUNG MANGKURAT,ILMU KOMUNIKASI,16,318,5.03
UNIVERSITAS LAMPUNG,ILMU KOMUNIKASI,26,595,4.37
UNIVERSITAS MALIKUSSALEH,ILMU KOMUNIKASI,160,277,57.76
UNIVERSITAS MATARAM,ILMU KOMUNIKASI,24,339,7.08
UNIVERSITAS MULAWARMAN,ILMU KOMUNIKASI,24,344,6.98
UNIVERSITAS NEGERI GORONTALO,ILMU KOMUNIKASI,35,168,20.83
UNIVERSITAS NEGERI JAKARTA,ILMU KOMUNIKASI,19,1508,1.26
UNIVERSITAS NEGERI SURABAYA,ILMU KOMUNIKASI,20,684,2.92
UNIVERSITAS NEGERI YOGYAKARTA,ILMU KOMUNIKASI,41,909,4.51
UNIVERSITAS NUSA CENDANA,ILMU KOMUNIKASI,40,250,16.0
UNIVERSITAS PADJADJARAN,ILMU KOMUNIKASI,23,1279,1.8
UNIVERSITAS PATTIMURA,ILMU KOMUNIKASI,50,59,84.75
UNIVERSITAS PENDIDIKAN INDONESIA,ILMU KOMUNIKASI,41,1300,3.15
UNIVERSITAS RIAU,ILMU KOMUNIKASI,84,1001,8.39
UNIVERSITAS SAM RATULANGI,ILMU KOMUNIKASI,33,138,23.91
UNIVERSITAS SEBELAS MARET,ILMU KOMUNIKASI,20,1119,1.79
UNIVERSITAS SINGAPERBANGSA KARAWANG,ILMU KOMUNIKASI,50,936,5.34
UNIVERSITAS SRIWIJAYA,ILMU KOMUNIKASI,60,844,7.11
UNIVERSITAS SULTAN AGENG TIRTAYASA,ILMU KOMUNIKASI,40,910,4.4
UNIVERSITAS SUMATERA UTARA,ILMU KOMUNIKASI,24,698,3.44
UNIVERSITAS SYIAH KUALA,ILMU KOMUNIKASI,35,205,17.07
UNIVERSITAS TADULAKO,ILMU KOMUNIKASI,55,210,26.19
UNIVERSITAS TANJUNGPURA,ILMU KOMUNIKASI,15,247,6.07
UNIVERSITAS TEUKU UMAR,ILMU KOMUNIKASI,48,89,53.93
UNIVERSITAS TIDAR,ILMU KOMUNIKASI,40,306,13.07
UNIVERSITAS TRUNOJOYO MADURA,ILMU KOMUNIKASI,54,331,16.31
UNIVERSITAS UDAYANA,ILMU KOMUNIKASI,24,326,7.36
"UPN ""VETERAN"" JAKARTA",ILMU KOMUNIKASI,64,1876,3.41
"UPN ""VETERAN"" JAWA TIMUR",ILMU KOMUNIKASI,66,732,9.02
"UPN ""VETERAN"" YOGYAKARTA",ILMU KOMUNIKASI,40,997,4.01
