Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BRAWIJAYA,ILMU PEMERINTAHAN,S1,48,475,10.11
UNIVERSITAS CENDERAWASIH,ILMU PEMERINTAHAN,S1,24,17,100.0
UNIVERSITAS DIPONEGORO,ILMU PEMERINTAHAN,S1,42,706,5.95
UNIVERSITAS HALUOLEO,ILMU PEMERINTAHAN,S1,48,49,97.96
UNIVERSITAS HASANUDDIN,ILMU PEMERINTAHAN,S1,16,290,5.52
UNIVERSITAS JAMBI,ILMU PEMERINTAHAN,S1,33,264,12.5
UNIVERSITAS LAMBUNG MANGKURAT,ILMU PEMERINTAHAN,S1,16,215,7.44
UNIVERSITAS LAMPUNG,ILMU PEMERINTAHAN,S1,26,433,6.0
UNIVERSITAS MARITIM RAJA ALI HAJI,ILMU PEMERINTAHAN,S1,40,89,44.94
UNIVERSITAS MULAWARMAN,ILMU PEMERINTAHAN,S1,24,437,5.49
UNIVERSITAS PADJADJARAN,ILMU PEMERINTAHAN,S1,20,489,4.09
UNIVERSITAS PALANGKARAYA,ILMU PEMERINTAHAN,S1,30,140,21.43
UNIVERSITAS RIAU,ILMU PEMERINTAHAN,S1,60,580,10.34
UNIVERSITAS SAM RATULANGI,ILMU PEMERINTAHAN,S1,38,172,22.09
UNIVERSITAS SINGAPERBANGSA KARAWANG,ILMU PEMERINTAHAN,S1,50,523,9.56
UNIVERSITAS SULTAN AGENG TIRTAYASA,ILMU PEMERINTAHAN,S1,24,251,9.56
UNIVERSITAS SYIAH KUALA,ILMU PEMERINTAHAN,S1,35,98,35.71
UNIVERSITAS TADULAKO,ILMU PEMERINTAHAN,S1,60,194,30.93
UNIVERSITAS TANJUNGPURA,ILMU PEMERINTAHAN,S1,45,367,12.26
UNIVERSITAS TIMOR,ILMU PEMERINTAHAN,S1,48,14,100.0
