Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS AIRLANGGA,KESEHATAN MASYARAKAT,48,1297,3.7
UNIVERSITAS ANDALAS,KESEHATAN MASYARAKAT,60,818,7.33
UNIVERSITAS DIPONEGORO,KESEHATAN MASYARAKAT,72,1825,3.95
UNIVERSITAS HASANUDDIN,KESEHATAN MASYARAKAT,55,1182,4.65
UNIVERSITAS ISLAM NEGERI JAKARTA,KESEHATAN MASYARAKAT,32,1009,3.17
UNIVERSITAS JEMBER,KESEHATAN MASYARAKAT,60,1011,5.93
UNIVERSITAS JENDERAL SOEDIRMAN,KESEHATAN MASYARAKAT,36,915,3.93
UNIVERSITAS LAMBUNG MANGKURAT,KESEHATAN MASYARAKAT,30,658,4.56
UNIVERSITAS MULAWARMAN,KESEHATAN MASYARAKAT,33,545,6.06
UNIVERSITAS NEGERI GORONTALO,KESEHATAN MASYARAKAT,75,287,26.13
UNIVERSITAS NEGERI SEMARANG,KESEHATAN MASYARAKAT,68,1789,3.8
UNIVERSITAS SILIWANGI,KESEHATAN MASYARAKAT,24,864,2.78
UNIVERSITAS TADULAKO,KESEHATAN MASYARAKAT,75,323,23.22
UNIVERSITAS TEUKU UMAR,KESEHATAN MASYARAKAT,64,192,33.33
"UPN ""VETERAN"" JAKARTA",KESEHATAN MASYARAKAT,28,843,3.32
