Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT PERTANIAN BOGOR,MANAJEMEN,52,1141,4.56
UNIVERSITAS AIRLANGGA,MANAJEMEN,50,960,5.21
UNIVERSITAS ANDALAS,MANAJEMEN,51,980,5.2
UNIVERSITAS BANGKA BELITUNG,MANAJEMEN,30,459,6.54
UNIVERSITAS BENGKULU,MANAJEMEN,36,657,5.48
UNIVERSITAS BORNEO TARAKAN,MANAJEMEN,36,342,10.53
UNIVERSITAS BRAWIJAYA,MANAJEMEN,96,1657,5.79
UNIVERSITAS CENDERAWASIH,MANAJEMEN,75,62,100.0
UNIVERSITAS DIPONEGORO,MANAJEMEN,68,2057,3.31
UNIVERSITAS GADJAH MADA,MANAJEMEN,33,1544,2.14
UNIVERSITAS HALUOLEO,MANAJEMEN,90,745,12.08
UNIVERSITAS HASANUDDIN,MANAJEMEN,32,1184,2.7
UNIVERSITAS INDONESIA,MANAJEMEN,36,1100,3.27
UNIVERSITAS ISLAM NEGERI ALAUDDIN,MANAJEMEN,40,443,9.03
UNIVERSITAS ISLAM NEGERI JAKARTA,MANAJEMEN,48,1550,3.1
UNIVERSITAS ISLAM NEGERI MALANG,MANAJEMEN,90,805,11.18
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,MANAJEMEN,22,358,6.15
UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,MANAJEMEN,40,607,6.59
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,MANAJEMEN,31,727,4.26
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,MANAJEMEN,67,1248,5.37
UNIVERSITAS ISLAM NEGERI WALISONGO,MANAJEMEN,30,447,6.71
UNIVERSITAS JAMBI,MANAJEMEN,75,870,8.62
UNIVERSITAS JEMBER,MANAJEMEN,60,1124,5.34
UNIVERSITAS JENDERAL SOEDIRMAN,MANAJEMEN,36,888,4.05
UNIVERSITAS KHAIRUN,MANAJEMEN,54,158,34.18
UNIVERSITAS LAMBUNG MANGKURAT,MANAJEMEN,44,1078,4.08
UNIVERSITAS LAMPUNG,MANAJEMEN,35,975,3.59
UNIVERSITAS MALIKUSSALEH,MANAJEMEN,150,575,26.09
UNIVERSITAS MARITIM RAJA ALI HAJI,MANAJEMEN,75,173,43.35
UNIVERSITAS MATARAM,MANAJEMEN,70,1029,6.8
UNIVERSITAS MULAWARMAN,MANAJEMEN,56,1088,5.15
UNIVERSITAS MUSAMUS MERAUKE,MANAJEMEN,36,66,54.55
UNIVERSITAS NEGERI GORONTALO,MANAJEMEN,70,404,17.33
UNIVERSITAS NEGERI JAKARTA,MANAJEMEN,30,2158,1.39
UNIVERSITAS NEGERI MAKASSAR,MANAJEMEN,82,1213,6.76
UNIVERSITAS NEGERI MALANG,MANAJEMEN,84,1717,4.89
UNIVERSITAS NEGERI MEDAN,MANAJEMEN,22,916,2.4
UNIVERSITAS NEGERI SEMARANG,MANAJEMEN,105,2593,4.05
UNIVERSITAS NEGERI SURABAYA,MANAJEMEN,45,1641,2.74
UNIVERSITAS NEGERI YOGYAKARTA,MANAJEMEN,78,3090,2.52
UNIVERSITAS NUSA CENDANA,MANAJEMEN,62,380,16.32
UNIVERSITAS PADJADJARAN,MANAJEMEN,24,1532,1.57
UNIVERSITAS PALANGKARAYA,MANAJEMEN,52,414,12.56
UNIVERSITAS PAPUA,MANAJEMEN,24,38,63.16
UNIVERSITAS PATTIMURA,MANAJEMEN,153,141,100.0
UNIVERSITAS PENDIDIKAN GANESHA,MANAJEMEN,42,476,8.82
UNIVERSITAS PENDIDIKAN INDONESIA,MANAJEMEN,20,1470,1.36
UNIVERSITAS RIAU,MANAJEMEN,108,1787,6.04
UNIVERSITAS SAM RATULANGI,MANAJEMEN,125,532,23.5
UNIVERSITAS SEBELAS MARET,MANAJEMEN,48,1673,2.87
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,MANAJEMEN,30,53,56.6
UNIVERSITAS SILIWANGI,MANAJEMEN,48,1132,4.24
UNIVERSITAS SINGAPERBANGSA KARAWANG,MANAJEMEN,60,1249,4.8
UNIVERSITAS SRIWIJAYA,MANAJEMEN,40,1312,3.05
UNIVERSITAS SULAWESI BARAT,MANAJEMEN,40,186,21.51
UNIVERSITAS SULTAN AGENG TIRTAYASA,MANAJEMEN,32,1187,2.7
UNIVERSITAS SUMATERA UTARA,MANAJEMEN,50,1460,3.42
UNIVERSITAS SYIAH KUALA,MANAJEMEN,50,633,7.9
UNIVERSITAS TANJUNGPURA,MANAJEMEN,62,1121,5.53
UNIVERSITAS TEUKU UMAR,MANAJEMEN,48,125,38.4
UNIVERSITAS TIDAR,MANAJEMEN,40,368,10.87
UNIVERSITAS TIMOR,MANAJEMEN,40,44,90.91
UNIVERSITAS TRUNOJOYO MADURA,MANAJEMEN,92,775,11.87
UNIVERSITAS UDAYANA,MANAJEMEN,90,1403,6.41
"UPN ""VETERAN"" JAKARTA",MANAJEMEN,56,1815,3.09
"UPN ""VETERAN"" JAWA TIMUR",MANAJEMEN,90,1021,8.81
"UPN ""VETERAN"" YOGYAKARTA",MANAJEMEN,73,1128,6.47
