Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS CENDERAWASIH,PEND. FISIKA,15,5,100.0
UNIVERSITAS JAMBI,PEND. FISIKA,23,98,23.47
UNIVERSITAS KHAIRUN,PEND. FISIKA,18,4,100.0
UNIVERSITAS LAMBUNG MANGKURAT,PEND. FISIKA,20,56,35.71
UNIVERSITAS LAMPUNG,PEND. FISIKA,28,131,21.37
UNIVERSITAS NEGERI MANADO,PEND. FISIKA,18,25,72.0
UNIVERSITAS NEGERI SURABAYA,PEND. FISIKA,25,254,9.84
UNIVERSITAS NUSA CENDANA,PEND. FISIKA,30,40,75.0
UNIVERSITAS PALANGKARAYA,PEND. FISIKA,12,15,80.0
UNIVERSITAS PATTIMURA,PEND. FISIKA,20,24,83.33
UNIVERSITAS RIAU,PEND. FISIKA,24,182,13.19
UNIVERSITAS SULAWESI BARAT,PEND. FISIKA,24,10,100.0
UNIVERSITAS TADULAKO,PEND. FISIKA,40,46,86.96
UNIVERSITAS TANJUNGPURA,PEND. FISIKA,22,61,36.07
