Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS CENDERAWASIH,PEND. MATEMATIKA,15,12,100.0
UNIVERSITAS JAMBI,PEND. MATEMATIKA,30,262,11.45
UNIVERSITAS KHAIRUN,PEND. MATEMATIKA,24,21,100.0
UNIVERSITAS LAMBUNG MANGKURAT,PEND. MATEMATIKA,20,261,7.66
UNIVERSITAS LAMPUNG,PEND. MATEMATIKA,28,356,7.87
UNIVERSITAS NEGERI MANADO,PEND. MATEMATIKA,27,72,37.5
UNIVERSITAS NEGERI SURABAYA,PEND. MATEMATIKA,25,524,4.77
UNIVERSITAS NUSA CENDANA,PEND. MATEMATIKA,30,93,32.26
UNIVERSITAS PALANGKARAYA,PEND. MATEMATIKA,14,85,16.47
UNIVERSITAS PATTIMURA,PEND. MATEMATIKA,20,35,57.14
UNIVERSITAS RIAU,PEND. MATEMATIKA,36,555,6.49
UNIVERSITAS SINGAPERBANGSA KARAWANG,PEND. MATEMATIKA,45,386,11.66
UNIVERSITAS SRIWIJAYA,PEND. MATEMATIKA,16,350,4.57
UNIVERSITAS SULAWESI BARAT,PEND. MATEMATIKA,24,50,48.0
UNIVERSITAS TADULAKO,PEND. MATEMATIKA,40,130,30.77
UNIVERSITAS TANJUNGPURA,PEND. MATEMATIKA,22,225,9.78
UNIVERSITAS TIMOR,PEND. MATEMATIKA,20,8,100.0
