Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS HALUOLEO,PENDIDIKAN EKONOMI,36,63,57.14
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,PENDIDIKAN EKONOMI,18,67,26.87
UNIVERSITAS JEMBER,PENDIDIKAN EKONOMI,40,258,15.5
UNIVERSITAS JENDERAL SOEDIRMAN,PENDIDIKAN EKONOMI,15,140,10.71
UNIVERSITAS MULAWARMAN,PENDIDIKAN EKONOMI,24,105,22.86
UNIVERSITAS MUSAMUS MERAUKE,PENDIDIKAN EKONOMI,8,0,100.0
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN EKONOMI,75,94,79.79
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN EKONOMI,30,489,6.13
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN EKONOMI,23,157,14.65
UNIVERSITAS NEGERI MALANG,PENDIDIKAN EKONOMI,42,250,16.8
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN EKONOMI,17,260,6.54
UNIVERSITAS NEGERI PADANG,PENDIDIKAN EKONOMI,40,287,13.94
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN EKONOMI,39,361,10.8
UNIVERSITAS PATTIMURA,PENDIDIKAN EKONOMI,20,22,90.91
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN EKONOMI,36,61,59.02
UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN EKONOMI,20,333,6.01
UNIVERSITAS SEBELAS MARET,PENDIDIKAN EKONOMI,24,208,11.54
UNIVERSITAS SILIWANGI,PENDIDIKAN EKONOMI,24,218,11.01
UNIVERSITAS SYIAH KUALA,PENDIDIKAN EKONOMI,25,69,36.23
