Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BENGKULU,PENDIDIKAN FISIKA,16,74,21.62
UNIVERSITAS HALUOLEO,PENDIDIKAN FISIKA,30,72,41.67
UNIVERSITAS ISLAM NEGERI RADEN FATAH,PENDIDIKAN FISIKA,18,47,38.3
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,PENDIDIKAN FISIKA,12,49,24.49
UNIVERSITAS JEMBER,PENDIDIKAN FISIKA,40,205,19.51
UNIVERSITAS MALIKUSSALEH,PENDIDIKAN FISIKA,60,35,100.0
UNIVERSITAS MATARAM,PENDIDIKAN FISIKA,20,52,38.46
UNIVERSITAS MULAWARMAN,PENDIDIKAN FISIKA,24,49,48.98
UNIVERSITAS MUSAMUS MERAUKE,PENDIDIKAN FISIKA,5,3,100.0
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN FISIKA,23,39,58.97
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN FISIKA,20,147,13.61
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN FISIKA,22,140,15.71
UNIVERSITAS NEGERI MALANG,PENDIDIKAN FISIKA,36,242,14.88
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN FISIKA,44,355,12.39
UNIVERSITAS NEGERI PADANG,PENDIDIKAN FISIKA,47,212,22.17
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN FISIKA,36,266,13.53
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN FISIKA,27,210,12.86
UNIVERSITAS PAPUA,PENDIDIKAN FISIKA,12,1,100.0
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN FISIKA,18,13,100.0
UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN FISIKA,27,286,9.44
UNIVERSITAS SAMUDRA,PENDIDIKAN FISIKA,16,14,100.0
UNIVERSITAS SEBELAS MARET,PENDIDIKAN FISIKA,16,164,9.76
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,PENDIDIKAN FISIKA,20,0,100.0
UNIVERSITAS SILIWANGI,PENDIDIKAN FISIKA,28,128,21.88
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN FISIKA,16,146,10.96
UNIVERSITAS SYIAH KUALA,PENDIDIKAN FISIKA,25,135,18.52
