Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BENGKULU,PENDIDIKAN IPA,S1,16,67,23.88
UNIVERSITAS JEMBER,PENDIDIKAN IPA,S1,40,331,12.08
UNIVERSITAS LAMBUNG MANGKURAT,PENDIDIKAN IPA,S1,20,86,23.26
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN IPA,S1,22,143,15.38
UNIVERSITAS NEGERI MANADO,PENDIDIKAN IPA,S1,18,14,100.0
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN IPA,S1,14,327,4.28
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN IPA,S1,45,508,8.86
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN IPA,S1,40,468,8.55
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN IPA,S1,18,38,47.37
UNIVERSITAS SEBELAS MARET,PENDIDIKAN IPA,S1,16,223,7.17
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN IPA,S1,16,171,9.36
