Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT PERTANIAN BOGOR,PROTEKSI TANAMAN,S1,38,315,12.06
UNIVERSITAS ANDALAS,PROTEKSI TANAMAN,S1,42,191,21.99
UNIVERSITAS BENGKULU,PROTEKSI TANAMAN,S1,10,41,24.39
UNIVERSITAS HALUOLEO,PROTEKSI TANAMAN,S1,12,6,100.0
UNIVERSITAS HASANUDDIN,PROTEKSI TANAMAN,S1,20,0,100.0
UNIVERSITAS JEMBER,PROTEKSI TANAMAN,S1,15,69,21.74
UNIVERSITAS LAMBUNG MANGKURAT,PROTEKSI TANAMAN,S1,10,20,50.0
UNIVERSITAS LAMPUNG,PROTEKSI TANAMAN,S1,18,67,26.87
UNIVERSITAS SAM RATULANGI,PROTEKSI TANAMAN,S1,10,12,83.33
UNIVERSITAS SRIWIJAYA,PROTEKSI TANAMAN,S1,20,101,19.8
UNIVERSITAS SYIAH KUALA,PROTEKSI TANAMAN,S1,20,98,20.41
