Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI KALIMANTAN,STATISTIKA,22,0,100.0
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,STATISTIKA,40,708,5.65
UNIVERSITAS AIRLANGGA,STATISTIKA,20,420,4.76
UNIVERSITAS BENGKULU,STATISTIKA,10,107,9.35
UNIVERSITAS BRAWIJAYA,STATISTIKA,60,1006,5.96
UNIVERSITAS CENDERAWASIH,STATISTIKA,15,7,100.0
UNIVERSITAS DIPONEGORO,STATISTIKA,37,999,3.7
UNIVERSITAS GADJAH MADA,STATISTIKA,15,507,2.96
UNIVERSITAS HALUOLEO,STATISTIKA,24,95,25.26
UNIVERSITAS HASANUDDIN,STATISTIKA,18,412,4.37
UNIVERSITAS INDONESIA,STATISTIKA,12,320,3.75
UNIVERSITAS LAMBUNG MANGKURAT,STATISTIKA,10,106,9.43
UNIVERSITAS MULAWARMAN,STATISTIKA,24,178,13.48
UNIVERSITAS NEGERI GORONTALO,STATISTIKA,30,80,37.5
UNIVERSITAS NEGERI JAKARTA,STATISTIKA,10,262,3.82
UNIVERSITAS NEGERI MAKASSAR,STATISTIKA,22,282,7.8
UNIVERSITAS NEGERI YOGYAKARTA,STATISTIKA,14,356,3.93
UNIVERSITAS PADJADJARAN,STATISTIKA,25,677,3.69
UNIVERSITAS PATTIMURA,STATISTIKA,25,34,73.53
UNIVERSITAS RIAU,STATISTIKA,12,119,10.08
UNIVERSITAS SEBELAS MARET,STATISTIKA,16,557,2.87
UNIVERSITAS SULAWESI BARAT,STATISTIKA,16,0,100.0
UNIVERSITAS SYIAH KUALA,STATISTIKA,25,368,6.79
UNIVERSITAS TADULAKO,STATISTIKA,10,93,10.75
