Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK INFORMATIKA,S1,60,1637,3.67
INSTITUT TEKNOLOGI SUMATERA,TEKNIK INFORMATIKA,S1,117,747,15.66
UNIVERSITAS BENGKULU,TEKNIK INFORMATIKA,S1,20,376,5.32
UNIVERSITAS BRAWIJAYA,TEKNIK INFORMATIKA,S1,72,1027,7.01
UNIVERSITAS HALUOLEO,TEKNIK INFORMATIKA,S1,18,411,4.38
UNIVERSITAS HASANUDDIN,TEKNIK INFORMATIKA,S1,20,1114,1.8
UNIVERSITAS ISLAM NEGERI JAKARTA,TEKNIK INFORMATIKA,S1,30,701,4.28
UNIVERSITAS ISLAM NEGERI MALANG,TEKNIK INFORMATIKA,S1,60,525,11.43
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,TEKNIK INFORMATIKA,S1,12,311,3.86
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,TEKNIK INFORMATIKA,S1,40,801,4.99
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,TEKNIK INFORMATIKA,S1,16,541,2.96
UNIVERSITAS KHAIRUN,TEKNIK INFORMATIKA,S1,36,102,35.29
UNIVERSITAS LAMPUNG,TEKNIK INFORMATIKA,S1,30,429,6.99
UNIVERSITAS MALIKUSSALEH,TEKNIK INFORMATIKA,S1,125,555,22.52
UNIVERSITAS MARITIM RAJA ALI HAJI,TEKNIK INFORMATIKA,S1,60,87,68.97
UNIVERSITAS MATARAM,TEKNIK INFORMATIKA,S1,20,467,4.28
UNIVERSITAS MUSAMUS MERAUKE,TEKNIK INFORMATIKA,S1,28,24,100.0
UNIVERSITAS NEGERI MALANG,TEKNIK INFORMATIKA,S1,18,743,2.42
UNIVERSITAS NEGERI MANADO,TEKNIK INFORMATIKA,S1,36,126,28.57
UNIVERSITAS NEGERI SEMARANG,TEKNIK INFORMATIKA,S1,36,1028,3.5
UNIVERSITAS NEGERI SURABAYA,TEKNIK INFORMATIKA,S1,20,597,3.35
UNIVERSITAS PADJADJARAN,TEKNIK INFORMATIKA,S1,20,1331,1.5
UNIVERSITAS PAPUA,TEKNIK INFORMATIKA,S1,9,26,34.62
UNIVERSITAS RIAU,TEKNIK INFORMATIKA,S1,24,432,5.56
UNIVERSITAS SAMUDRA,TEKNIK INFORMATIKA,S1,32,182,17.58
UNIVERSITAS SINGAPERBANGSA KARAWANG,TEKNIK INFORMATIKA,S1,45,916,4.91
UNIVERSITAS SRIWIJAYA,TEKNIK INFORMATIKA,S1,34,688,4.94
UNIVERSITAS SULAWESI BARAT,TEKNIK INFORMATIKA,S1,52,102,50.98
UNIVERSITAS TADULAKO,TEKNIK INFORMATIKA,S1,20,247,8.1
UNIVERSITAS TANJUNGPURA,TEKNIK INFORMATIKA,S1,14,361,3.88
UNIVERSITAS TRUNOJOYO MADURA,TEKNIK INFORMATIKA,S1,60,422,14.22
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK INFORMATIKA,S1,40,884,4.52
