Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI KALIMANTAN,TEKNIK KIMIA,S1,35,122,28.69
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK KIMIA,S1,40,546,7.33
INSTITUT TEKNOLOGI SUMATERA,TEKNIK KIMIA,S1,73,226,32.3
UNIVERSITAS BRAWIJAYA,TEKNIK KIMIA,S1,44,448,9.82
UNIVERSITAS DIPONEGORO,TEKNIK KIMIA,S1,40,707,5.66
UNIVERSITAS GADJAH MADA,TEKNIK KIMIA,S1,38,460,8.26
UNIVERSITAS INDONESIA,TEKNIK KIMIA,S1,18,300,6.0
UNIVERSITAS JAMBI,TEKNIK KIMIA,S1,20,54,37.04
UNIVERSITAS JEMBER,TEKNIK KIMIA,S1,42,172,24.42
UNIVERSITAS LAMBUNG MANGKURAT,TEKNIK KIMIA,S1,18,108,16.67
UNIVERSITAS LAMPUNG,TEKNIK KIMIA,S1,30,139,21.58
UNIVERSITAS MALIKUSSALEH,TEKNIK KIMIA,S1,150,155,96.77
UNIVERSITAS MULAWARMAN,TEKNIK KIMIA,S1,15,57,26.32
UNIVERSITAS NEGERI SEMARANG,TEKNIK KIMIA,S1,36,318,11.32
UNIVERSITAS PATTIMURA,TEKNIK KIMIA,S1,7,0,100.0
UNIVERSITAS RIAU,TEKNIK KIMIA,S1,36,318,11.32
UNIVERSITAS SEBELAS MARET,TEKNIK KIMIA,S1,24,406,5.91
UNIVERSITAS SINGAPERBANGSA KARAWANG,TEKNIK KIMIA,S1,17,156,10.9
UNIVERSITAS SRIWIJAYA,TEKNIK KIMIA,S1,28,308,9.09
UNIVERSITAS SULTAN AGENG TIRTAYASA,TEKNIK KIMIA,S1,24,273,8.79
UNIVERSITAS SUMATERA UTARA,TEKNIK KIMIA,S1,36,493,7.3
UNIVERSITAS SYIAH KUALA,TEKNIK KIMIA,S1,35,218,16.06
UNIVERSITAS TANJUNGPURA,TEKNIK KIMIA,S1,8,26,30.77
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK KIMIA,S1,56,477,11.74
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK KIMIA,S1,32,301,10.63
