Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI KALIMANTAN,TEKNIK SIPIL,20,257,7.78
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK SIPIL,40,646,6.19
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK SIPIL,18,0,100.0
INSTITUT TEKNOLOGI SUMATERA,TEKNIK SIPIL,117,590,19.83
UNIVERSITAS ANDALAS,TEKNIK SIPIL,54,746,7.24
UNIVERSITAS BANGKA BELITUNG,TEKNIK SIPIL,21,133,15.79
UNIVERSITAS BENGKULU,TEKNIK SIPIL,20,265,7.55
UNIVERSITAS BORNEO TARAKAN,TEKNIK SIPIL,36,84,42.86
UNIVERSITAS BRAWIJAYA,TEKNIK SIPIL,51,972,5.25
UNIVERSITAS CENDERAWASIH,TEKNIK SIPIL,18,30,60.0
UNIVERSITAS DIPONEGORO,TEKNIK SIPIL,44,1255,3.51
UNIVERSITAS GADJAH MADA,TEKNIK SIPIL,45,935,4.81
UNIVERSITAS HALUOLEO,TEKNIK SIPIL,24,262,9.16
UNIVERSITAS HASANUDDIN,TEKNIK SIPIL,30,890,3.37
UNIVERSITAS INDONESIA,TEKNIK SIPIL,18,376,4.79
UNIVERSITAS JAMBI,TEKNIK SIPIL,20,132,15.15
UNIVERSITAS JEMBER,TEKNIK SIPIL,48,574,8.36
UNIVERSITAS JENDERAL SOEDIRMAN,TEKNIK SIPIL,32,448,7.14
UNIVERSITAS KHAIRUN,TEKNIK SIPIL,36,108,33.33
UNIVERSITAS LAMBUNG MANGKURAT,TEKNIK SIPIL,45,434,10.37
UNIVERSITAS LAMPUNG,TEKNIK SIPIL,30,416,7.21
UNIVERSITAS MALIKUSSALEH,TEKNIK SIPIL,150,289,51.9
UNIVERSITAS MATARAM,TEKNIK SIPIL,40,377,10.61
UNIVERSITAS MULAWARMAN,TEKNIK SIPIL,15,301,4.98
UNIVERSITAS MUSAMUS MERAUKE,TEKNIK SIPIL,27,24,100.0
UNIVERSITAS NEGERI GORONTALO,TEKNIK SIPIL,35,122,28.69
UNIVERSITAS NEGERI MALANG,TEKNIK SIPIL,42,619,6.79
UNIVERSITAS NEGERI MANADO,TEKNIK SIPIL,36,56,64.29
UNIVERSITAS NEGERI MEDAN,TEKNIK SIPIL,25,280,8.93
UNIVERSITAS NEGERI PADANG,TEKNIK SIPIL,16,421,3.8
UNIVERSITAS NEGERI SEMARANG,TEKNIK SIPIL,36,642,5.61
UNIVERSITAS NEGERI SURABAYA,TEKNIK SIPIL,20,0,100.0
UNIVERSITAS NEGERI SURABAYA,TEKNIK SIPIL,20,475,4.21
UNIVERSITAS NEGERI YOGYAKARTA,TEKNIK SIPIL,14,2,100.0
UNIVERSITAS NUSA CENDANA,TEKNIK SIPIL,20,241,8.3
UNIVERSITAS PALANGKARAYA,TEKNIK SIPIL,32,156,20.51
UNIVERSITAS PAPUA,TEKNIK SIPIL,12,10,100.0
UNIVERSITAS PATTIMURA,TEKNIK SIPIL,25,82,30.49
UNIVERSITAS PENDIDIKAN INDONESIA,TEKNIK SIPIL,32,555,5.77
UNIVERSITAS RIAU,TEKNIK SIPIL,36,611,5.89
UNIVERSITAS SAM RATULANGI,TEKNIK SIPIL,50,276,18.12
UNIVERSITAS SAMUDRA,TEKNIK SIPIL,32,73,43.84
UNIVERSITAS SEBELAS MARET,TEKNIK SIPIL,36,1016,3.54
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,TEKNIK SIPIL,22,24,91.67
UNIVERSITAS SILIWANGI,TEKNIK SIPIL,16,357,4.48
UNIVERSITAS SRIWIJAYA,TEKNIK SIPIL,28,646,4.33
UNIVERSITAS SULAWESI BARAT,TEKNIK SIPIL,48,42,100.0
UNIVERSITAS SULTAN AGENG TIRTAYASA,TEKNIK SIPIL,24,321,7.48
UNIVERSITAS SUMATERA UTARA,TEKNIK SIPIL,45,725,6.21
UNIVERSITAS SYIAH KUALA,TEKNIK SIPIL,45,571,7.88
UNIVERSITAS TADULAKO,TEKNIK SIPIL,40,194,20.62
UNIVERSITAS TANJUNGPURA,TEKNIK SIPIL,32,324,9.88
UNIVERSITAS TEUKU UMAR,TEKNIK SIPIL,48,68,70.59
UNIVERSITAS TIDAR,TEKNIK SIPIL,32,321,9.97
UNIVERSITAS UDAYANA,TEKNIK SIPIL,54,419,12.89
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK SIPIL,28,410,6.83
