Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ANDALAS,TEKNOLOGI HASIL PERTANIAN,33,308,10.71
UNIVERSITAS JAMBI,TEKNOLOGI HASIL PERTANIAN,25,128,19.53
UNIVERSITAS JEMBER,TEKNOLOGI HASIL PERTANIAN,38,391,9.72
UNIVERSITAS LAMPUNG,TEKNOLOGI HASIL PERTANIAN,20,244,8.2
UNIVERSITAS MULAWARMAN,TEKNOLOGI HASIL PERTANIAN,21,73,28.77
UNIVERSITAS PAPUA,TEKNOLOGI HASIL PERTANIAN,18,3,100.0
UNIVERSITAS RIAU,TEKNOLOGI HASIL PERTANIAN,24,235,10.21
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,TEKNOLOGI HASIL PERTANIAN,20,5,100.0
UNIVERSITAS SRIWIJAYA,TEKNOLOGI HASIL PERTANIAN,20,167,11.98
UNIVERSITAS SULAWESI BARAT,TEKNOLOGI HASIL PERTANIAN,16,0,100.0
UNIVERSITAS SYIAH KUALA,TEKNOLOGI HASIL PERTANIAN,30,153,19.61
UNIVERSITAS TEUKU UMAR,TEKNOLOGI HASIL PERTANIAN,16,54,29.63
