Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNOLOGI INFORMASI,16,204,7.84
UNIVERSITAS BRAWIJAYA,TEKNOLOGI INFORMASI,48,327,14.68
UNIVERSITAS GADJAH MADA,TEKNOLOGI INFORMASI,20,1012,1.98
UNIVERSITAS ISLAM NEGERI AR-RANIRY,TEKNOLOGI INFORMASI,27,88,30.68
UNIVERSITAS ISLAM NEGERI WALISONGO,TEKNOLOGI INFORMASI,27,138,19.57
UNIVERSITAS JEMBER,TEKNOLOGI INFORMASI,30,396,7.58
UNIVERSITAS LAMBUNG MANGKURAT,TEKNOLOGI INFORMASI,12,320,3.75
UNIVERSITAS NEGERI YOGYAKARTA,TEKNOLOGI INFORMASI,14,573,2.44
UNIVERSITAS SUMATERA UTARA,TEKNOLOGI INFORMASI,30,1059,2.83
UNIVERSITAS TEUKU UMAR,TEKNOLOGI INFORMASI,48,232,20.69
UNIVERSITAS TIMOR,TEKNOLOGI INFORMASI,20,23,86.96
UNIVERSITAS UDAYANA,TEKNOLOGI INFORMASI,48,423,11.35
