Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT PERTANIAN BOGOR,TEKNOLOGI PANGAN,S1,54,1007,5.36
INSTITUT TEKNOLOGI SUMATERA,TEKNOLOGI PANGAN,S1,88,355,24.79
UNIVERSITAS BRAWIJAYA,TEKNOLOGI PANGAN,S1,57,894,6.38
UNIVERSITAS DIPONEGORO,TEKNOLOGI PANGAN,S1,30,849,3.53
UNIVERSITAS JENDERAL SOEDIRMAN,TEKNOLOGI PANGAN,S1,30,524,5.73
UNIVERSITAS PADJADJARAN,TEKNOLOGI PANGAN,S1,24,794,3.02
UNIVERSITAS SAM RATULANGI,TEKNOLOGI PANGAN,S1,13,18,72.22
UNIVERSITAS SULTAN AGENG TIRTAYASA,TEKNOLOGI PANGAN,S1,24,343,7.0
UNIVERSITAS UDAYANA,TEKNOLOGI PANGAN,S1,24,195,12.31
"UPN ""VETERAN"" JAWA TIMUR",TEKNOLOGI PANGAN,S1,28,468,5.98
