Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS LAMBUNG MANGKURAT,TEKNOLOGI PENDIDIKAN,12,69,17.39
UNIVERSITAS NEGERI JAKARTA,TEKNOLOGI PENDIDIKAN,20,270,7.41
UNIVERSITAS NEGERI MAKASSAR,TEKNOLOGI PENDIDIKAN,23,118,19.49
UNIVERSITAS NEGERI MALANG,TEKNOLOGI PENDIDIKAN,33,228,14.47
UNIVERSITAS NEGERI PADANG,TEKNOLOGI PENDIDIKAN,34,300,11.33
UNIVERSITAS NEGERI SEMARANG,TEKNOLOGI PENDIDIKAN,27,276,9.78
UNIVERSITAS NEGERI YOGYAKARTA,TEKNOLOGI PENDIDIKAN,27,348,7.76
UNIVERSITAS PALANGKARAYA,TEKNOLOGI PENDIDIKAN,16,16,100.0
UNIVERSITAS PENDIDIKAN GANESHA,TEKNOLOGI PENDIDIKAN,15,26,57.69
UNIVERSITAS PENDIDIKAN INDONESIA,TEKNOLOGI PENDIDIKAN,27,240,11.25
