Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI BANDUNG,FAK. ILMU DAN TEKNOLOGI KEBUMIAN (FITB),S1,114,606,18.81
INSTITUT TEKNOLOGI BANDUNG,FAK. MATEMATIKA & ILMU PENGET. ALAM (FMIPA),S1,186,1351,13.77
INSTITUT TEKNOLOGI BANDUNG,FAK. TEKNIK PERTAMB. & PERMINYAKAN (FTTM),S1,135,1177,11.47
INSTITUT TEKNOLOGI BANDUNG,FAK. TEKNIK PERTAMB. & PERMINYAKAN (FTTM) - KAMPUS CIREBON,S1,43,236,18.22
INSTITUT TEKNOLOGI BANDUNG,FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN (FITB) - KAMPUS CIREBON,S1,14,54,25.93
INSTITUT TEKNOLOGI BANDUNG,FAKULTAS SENIRUPA DAN DESAIN (FSRD),S1,99,925,10.7
INSTITUT TEKNOLOGI BANDUNG,FAKULTAS SENIRUPA DAN DESAIN (FSRD) - KAMPUS CIREBON,S1,18,56,32.14
INSTITUT TEKNOLOGI BANDUNG,FAKULTAS TEKNIK MESIN & DIRGANTARA (FTMD),S1,109,1053,10.35
INSTITUT TEKNOLOGI BANDUNG,FAKULTAS TEKNIK SIPIL & LINGKUNGAN (FTSL) - KAMPUS GANESA,S1,125,1107,11.29
INSTITUT TEKNOLOGI BANDUNG,FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN (FTSL) - KAMPUS JATINANGOR,S1,36,257,14.01
INSTITUT TEKNOLOGI BANDUNG,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS CIREBON,S1,18,199,9.05
INSTITUT TEKNOLOGI BANDUNG,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS GANESA,S1,128,1243,10.3
INSTITUT TEKNOLOGI BANDUNG,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS JATINANGOR,S1,34,209,16.27
INSTITUT TEKNOLOGI BANDUNG,"SEK. ARSITEKTUR, PERENC & PENGEMB KEBIJAKAN",S1,79,816,9.68
INSTITUT TEKNOLOGI BANDUNG,"SEK. ARSITEKTUR, PERENC &AMP PENGEMB KEBIJAKAN (SAPPK) - KAMPUS CIREBON",S1,14,163,8.59
INSTITUT TEKNOLOGI BANDUNG,SEKOLAH BISNIS DAN MANAJEMEN (SBM),S1,85,1340,6.34
INSTITUT TEKNOLOGI BANDUNG,SEKOLAH FARMASI (SF),S1,60,527,11.39
INSTITUT TEKNOLOGI BANDUNG,SEKOLAH ILMU & TEKNO HAYATI - PROG REKAYASA,S1,123,457,26.91
INSTITUT TEKNOLOGI BANDUNG,SEKOLAH ILMU & TEKNO. HAYATI - PROG. SAINS,S1,42,366,11.48
INSTITUT TEKNOLOGI BANDUNG,SEKOLAH TEK. ELEKTRO & INFORMATIKA (STEI),S1,195,1845,10.57
