Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI SUMATERA,ARSITEKTUR,88,100,88.0
INSTITUT TEKNOLOGI SUMATERA,ARSITEKTUR LANSKAP,59,115,51.3
INSTITUT TEKNOLOGI SUMATERA,BIOLOGI,44,126,34.92
INSTITUT TEKNOLOGI SUMATERA,DESAIN KOMUNIKASI VISUAL,73,102,71.57
INSTITUT TEKNOLOGI SUMATERA,FARMASI,88,843,10.44
INSTITUT TEKNOLOGI SUMATERA,FISIKA,29,49,59.18
INSTITUT TEKNOLOGI SUMATERA,KIMIA,59,121,48.76
INSTITUT TEKNOLOGI SUMATERA,MATEMATIKA,59,139,42.45
INSTITUT TEKNOLOGI SUMATERA,PERENCANAAN WILAYAH DAN KOTA,117,616,18.99
INSTITUT TEKNOLOGI SUMATERA,REKAYASA KEHUTANAN,59,114,51.75
INSTITUT TEKNOLOGI SUMATERA,SAINS AKTUARIA,73,608,12.01
INSTITUT TEKNOLOGI SUMATERA,SAINS ATMOSFIR DAN KEPLANETAN,59,112,52.68
INSTITUT TEKNOLOGI SUMATERA,SAINS DATA,88,0,100.0
INSTITUT TEKNOLOGI SUMATERA,SAINS LINGKUNGAN KELAUTAN,44,165,26.67
INSTITUT TEKNOLOGI SUMATERA,TEKNIK BIOMEDIS,73,330,22.12
INSTITUT TEKNOLOGI SUMATERA,TEKNIK BIOSISTEM,59,88,67.05
INSTITUT TEKNOLOGI SUMATERA,TEKNIK ELEKTRO,88,351,25.07
INSTITUT TEKNOLOGI SUMATERA,TEKNIK FISIKA,44,55,80.0
INSTITUT TEKNOLOGI SUMATERA,TEKNIK GEOFISIKA,102,226,45.13
INSTITUT TEKNOLOGI SUMATERA,TEKNIK GEOLOGI,59,112,52.68
INSTITUT TEKNOLOGI SUMATERA,TEKNIK GEOMATIKA,73,135,54.07
INSTITUT TEKNOLOGI SUMATERA,TEKNIK INDUSTRI,88,367,23.98
INSTITUT TEKNOLOGI SUMATERA,TEKNIK INFORMATIKA,117,747,15.66
INSTITUT TEKNOLOGI SUMATERA,TEKNIK KELAUTAN,59,139,42.45
INSTITUT TEKNOLOGI SUMATERA,TEKNIK KIMIA,73,226,32.3
INSTITUT TEKNOLOGI SUMATERA,TEKNIK LINGKUNGAN,88,262,33.59
INSTITUT TEKNOLOGI SUMATERA,TEKNIK MATERIAL,59,53,100.0
INSTITUT TEKNOLOGI SUMATERA,TEKNIK MESIN,59,179,32.96
INSTITUT TEKNOLOGI SUMATERA,TEKNIK PERKERETAAPIAN,59,0,100.0
INSTITUT TEKNOLOGI SUMATERA,TEKNIK PERTAMBANGAN,102,417,24.46
INSTITUT TEKNOLOGI SUMATERA,TEKNIK SIPIL,117,590,19.83
INSTITUT TEKNOLOGI SUMATERA,TEKNIK SISTEM ENERGI,59,56,100.0
INSTITUT TEKNOLOGI SUMATERA,TEKNIK TELEKOMUNIKASI,59,239,24.69
INSTITUT TEKNOLOGI SUMATERA,TEKNOLOGI INDUSTRI PERTANIAN,59,234,25.21
INSTITUT TEKNOLOGI SUMATERA,TEKNOLOGI PANGAN,88,355,24.79
