Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
ISI PADANG PANJANG,ANTROPOLOGI BUDAYA,S1,21,31,67.74
ISI PADANG PANJANG,DESAIN DAN KOMUNIKASI VISUAL,S1,45,75,60.0
ISI PADANG PANJANG,DESAIN MODE,D4,15,0,100.0
ISI PADANG PANJANG,FOTOGRAFI,S1,24,27,88.89
ISI PADANG PANJANG,PENDIDIKAN KRIYA,S1,12,2,100.0
ISI PADANG PANJANG,SENI KARAWITAN,S1,20,8,100.0
ISI PADANG PANJANG,SENI KRIYA,S1,12,6,100.0
ISI PADANG PANJANG,SENI MURNI,S1,15,12,100.0
ISI PADANG PANJANG,SENI MUSIK,S1,40,34,100.0
ISI PADANG PANJANG,SENI TARI,S1,30,42,71.43
ISI PADANG PANJANG,SENI TEATER,S1,12,4,100.0
ISI PADANG PANJANG,TV DAN FILM,S1,45,65,69.23
