Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
ISI SURAKARTA,DESAIN INTERIOR,16,70,22.86
ISI SURAKARTA,DESAIN KOMUNIKASI VISUAL,16,183,8.74
ISI SURAKARTA,DESAIN MODE BATIK,12,0,100.0
ISI SURAKARTA,ETNOMUSIKOLOGI,17,17,100.0
ISI SURAKARTA,FOTOGRAFI,15,61,24.59
ISI SURAKARTA,KRIYA SENI,13,22,59.09
ISI SURAKARTA,SENI KARAWITAN,22,44,50.0
ISI SURAKARTA,SENI PEDALANGAN,11,16,68.75
ISI SURAKARTA,SENI RUPA MURNI,16,30,53.33
ISI SURAKARTA,SENI TARI,26,71,36.62
ISI SURAKARTA,SENI TEATER,13,15,86.67
ISI SURAKARTA,SENJATA TRADISIONAL KERIS,6,0,100.0
ISI SURAKARTA,TELEVISI DAN FILM,18,159,11.32
