Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ANDALAS,ADMINISTRASI PUBLIK,30,529,5.67
UNIVERSITAS ANDALAS,AGRIBISNIS,36,605,5.95
UNIVERSITAS ANDALAS,AGROEKOTEKNOLOGI,45,38,100.0
UNIVERSITAS ANDALAS,AGROTEKNOLOGI,45,520,8.65
UNIVERSITAS ANDALAS,AKUNTANSI,54,724,7.46
UNIVERSITAS ANDALAS,ANTROPOLOGI SOSIAL,30,213,14.08
UNIVERSITAS ANDALAS,BIOLOGI,36,221,16.29
UNIVERSITAS ANDALAS,EKONOMI,42,355,11.83
UNIVERSITAS ANDALAS,EKONOMI (KAMPUS 2 PAYAKUMBUH),24,76,31.58
UNIVERSITAS ANDALAS,FARMASI,45,1302,3.46
UNIVERSITAS ANDALAS,FISIKA,36,126,28.57
UNIVERSITAS ANDALAS,GIZI,30,646,4.64
UNIVERSITAS ANDALAS,HUBUNGAN INTERNASIONAL,36,382,9.42
UNIVERSITAS ANDALAS,HUKUM,180,1085,16.59
UNIVERSITAS ANDALAS,ILMU BIOMEDIS,12,0,100.0
UNIVERSITAS ANDALAS,ILMU KOMUNIKASI,30,599,5.01
UNIVERSITAS ANDALAS,ILMU POLITIK,30,260,11.54
UNIVERSITAS ANDALAS,ILMU TANAH,36,244,14.75
UNIVERSITAS ANDALAS,KEBIDANAN,24,255,9.41
UNIVERSITAS ANDALAS,KEDOKTERAN,75,1240,6.05
UNIVERSITAS ANDALAS,KEDOKTERAN GIGI,30,457,6.56
UNIVERSITAS ANDALAS,KEPERAWATAN,54,546,9.89
UNIVERSITAS ANDALAS,KESEHATAN MASYARAKAT,60,818,7.33
UNIVERSITAS ANDALAS,KIMIA,36,252,14.29
UNIVERSITAS ANDALAS,MANAJEMEN,51,980,5.2
UNIVERSITAS ANDALAS,MANAJEMEN (KAMPUS 2 PAYAKUMBUH),24,137,17.52
UNIVERSITAS ANDALAS,MATEMATIKA,30,283,10.6
UNIVERSITAS ANDALAS,PENYULUHAN PERTANIAN,12,116,10.34
UNIVERSITAS ANDALAS,PETERNAKAN,105,488,21.52
UNIVERSITAS ANDALAS,PETERNAKAN ( KAMPUS II PAYAKUMBUH),30,79,37.97
UNIVERSITAS ANDALAS,PROTEKSI TANAMAN,42,191,21.99
UNIVERSITAS ANDALAS,PSIKOLOGI,45,680,6.62
UNIVERSITAS ANDALAS,SASTRA INDONESIA,36,200,18.0
UNIVERSITAS ANDALAS,SASTRA INGGRIS,36,321,11.21
UNIVERSITAS ANDALAS,SASTRA JEPANG,24,167,14.37
UNIVERSITAS ANDALAS,SASTRA MINANGKABAU,29,43,67.44
UNIVERSITAS ANDALAS,SEJARAH,24,123,19.51
UNIVERSITAS ANDALAS,SISTEM INFORMASI,26,641,4.06
UNIVERSITAS ANDALAS,SOSIOLOGI,36,341,10.56
UNIVERSITAS ANDALAS,TEKNIK ELEKTRO,45,538,8.36
UNIVERSITAS ANDALAS,TEKNIK INDUSTRI,39,552,7.07
UNIVERSITAS ANDALAS,TEKNIK KOMPUTER,26,435,5.98
UNIVERSITAS ANDALAS,TEKNIK LINGKUNGAN,36,379,9.5
UNIVERSITAS ANDALAS,TEKNIK MESIN,45,444,10.14
UNIVERSITAS ANDALAS,TEKNIK PERTANIAN DAN BIOSISTEM,33,297,11.11
UNIVERSITAS ANDALAS,TEKNIK SIPIL,54,746,7.24
UNIVERSITAS ANDALAS,TEKNOLOGI HASIL PERTANIAN,33,308,10.71
UNIVERSITAS ANDALAS,TEKNOLOGI INDUSTRI PERTANIAN,24,178,13.48
