Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BANGKA BELITUNG,AGRIBISNIS,21,186,11.29
UNIVERSITAS BANGKA BELITUNG,AGROTEKNOLOGI,30,99,30.3
UNIVERSITAS BANGKA BELITUNG,AKUAKULTUR,20,21,95.24
UNIVERSITAS BANGKA BELITUNG,AKUNTANSI,35,277,12.64
UNIVERSITAS BANGKA BELITUNG,BIOLOGI,20,57,35.09
UNIVERSITAS BANGKA BELITUNG,EKONOMI,13,80,16.25
UNIVERSITAS BANGKA BELITUNG,FISIKA,20,11,100.0
UNIVERSITAS BANGKA BELITUNG,HUKUM,45,138,32.61
UNIVERSITAS BANGKA BELITUNG,ILMU KELAUTAN,15,53,28.3
UNIVERSITAS BANGKA BELITUNG,ILMU POLITIK,28,41,68.29
UNIVERSITAS BANGKA BELITUNG,KIMIA,20,11,100.0
UNIVERSITAS BANGKA BELITUNG,MANAJEMEN,30,459,6.54
UNIVERSITAS BANGKA BELITUNG,MANAJEMEN SUMBERDAYA PERAIRAN,25,71,35.21
UNIVERSITAS BANGKA BELITUNG,MATEMATIKA,24,37,64.86
UNIVERSITAS BANGKA BELITUNG,SASTRA INGGRIS,28,75,37.33
UNIVERSITAS BANGKA BELITUNG,SOSIOLOGI,36,174,20.69
UNIVERSITAS BANGKA BELITUNG,TEKNIK ELEKTRO,36,79,45.57
UNIVERSITAS BANGKA BELITUNG,TEKNIK MESIN,25,39,64.1
UNIVERSITAS BANGKA BELITUNG,TEKNIK PERTAMBANGAN,24,52,46.15
UNIVERSITAS BANGKA BELITUNG,TEKNIK SIPIL,21,133,15.79
