Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BENGKULU,AGRIBISNIS,20,262,7.63
UNIVERSITAS BENGKULU,AGROEKOTEKNOLOGI,24,170,14.12
UNIVERSITAS BENGKULU,AKUNTANSI,40,520,7.69
UNIVERSITAS BENGKULU,ARSITEKTUR,8,69,11.59
UNIVERSITAS BENGKULU,BIMBINGAN DAN KONSELING,16,207,7.73
UNIVERSITAS BENGKULU,BIOLOGI,20,57,35.09
UNIVERSITAS BENGKULU,EKONOMI PEMBANGUNAN,24,155,15.48
UNIVERSITAS BENGKULU,FARMASI,18,197,9.14
UNIVERSITAS BENGKULU,FISIKA,20,29,68.97
UNIVERSITAS BENGKULU,GEOFISIKA,10,22,45.45
UNIVERSITAS BENGKULU,ILMU ADMINISTRASI NEGARA,20,265,7.55
UNIVERSITAS BENGKULU,ILMU HUKUM,90,439,20.5
UNIVERSITAS BENGKULU,ILMU KELAUTAN,16,73,21.92
UNIVERSITAS BENGKULU,ILMU KESEJAHTERAAN SOSIAL,14,166,8.43
UNIVERSITAS BENGKULU,ILMU KOMUNIKASI,20,320,6.25
UNIVERSITAS BENGKULU,ILMU PERPUSTAKAAN,12,71,16.9
UNIVERSITAS BENGKULU,ILMU TANAH,10,56,17.86
UNIVERSITAS BENGKULU,JURNALISTIK,18,108,16.67
UNIVERSITAS BENGKULU,KEHUTANAN,18,141,12.77
UNIVERSITAS BENGKULU,KIMIA,30,56,53.57
UNIVERSITAS BENGKULU,MANAJEMEN,36,657,5.48
UNIVERSITAS BENGKULU,MATEMATIKA,20,72,27.78
UNIVERSITAS BENGKULU,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,22,367,5.99
UNIVERSITAS BENGKULU,PENDIDIKAN BAHASA INGGRIS,24,234,10.26
UNIVERSITAS BENGKULU,PENDIDIKAN BIOLOGI,16,184,8.7
UNIVERSITAS BENGKULU,PENDIDIKAN DOKTER,10,439,2.28
UNIVERSITAS BENGKULU,PENDIDIKAN FISIKA,16,74,21.62
UNIVERSITAS BENGKULU,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,16,201,7.96
UNIVERSITAS BENGKULU,PENDIDIKAN GURU SEKOLAH DASAR,32,980,3.27
UNIVERSITAS BENGKULU,PENDIDIKAN IPA,16,67,23.88
UNIVERSITAS BENGKULU,PENDIDIKAN JASMANI DAN KESEHATAN,8,66,12.12
UNIVERSITAS BENGKULU,PENDIDIKAN KIMIA,16,78,20.51
UNIVERSITAS BENGKULU,PENDIDIKAN LUAR SEKOLAH,16,38,42.11
UNIVERSITAS BENGKULU,PENDIDIKAN MATEMATIKA,16,212,7.55
UNIVERSITAS BENGKULU,PETERNAKAN,20,104,19.23
UNIVERSITAS BENGKULU,PROTEKSI TANAMAN,10,41,24.39
UNIVERSITAS BENGKULU,SISTEM INFORMASI,10,99,10.1
UNIVERSITAS BENGKULU,SOSIOLOGI,10,200,5.0
UNIVERSITAS BENGKULU,STATISTIKA,10,107,9.35
UNIVERSITAS BENGKULU,TEKNIK ELEKTRO,20,99,20.2
UNIVERSITAS BENGKULU,TEKNIK INFORMATIKA,20,376,5.32
UNIVERSITAS BENGKULU,TEKNIK MESIN,20,77,25.97
UNIVERSITAS BENGKULU,TEKNIK SIPIL,20,265,7.55
UNIVERSITAS BENGKULU,TEKNOLOGI INDUSTRI PERTANIAN,24,189,12.7
