Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BORNEO TARAKAN,AGRIBISNIS,36,62,58.06
UNIVERSITAS BORNEO TARAKAN,AGROTEKNOLOGI,24,36,66.67
UNIVERSITAS BORNEO TARAKAN,AKUAKULTUR,24,6,100.0
UNIVERSITAS BORNEO TARAKAN,AKUNTANSI,27,0,100.0
UNIVERSITAS BORNEO TARAKAN,BIMBINGAN DAN KONSELING,24,93,25.81
UNIVERSITAS BORNEO TARAKAN,EKONOMI PEMBANGUNAN,36,110,32.73
UNIVERSITAS BORNEO TARAKAN,HUKUM,72,119,60.5
UNIVERSITAS BORNEO TARAKAN,KEBIDANAN,24,0,100.0
UNIVERSITAS BORNEO TARAKAN,KEPERAWATAN,24,0,100.0
UNIVERSITAS BORNEO TARAKAN,MANAJEMEN,36,342,10.53
UNIVERSITAS BORNEO TARAKAN,MANAJEMEN SUMBER DAYA PERAIRAN,24,34,70.59
UNIVERSITAS BORNEO TARAKAN,PENDIDIKAN BAHASA INDONESIA,24,67,35.82
UNIVERSITAS BORNEO TARAKAN,PENDIDIKAN BAHASA INGGRIS,24,59,40.68
UNIVERSITAS BORNEO TARAKAN,PENDIDIKAN BIOLOGI,24,26,92.31
UNIVERSITAS BORNEO TARAKAN,PENDIDIKAN GURU SEKOLAH DASAR,48,177,27.12
UNIVERSITAS BORNEO TARAKAN,PENDIDIKAN MATEMATIKA,24,28,85.71
UNIVERSITAS BORNEO TARAKAN,TEKNIK ELEKTRO,24,33,72.73
UNIVERSITAS BORNEO TARAKAN,TEKNIK KOMPUTER,24,0,100.0
UNIVERSITAS BORNEO TARAKAN,TEKNIK MESIN,12,12,100.0
UNIVERSITAS BORNEO TARAKAN,TEKNIK SIPIL,36,84,42.86
UNIVERSITAS BORNEO TARAKAN,TEKNOLOGI HASIL PERIKANAN,24,19,100.0
