Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS DIPONEGORO,ADMINISTRASI BISNIS,42,1106,3.8
UNIVERSITAS DIPONEGORO,ADMINISTRASI PUBLIK,42,741,5.67
UNIVERSITAS DIPONEGORO,AGRIBISNIS,30,626,4.79
UNIVERSITAS DIPONEGORO,AGROEKOTEKNOLOGI,30,462,6.49
UNIVERSITAS DIPONEGORO,AKUAKULTUR,32,320,10.0
UNIVERSITAS DIPONEGORO,AKUNTANSI,68,1497,4.54
UNIVERSITAS DIPONEGORO,ANTROPOLOGI SOSIAL,30,425,7.06
UNIVERSITAS DIPONEGORO,ARSITEKTUR,40,712,5.62
UNIVERSITAS DIPONEGORO,BAHASA DAN KEBUDAYAAN JEPANG,24,310,7.74
UNIVERSITAS DIPONEGORO,BIOLOGI,47,441,10.66
UNIVERSITAS DIPONEGORO,BIOTEKNOLOGI,18,377,4.77
UNIVERSITAS DIPONEGORO,EKONOMI PEMBANGUNAN,46,673,6.84
UNIVERSITAS DIPONEGORO,EKONOMI SYARIAH,26,319,8.15
UNIVERSITAS DIPONEGORO,FARMASI,10,794,1.26
UNIVERSITAS DIPONEGORO,FISIKA,37,333,11.11
UNIVERSITAS DIPONEGORO,GIZI,27,1256,2.15
UNIVERSITAS DIPONEGORO,HUBUNGAN INTERNASIONAL,22,647,3.4
UNIVERSITAS DIPONEGORO,HUKUM,160,1949,8.21
UNIVERSITAS DIPONEGORO,ILMU KELAUTAN,40,511,7.83
UNIVERSITAS DIPONEGORO,ILMU KOMUNIKASI,42,1372,3.06
UNIVERSITAS DIPONEGORO,ILMU PEMERINTAHAN,42,706,5.95
UNIVERSITAS DIPONEGORO,ILMU PERPUSTAKAAN,29,500,5.8
UNIVERSITAS DIPONEGORO,INFORMATIKA,35,833,4.2
UNIVERSITAS DIPONEGORO,KEDOKTERAN,44,1676,2.63
UNIVERSITAS DIPONEGORO,KEDOKTERAN GIGI,5,289,1.73
UNIVERSITAS DIPONEGORO,KEPERAWATAN,40,911,4.39
UNIVERSITAS DIPONEGORO,KESEHATAN MASYARAKAT,72,1825,3.95
UNIVERSITAS DIPONEGORO,KIMIA,37,455,8.13
UNIVERSITAS DIPONEGORO,MANAJEMEN,68,2057,3.31
UNIVERSITAS DIPONEGORO,MANAJEMEN SUMBERDAYA PERAIRAN,32,301,10.63
UNIVERSITAS DIPONEGORO,MATEMATIKA,35,618,5.66
UNIVERSITAS DIPONEGORO,OCEANOGRAFI,37,499,7.41
UNIVERSITAS DIPONEGORO,PERENCANAAN WILAYAH DAN KOTA,40,989,4.04
UNIVERSITAS DIPONEGORO,PERIKANAN TANGKAP,22,152,14.47
UNIVERSITAS DIPONEGORO,PETERNAKAN,60,592,10.14
UNIVERSITAS DIPONEGORO,PSIKOLOGI,72,1978,3.64
UNIVERSITAS DIPONEGORO,SASTRA INDONESIA,33,383,8.62
UNIVERSITAS DIPONEGORO,SASTRA INGGRIS,33,641,5.15
UNIVERSITAS DIPONEGORO,SEJARAH,26,252,10.32
UNIVERSITAS DIPONEGORO,STATISTIKA,37,999,3.7
UNIVERSITAS DIPONEGORO,TEKNIK ELEKTRO,40,595,6.72
UNIVERSITAS DIPONEGORO,TEKNIK GEODESI,32,438,7.31
UNIVERSITAS DIPONEGORO,TEKNIK GEOLOGI,28,353,7.93
UNIVERSITAS DIPONEGORO,TEKNIK INDUSTRI,40,841,4.76
UNIVERSITAS DIPONEGORO,TEKNIK KIMIA,40,707,5.66
UNIVERSITAS DIPONEGORO,TEKNIK KOMPUTER,32,818,3.91
UNIVERSITAS DIPONEGORO,TEKNIK LINGKUNGAN,40,697,5.74
UNIVERSITAS DIPONEGORO,TEKNIK MESIN,44,807,5.45
UNIVERSITAS DIPONEGORO,TEKNIK PERKAPALAN,32,300,10.67
UNIVERSITAS DIPONEGORO,TEKNIK SIPIL,44,1255,3.51
UNIVERSITAS DIPONEGORO,TEKNOLOGI HASIL PERIKANAN,24,268,8.96
UNIVERSITAS DIPONEGORO,TEKNOLOGI PANGAN,30,849,3.53
