Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS GADJAH MADA,AGRONOMI,20,195,10.26
UNIVERSITAS GADJAH MADA,AKUAKULTUR (BUDIDAYA PERIKANAN),15,124,12.1
UNIVERSITAS GADJAH MADA,AKUNTANSI,38,1300,2.92
UNIVERSITAS GADJAH MADA,AKUNTANSI SEKTOR PUBLIK,15,0,100.0
UNIVERSITAS GADJAH MADA,ANTROPOLOGI BUDAYA,20,241,8.3
UNIVERSITAS GADJAH MADA,ARKEOLOGI,10,174,5.75
UNIVERSITAS GADJAH MADA,ARSITEKTUR,20,668,2.99
UNIVERSITAS GADJAH MADA,BAHASA DAN KEBUDAYAAN KOREA,12,439,2.73
UNIVERSITAS GADJAH MADA,BAHASA DAN SASTRA INDONESIA,19,285,6.67
UNIVERSITAS GADJAH MADA,BAHASA INGGRIS,15,0,100.0
UNIVERSITAS GADJAH MADA,BIOLOGI,57,411,13.87
UNIVERSITAS GADJAH MADA,BISNIS PERJALANAN WISATA,23,0,100.0
UNIVERSITAS GADJAH MADA,EKONOMI PERTANIAN DAN AGRIBISNIS,20,325,6.15
UNIVERSITAS GADJAH MADA,ELEKTRONIKA DAN INSTRUMENTASI,18,172,10.47
UNIVERSITAS GADJAH MADA,FARMASI,60,1659,3.62
UNIVERSITAS GADJAH MADA,FILSAFAT,38,321,11.84
UNIVERSITAS GADJAH MADA,FISIKA,18,172,10.47
UNIVERSITAS GADJAH MADA,GEOFISIKA,15,158,9.49
UNIVERSITAS GADJAH MADA,GEOGRAFI LINGKUNGAN,30,277,10.83
UNIVERSITAS GADJAH MADA,GIZI KESEHATAN,25,658,3.8
UNIVERSITAS GADJAH MADA,HIGIENE GIGI,13,140,9.29
UNIVERSITAS GADJAH MADA,HUKUM,83,1433,5.79
UNIVERSITAS GADJAH MADA,ILMU AKTUARIA,10,518,1.93
UNIVERSITAS GADJAH MADA,ILMU DAN INDUSTRI PETERNAKAN,75,449,16.7
UNIVERSITAS GADJAH MADA,ILMU EKONOMI,23,366,6.28
UNIVERSITAS GADJAH MADA,ILMU HUBUNGAN INTERNASIONAL,20,1167,1.71
UNIVERSITAS GADJAH MADA,ILMU KEPERAWATAN,28,395,7.09
UNIVERSITAS GADJAH MADA,ILMU KOMPUTER,18,667,2.7
UNIVERSITAS GADJAH MADA,ILMU KOMUNIKASI,19,939,2.02
UNIVERSITAS GADJAH MADA,ILMU TANAH,15,143,10.49
UNIVERSITAS GADJAH MADA,KARTOGRAFI DAN PENGINDERAAN JAUH,25,247,10.12
UNIVERSITAS GADJAH MADA,KEDOKTERAN,44,1585,2.78
UNIVERSITAS GADJAH MADA,KEDOKTERAN GIGI,38,693,5.48
UNIVERSITAS GADJAH MADA,KEDOKTERAN HEWAN,50,494,10.12
UNIVERSITAS GADJAH MADA,KEHUTANAN,69,797,8.66
UNIVERSITAS GADJAH MADA,KIMIA,35,328,10.67
UNIVERSITAS GADJAH MADA,MANAJEMEN,33,1544,2.14
UNIVERSITAS GADJAH MADA,MANAJEMEN DAN KEBIJAKAN PUBLIK,19,430,4.42
UNIVERSITAS GADJAH MADA,MANAJEMEN DAN PENILAIAN PROPERTI,10,0,100.0
UNIVERSITAS GADJAH MADA,MANAJEMEN INFORMASI KESEHATAN,8,0,100.0
UNIVERSITAS GADJAH MADA,MANAJEMEN SUMBERDAYA AKUATIK (MANAJEMEN SUMBER DAYA PERIKANAN),15,126,11.9
UNIVERSITAS GADJAH MADA,MATEMATIKA,20,411,4.87
UNIVERSITAS GADJAH MADA,MIKROBIOLOGI PERTANIAN,9,90,10.0
UNIVERSITAS GADJAH MADA,PARIWISATA,12,471,2.55
UNIVERSITAS GADJAH MADA,PEMBANGUNAN EKONOMI KEWILAYAHAN,18,0,100.0
UNIVERSITAS GADJAH MADA,PEMBANGUNAN SOSIAL DAN KESEJAHTERAAN,19,352,5.4
UNIVERSITAS GADJAH MADA,PEMBANGUNAN WILAYAH,20,235,8.51
UNIVERSITAS GADJAH MADA,PENGELOLAAN ARSIP DAN REKAMAN INFORMASI,15,0,100.0
UNIVERSITAS GADJAH MADA,PENGELOLAAN HUTAN,15,0,100.0
UNIVERSITAS GADJAH MADA,PENGEMBANGAN PRODUK AGROINDUSTRI,15,0,100.0
UNIVERSITAS GADJAH MADA,PENYULUHAN DAN KOMUNIKASI PERTANIAN,10,92,10.87
UNIVERSITAS GADJAH MADA,PERBANKAN,18,0,100.0
UNIVERSITAS GADJAH MADA,PERENCANAAN WILAYAH DAN KOTA,20,394,5.08
UNIVERSITAS GADJAH MADA,POLITIK DAN PEMERINTAHAN,19,417,4.56
UNIVERSITAS GADJAH MADA,PROTEKSI TANAMAN (ILMU HAMA DAN PENYAKIT TUMBUHAN),17,161,10.56
UNIVERSITAS GADJAH MADA,PSIKOLOGI,57,1871,3.05
UNIVERSITAS GADJAH MADA,SASTRA ARAB,14,441,3.17
UNIVERSITAS GADJAH MADA,SASTRA INGGRIS,14,530,2.64
UNIVERSITAS GADJAH MADA,SASTRA JAWA,9,106,8.49
UNIVERSITAS GADJAH MADA,SASTRA JEPANG,8,198,4.04
UNIVERSITAS GADJAH MADA,SASTRA PRANCIS,8,123,6.5
UNIVERSITAS GADJAH MADA,SEJARAH,12,175,6.86
UNIVERSITAS GADJAH MADA,SISTEM INFORMASI GEOGRAFIS,15,0,100.0
UNIVERSITAS GADJAH MADA,SOSIOLOGI,19,327,5.81
UNIVERSITAS GADJAH MADA,STATISTIKA,15,507,2.96
UNIVERSITAS GADJAH MADA,TEKNIK BIOMEDIS,10,3,100.0
UNIVERSITAS GADJAH MADA,TEKNIK ELEKTRO,20,605,3.31
UNIVERSITAS GADJAH MADA,TEKNIK FISIKA,25,199,12.56
UNIVERSITAS GADJAH MADA,TEKNIK GEODESI,35,302,11.59
UNIVERSITAS GADJAH MADA,TEKNIK GEOLOGI,30,306,9.8
UNIVERSITAS GADJAH MADA,TEKNIK INDUSTRI,28,539,5.19
UNIVERSITAS GADJAH MADA,TEKNIK KIMIA,38,460,8.26
UNIVERSITAS GADJAH MADA,TEKNIK MESIN,35,768,4.56
UNIVERSITAS GADJAH MADA,TEKNIK NUKLIR,13,273,4.76
UNIVERSITAS GADJAH MADA,TEKNIK PENGELOLAAN DAN PEMELIHARAAN INFRASTRUKTUR SIPIL,15,0,100.0
UNIVERSITAS GADJAH MADA,TEKNIK PENGELOLAAN DAN PERAWATAN ALAT BERAT,15,0,100.0
UNIVERSITAS GADJAH MADA,TEKNIK PERTANIAN,25,200,12.5
UNIVERSITAS GADJAH MADA,TEKNIK SIPIL,45,935,4.81
UNIVERSITAS GADJAH MADA,TEKNOLOGI HASIL PERIKANAN,15,99,15.15
UNIVERSITAS GADJAH MADA,TEKNOLOGI INDUSTRI PERTANIAN,28,280,10.0
UNIVERSITAS GADJAH MADA,TEKNOLOGI INFORMASI,20,1012,1.98
UNIVERSITAS GADJAH MADA,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,28,456,6.14
UNIVERSITAS GADJAH MADA,TEKNOLOGI REKAYASA ELEKTRO,12,0,100.0
UNIVERSITAS GADJAH MADA,TEKNOLOGI REKAYASA INSTRUMENTASI DAN KONTROL,12,0,100.0
UNIVERSITAS GADJAH MADA,TEKNOLOGI REKAYASA INTERNET,12,0,100.0
UNIVERSITAS GADJAH MADA,TEKNOLOGI REKAYASA MESIN,15,0,100.0
UNIVERSITAS GADJAH MADA,TEKNOLOGI REKAYASA PELAKSANAAN BANGUNAN SIPIL,15,0,100.0
UNIVERSITAS GADJAH MADA,TEKNOLOGI REKAYASA PERANGKAT LUNAK,12,0,100.0
UNIVERSITAS GADJAH MADA,TEKNOLOGI SURVEI DAN PEMETAAN DASAR,15,0,100.0
UNIVERSITAS GADJAH MADA,TEKNOLOGI VETERINER,15,0,100.0
