Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS HASANUDDIN,ADMINISTRASI PUBLIK,20,483,4.14
UNIVERSITAS HASANUDDIN,AGRIBISNIS,40,726,5.51
UNIVERSITAS HASANUDDIN,AGROTEKNOLOGI,40,816,4.9
UNIVERSITAS HASANUDDIN,AKUNTANSI,32,981,3.26
UNIVERSITAS HASANUDDIN,ANTROPOLOGI SOSIAL,12,94,12.77
UNIVERSITAS HASANUDDIN,ARKEOLOGI,12,47,25.53
UNIVERSITAS HASANUDDIN,BAHASA MANDARIN DAN KEBUDAYAAN TIONGKOK,12,32,37.5
UNIVERSITAS HASANUDDIN,BIOLOGI,22,201,10.95
UNIVERSITAS HASANUDDIN,BUDIDAYA PERAIRAN,20,132,15.15
UNIVERSITAS HASANUDDIN,EKONOMI PEMBANGUNAN,26,374,6.95
UNIVERSITAS HASANUDDIN,FARMASI,30,1381,2.17
UNIVERSITAS HASANUDDIN,FISIKA,18,97,18.56
UNIVERSITAS HASANUDDIN,FISOTERAPI,12,369,3.25
UNIVERSITAS HASANUDDIN,GEOFISIKA,18,140,12.86
UNIVERSITAS HASANUDDIN,HUKUM ADMINISTRASI NEGARA,22,266,8.27
UNIVERSITAS HASANUDDIN,ILMU AKTUARIA,12,0,100.0
UNIVERSITAS HASANUDDIN,ILMU DAN TEKNOLOGI PANGAN,20,296,6.76
UNIVERSITAS HASANUDDIN,ILMU GIZI,18,628,2.87
UNIVERSITAS HASANUDDIN,ILMU HUBUNGAN INTERNASIONAL,24,530,4.53
UNIVERSITAS HASANUDDIN,ILMU HUKUM,80,1124,7.12
UNIVERSITAS HASANUDDIN,ILMU KELAUTAN,30,192,15.62
UNIVERSITAS HASANUDDIN,ILMU KEPERAWATAN,30,588,5.1
UNIVERSITAS HASANUDDIN,ILMU KOMPUTER,18,457,3.94
UNIVERSITAS HASANUDDIN,ILMU KOMUNIKASI,18,535,3.36
UNIVERSITAS HASANUDDIN,ILMU PEMERINTAHAN,16,290,5.52
UNIVERSITAS HASANUDDIN,ILMU POLITIK,16,165,9.7
UNIVERSITAS HASANUDDIN,ILMU SEJARAH,12,77,15.58
UNIVERSITAS HASANUDDIN,ILMU TANAH,20,0,100.0
UNIVERSITAS HASANUDDIN,KEDOKTERAN HEWAN,30,186,16.13
UNIVERSITAS HASANUDDIN,KEHUTANAN,53,540,9.81
UNIVERSITAS HASANUDDIN,KESEHATAN MASYARAKAT,55,1182,4.65
UNIVERSITAS HASANUDDIN,KETEKNIKAN PERTANIAN,20,325,6.15
UNIVERSITAS HASANUDDIN,KIMIA,22,227,9.69
UNIVERSITAS HASANUDDIN,KONSERVASI HUTAN,10,0,100.0
UNIVERSITAS HASANUDDIN,MANAJEMEN,32,1184,2.7
UNIVERSITAS HASANUDDIN,MANAJEMEN SUMBERDAYA PERAIRAN,19,174,10.92
UNIVERSITAS HASANUDDIN,MATEMATIKA,18,251,7.17
UNIVERSITAS HASANUDDIN,PEMANFAATAN SUMBERDAYA PERIKANAN,20,157,12.74
UNIVERSITAS HASANUDDIN,PENDIDIKAN DOKTER,50,1430,3.5
UNIVERSITAS HASANUDDIN,PENDIDIKAN DOKTER GIGI,30,722,4.16
UNIVERSITAS HASANUDDIN,PETERNAKAN,96,405,23.7
UNIVERSITAS HASANUDDIN,PROTEKSI TANAMAN,20,0,100.0
UNIVERSITAS HASANUDDIN,PSIKOLOGI,24,484,4.96
UNIVERSITAS HASANUDDIN,REKAYASA KEHUTANAN,15,0,100.0
UNIVERSITAS HASANUDDIN,SASTRA ASIA BARAT/ARAB,12,152,7.89
UNIVERSITAS HASANUDDIN,SASTRA DAERAH/BUGIS MAKASSAR,12,30,40.0
UNIVERSITAS HASANUDDIN,SASTRA INDONESIA,12,162,7.41
UNIVERSITAS HASANUDDIN,SASTRA INGGRIS,24,459,5.23
UNIVERSITAS HASANUDDIN,SASTRA JEPANG,12,81,14.81
UNIVERSITAS HASANUDDIN,SASTRA PERANCIS/ BARAT ROMAN,12,25,48.0
UNIVERSITAS HASANUDDIN,SOSIAL EKONOMI PERIKANAN,16,76,21.05
UNIVERSITAS HASANUDDIN,SOSIOLOGI,12,171,7.02
UNIVERSITAS HASANUDDIN,STATISTIKA,18,412,4.37
UNIVERSITAS HASANUDDIN,TEKNIK ARSITEKTUR,20,461,4.34
UNIVERSITAS HASANUDDIN,TEKNIK ELEKTRO,35,474,7.38
UNIVERSITAS HASANUDDIN,TEKNIK GEOLOGI,40,305,13.11
UNIVERSITAS HASANUDDIN,TEKNIK INDUSTRI,20,390,5.13
UNIVERSITAS HASANUDDIN,TEKNIK INFORMATIKA,20,1114,1.8
UNIVERSITAS HASANUDDIN,TEKNIK KELAUTAN,20,100,20.0
UNIVERSITAS HASANUDDIN,TEKNIK LINGKUNGAN,20,313,6.39
UNIVERSITAS HASANUDDIN,TEKNIK MESIN,30,260,11.54
UNIVERSITAS HASANUDDIN,TEKNIK PENGEMB. WILAYAH KOTA,20,379,5.28
UNIVERSITAS HASANUDDIN,TEKNIK PERKAPALAN,25,127,19.69
UNIVERSITAS HASANUDDIN,TEKNIK PERTAMBANGAN,25,542,4.61
UNIVERSITAS HASANUDDIN,TEKNIK SIPIL,30,890,3.37
UNIVERSITAS HASANUDDIN,TEKNIK SISTEM PERKAPALAN,32,90,35.56
UNIVERSITAS HASANUDDIN,TEKNOLOGI HASIL PERIKANAN,8,0,100.0
UNIVERSITAS HASANUDDIN,TEKNOLOGI PRODUKSI TANAMAN PANGAN,20,0,100.0
UNIVERSITAS HASANUDDIN,TEKNOLOGI PRODUKSI TERNAK,10,0,100.0
