Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS INDONESIA,AKTUARIA,S1,12,410,2.93
UNIVERSITAS INDONESIA,AKUNTANSI,S1,40,959,4.17
UNIVERSITAS INDONESIA,ANTROPOLOGI SOSIAL,S1,12,246,4.88
UNIVERSITAS INDONESIA,ARKEOLOGI INDONESIA,S1,15,172,8.72
UNIVERSITAS INDONESIA,ARSITEKTUR,S1,10,339,2.95
UNIVERSITAS INDONESIA,ARSITEKTUR INTERIOR,S1,10,267,3.75
UNIVERSITAS INDONESIA,BAHASA DAN KEBUDAYAAN KOREA,S1,6,328,1.83
UNIVERSITAS INDONESIA,BIOLOGI,S1,20,290,6.9
UNIVERSITAS INDONESIA,BISNIS ISLAM,S1,10,200,5.0
UNIVERSITAS INDONESIA,FARMASI,S1,18,455,3.96
UNIVERSITAS INDONESIA,FISIKA,S1,20,205,9.76
UNIVERSITAS INDONESIA,GEOFISIKA,S1,12,160,7.5
UNIVERSITAS INDONESIA,GEOGRAFI,S1,20,214,9.35
UNIVERSITAS INDONESIA,GEOLOGI,S1,12,194,6.19
UNIVERSITAS INDONESIA,GIZI,S1,14,367,3.81
UNIVERSITAS INDONESIA,ILMU ADMINISTRASI FISKAL,S1,12,310,3.87
UNIVERSITAS INDONESIA,ILMU ADMINISTRASI NEGARA,S1,14,359,3.9
UNIVERSITAS INDONESIA,ILMU ADMINISTRASI NIAGA,S1,18,356,5.06
UNIVERSITAS INDONESIA,ILMU EKONOMI,S1,24,348,6.9
UNIVERSITAS INDONESIA,ILMU EKONOMI ISLAM,S1,10,169,5.92
UNIVERSITAS INDONESIA,ILMU FILSAFAT,S1,15,164,9.15
UNIVERSITAS INDONESIA,ILMU HUBUNGAN INTERNASIONAL,S1,11,742,1.48
UNIVERSITAS INDONESIA,ILMU HUKUM,S1,60,1237,4.85
UNIVERSITAS INDONESIA,ILMU KEPERAWATAN,S1,30,347,8.65
UNIVERSITAS INDONESIA,ILMU KESEHATAN MASYARAKAT,S1,30,580,5.17
UNIVERSITAS INDONESIA,ILMU KESEJAHTERAAN SOSIAL,S1,16,380,4.21
UNIVERSITAS INDONESIA,ILMU KOMPUTER,S1,30,616,4.87
UNIVERSITAS INDONESIA,ILMU KOMUNIKASI,S1,14,805,1.74
UNIVERSITAS INDONESIA,ILMU PERPUSTAKAAN,S1,9,273,3.3
UNIVERSITAS INDONESIA,ILMU POLITIK,S1,16,301,5.32
UNIVERSITAS INDONESIA,ILMU PSIKOLOGI,S1,36,1062,3.39
UNIVERSITAS INDONESIA,ILMU SEJARAH,S1,15,195,7.69
UNIVERSITAS INDONESIA,KESEHATAN LINGKUNGAN,S1,12,199,6.03
UNIVERSITAS INDONESIA,KESELAMATAN DAN KESEHATAN KERJA,S1,12,252,4.76
UNIVERSITAS INDONESIA,KIMIA,S1,20,254,7.87
UNIVERSITAS INDONESIA,KRIMINOLOGI,S1,18,511,3.52
UNIVERSITAS INDONESIA,MANAJEMEN,S1,36,1100,3.27
UNIVERSITAS INDONESIA,MATEMATIKA,S1,14,284,4.93
UNIVERSITAS INDONESIA,PENDIDIKAN DOKTER,S1,36,1253,2.87
UNIVERSITAS INDONESIA,PENDIDIKAN DOKTER GIGI,S1,22,472,4.66
UNIVERSITAS INDONESIA,SASTRA ARAB,S1,9,252,3.57
UNIVERSITAS INDONESIA,SASTRA BELANDA,S1,6,136,4.41
UNIVERSITAS INDONESIA,SASTRA CINA,S1,9,141,6.38
UNIVERSITAS INDONESIA,SASTRA DAERAH UNTUK SASTRA JAWA,S1,15,74,20.27
UNIVERSITAS INDONESIA,SASTRA INDONESIA,S1,15,238,6.3
UNIVERSITAS INDONESIA,SASTRA INGGRIS,S1,9,367,2.45
UNIVERSITAS INDONESIA,SASTRA JEPANG,S1,9,229,3.93
UNIVERSITAS INDONESIA,SASTRA JERMAN,S1,6,177,3.39
UNIVERSITAS INDONESIA,SASTRA PERANCIS,S1,6,139,4.32
UNIVERSITAS INDONESIA,SASTRA RUSIA,S1,15,106,14.15
UNIVERSITAS INDONESIA,SISTEM INFORMASI,S1,30,672,4.46
UNIVERSITAS INDONESIA,SOSIOLOGI,S1,16,305,5.25
UNIVERSITAS INDONESIA,STATISTIKA,S1,12,320,3.75
UNIVERSITAS INDONESIA,TEKNIK BIOMEDIS,S1,8,182,4.4
UNIVERSITAS INDONESIA,TEKNIK ELEKTRO,S1,20,318,6.29
UNIVERSITAS INDONESIA,TEKNIK INDUSTRI,S1,22,512,4.3
UNIVERSITAS INDONESIA,TEKNIK KIMIA,S1,18,300,6.0
UNIVERSITAS INDONESIA,TEKNIK KOMPUTER,S1,16,247,6.48
UNIVERSITAS INDONESIA,TEKNIK LINGKUNGAN,S1,14,280,5.0
UNIVERSITAS INDONESIA,TEKNIK MESIN,S1,16,221,7.24
UNIVERSITAS INDONESIA,TEKNIK METALURGI & MATERIAL,S1,20,233,8.58
UNIVERSITAS INDONESIA,TEKNIK PERKAPALAN,S1,12,152,7.89
UNIVERSITAS INDONESIA,TEKNIK SIPIL,S1,18,376,4.79
UNIVERSITAS INDONESIA,TEKNOLOGI BIOPROSES,S1,12,252,4.76
