Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,ADMINISTRASI PUBLIK,67,749,8.95
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,AGROTEKNOLOGI,27,408,6.62
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,BAHASA DAN SASTRA INGGRIS,81,592,13.68
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,BIOLOGI,27,376,7.18
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,FISIKA,13,113,11.5
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,ILMU HUKUM,54,452,11.95
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,ILMU KOM. KONST. HUMAS,40,384,10.42
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,ILMU KOM. KONST. JURNALISTIK,54,638,8.46
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,ILMU POLITIK,27,113,23.89
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,KIMIA,27,240,11.25
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,MANAJEMEN,67,1248,5.37
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,MATEMATIKA,27,296,9.12
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,PSIKOLOGI,60,1136,5.28
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,SOSIOLOGI,67,548,12.23
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,TEKNIK ELEKTRO,27,293,9.22
UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,TEKNIK INFORMATIKA,40,801,4.99
