Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS ISLAM NEGERI WALISONGO,BIOLOGI,S1,27,109,24.77
UNIVERSITAS ISLAM NEGERI WALISONGO,FISIKA,S1,18,14,100.0
UNIVERSITAS ISLAM NEGERI WALISONGO,GIZI,S1,30,498,6.02
UNIVERSITAS ISLAM NEGERI WALISONGO,ILMU HUKUM,S1,40,158,25.32
UNIVERSITAS ISLAM NEGERI WALISONGO,ILMU POLITIK,S1,40,110,36.36
UNIVERSITAS ISLAM NEGERI WALISONGO,KIMIA,S1,27,67,40.3
UNIVERSITAS ISLAM NEGERI WALISONGO,MANAJEMEN,S1,30,447,6.71
UNIVERSITAS ISLAM NEGERI WALISONGO,MATEMATIKA,S1,27,91,29.67
UNIVERSITAS ISLAM NEGERI WALISONGO,PSIKOLOGI,S1,40,466,8.58
UNIVERSITAS ISLAM NEGERI WALISONGO,SOSIOLOGI,S1,60,218,27.52
UNIVERSITAS ISLAM NEGERI WALISONGO,TEKNOLOGI INFORMASI,S1,27,138,19.57
