Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS JAMBI,ADMINISTRASI PENDIDIKAN,23,169,13.61
UNIVERSITAS JAMBI,AGRIBISNIS,62,392,15.82
UNIVERSITAS JAMBI,AGROEKOTEKNOLOGI,75,304,24.67
UNIVERSITAS JAMBI,AKUNTANSI,75,590,12.71
UNIVERSITAS JAMBI,ARKEOLOGI,10,72,13.89
UNIVERSITAS JAMBI,BIMBINGAN DAN KONSELING,32,280,11.43
UNIVERSITAS JAMBI,BIOLOGI,20,40,50.0
UNIVERSITAS JAMBI,EKONOMI ISLAM,40,155,25.81
UNIVERSITAS JAMBI,FARMASI,20,276,7.25
UNIVERSITAS JAMBI,FISIKA,20,12,100.0
UNIVERSITAS JAMBI,ILMU EKONOMI PEMBANGUNAN,63,333,18.92
UNIVERSITAS JAMBI,ILMU HUKUM,138,578,23.88
UNIVERSITAS JAMBI,ILMU KEPERAWATAN,30,185,16.22
UNIVERSITAS JAMBI,ILMU KESEHATAN MASYARAKAT,75,573,13.09
UNIVERSITAS JAMBI,ILMU PEMERINTAHAN,33,264,12.5
UNIVERSITAS JAMBI,ILMU POLITIK,38,79,48.1
UNIVERSITAS JAMBI,ILMU SEJARAH,23,38,60.53
UNIVERSITAS JAMBI,KEDOKTERAN,25,720,3.47
UNIVERSITAS JAMBI,KEHUTANAN,50,108,46.3
UNIVERSITAS JAMBI,KEPELATIHAN OLAHRAGA,40,19,100.0
UNIVERSITAS JAMBI,KEUANGAN DAERAH,20,0,100.0
UNIVERSITAS JAMBI,KIMIA,20,60,33.33
UNIVERSITAS JAMBI,MANAJEMEN,75,870,8.62
UNIVERSITAS JAMBI,MANAJEMEN PEMERINTAHAN,20,0,100.0
UNIVERSITAS JAMBI,MATEMATIKA,20,42,47.62
UNIVERSITAS JAMBI,PEMANFAATAN SUMBERDAYA PERIKANAN,38,53,71.7
UNIVERSITAS JAMBI,PEND. BAHASA INGGRIS,30,280,10.71
UNIVERSITAS JAMBI,"PEND. BAHASA, SASTRA INDONESIA & DAERAH",40,332,12.05
UNIVERSITAS JAMBI,PEND. BIOLOGI,30,179,16.76
UNIVERSITAS JAMBI,PEND. EKONOMI,30,165,18.18
UNIVERSITAS JAMBI,PEND. FISIKA,23,98,23.47
UNIVERSITAS JAMBI,PEND. GURU SEKOLAH DASAR,50,1167,4.28
UNIVERSITAS JAMBI,PEND. KIMIA,30,118,25.42
UNIVERSITAS JAMBI,PEND. MATEMATIKA,30,262,11.45
UNIVERSITAS JAMBI,PEND. OLAHRAGA & KESEHATAN,60,81,74.07
UNIVERSITAS JAMBI,PENDIDIKAN BAHASA ARAB,20,54,37.04
UNIVERSITAS JAMBI,PENDIDIKAN GURU PAUD,30,144,20.83
UNIVERSITAS JAMBI,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,20,120,16.67
UNIVERSITAS JAMBI,PENDIDIKAN SEJARAH,13,150,8.67
UNIVERSITAS JAMBI,PETERNAKAN,75,236,31.78
UNIVERSITAS JAMBI,PSIKOLOGI,25,329,7.6
UNIVERSITAS JAMBI,SASTRA INDONESIA,10,52,19.23
UNIVERSITAS JAMBI,SENI DRAMA TARI DAN MUSIK,10,23,43.48
UNIVERSITAS JAMBI,SISTEM INFORMASI,63,517,12.19
UNIVERSITAS JAMBI,TEKNIK ELEKTRO,20,56,35.71
UNIVERSITAS JAMBI,TEKNIK GEOFISIKA,20,33,60.61
UNIVERSITAS JAMBI,TEKNIK GEOLOGI,20,37,54.05
UNIVERSITAS JAMBI,TEKNIK KIMIA,20,54,37.04
UNIVERSITAS JAMBI,TEKNIK LINGKUNGAN,20,62,32.26
UNIVERSITAS JAMBI,TEKNIK PERTAMBANGAN,20,98,20.41
UNIVERSITAS JAMBI,TEKNIK PERTANIAN,25,115,21.74
UNIVERSITAS JAMBI,TEKNIK SIPIL,20,132,15.15
UNIVERSITAS JAMBI,TEKNOLOGI HASIL PERTANIAN,25,128,19.53
UNIVERSITAS JAMBI,TEKNOLOGI INDUSTRI PERTANIAN,25,65,38.46
