Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS LAMPUNG,AGRIBISNIS,24,460,5.22
UNIVERSITAS LAMPUNG,AGRONOMI,24,145,16.55
UNIVERSITAS LAMPUNG,AGROTEKNOLOGI,16,229,6.99
UNIVERSITAS LAMPUNG,AKUNTANSI,35,616,5.68
UNIVERSITAS LAMPUNG,ARSITEKTUR,19,158,12.03
UNIVERSITAS LAMPUNG,BAHASA PERANCIS,19,23,82.61
UNIVERSITAS LAMPUNG,BIMB. KONSELING,28,407,6.88
UNIVERSITAS LAMPUNG,BIOLOGI,45,199,22.61
UNIVERSITAS LAMPUNG,BIOLOGI TERAPAN,18,63,28.57
UNIVERSITAS LAMPUNG,BUDIDAYA PERAIRAN,14,116,12.07
UNIVERSITAS LAMPUNG,FARMASI,19,373,5.09
UNIVERSITAS LAMPUNG,FISIKA,45,88,51.14
UNIVERSITAS LAMPUNG,HUBUNGAN INTERNASIONAL,26,284,9.15
UNIVERSITAS LAMPUNG,HUKUM,145,830,17.47
UNIVERSITAS LAMPUNG,IESP,30,212,14.15
UNIVERSITAS LAMPUNG,ILMU ADM. NEGARA,26,408,6.37
UNIVERSITAS LAMPUNG,ILMU ADM. NIAGA/BISNIS,26,593,4.38
UNIVERSITAS LAMPUNG,ILMU KELAUTAN,10,53,18.87
UNIVERSITAS LAMPUNG,ILMU KOMPUTER,45,409,11.0
UNIVERSITAS LAMPUNG,ILMU KOMUNIKASI,26,595,4.37
UNIVERSITAS LAMPUNG,ILMU PEMERINTAHAN,26,433,6.0
UNIVERSITAS LAMPUNG,ILMU TANAH,18,78,23.08
UNIVERSITAS LAMPUNG,KEHUTANAN,24,260,9.23
UNIVERSITAS LAMPUNG,KIMIA,45,166,27.11
UNIVERSITAS LAMPUNG,MANAJEMEN,35,975,3.59
UNIVERSITAS LAMPUNG,MATEMATIKA,45,247,18.22
UNIVERSITAS LAMPUNG,NUTRISI DAN TEKNOLOGI PAKAN TERNAK,14,57,24.56
UNIVERSITAS LAMPUNG,PEND. B. INGGRIS,28,375,7.47
UNIVERSITAS LAMPUNG,PEND. BAHASA INDONESIA,28,418,6.7
UNIVERSITAS LAMPUNG,PEND. BIOLOGI,28,340,8.24
UNIVERSITAS LAMPUNG,PEND. EKONOMI,28,258,10.85
UNIVERSITAS LAMPUNG,PEND. FISIKA,28,131,21.37
UNIVERSITAS LAMPUNG,PEND. GEOGRAFI,28,279,10.04
UNIVERSITAS LAMPUNG,PEND. KEDOKTERAN,61,852,7.16
UNIVERSITAS LAMPUNG,PEND. KIMIA,28,193,14.51
UNIVERSITAS LAMPUNG,PEND. MATEMATIKA,28,356,7.87
UNIVERSITAS LAMPUNG,PEND. SEJARAH,28,221,12.67
UNIVERSITAS LAMPUNG,PENDIDIKAN ANAK USIA DINI,28,158,17.72
UNIVERSITAS LAMPUNG,PENDIDIKAN JASMANI,28,72,38.89
UNIVERSITAS LAMPUNG,PENDIDIKAN MUSIK,19,15,100.0
UNIVERSITAS LAMPUNG,PENDIDIKAN TARI,19,61,31.15
UNIVERSITAS LAMPUNG,PENDIDIKAN TEKNOLOGI INFORMASI,13,180,7.22
UNIVERSITAS LAMPUNG,PENYULUHAN PERTANIAN,17,103,16.5
UNIVERSITAS LAMPUNG,PETERNAKAN,16,129,12.4
UNIVERSITAS LAMPUNG,PGSD,97,1192,8.14
UNIVERSITAS LAMPUNG,PPKN,28,286,9.79
UNIVERSITAS LAMPUNG,PROTEKSI TANAMAN,18,67,26.87
UNIVERSITAS LAMPUNG,SOSIOLOGI,26,397,6.55
UNIVERSITAS LAMPUNG,SUMBERDAYA AKUATIK,10,37,27.03
UNIVERSITAS LAMPUNG,TEKNIK ELEKTRO,30,191,15.71
UNIVERSITAS LAMPUNG,TEKNIK GEODESI,19,98,19.39
UNIVERSITAS LAMPUNG,TEKNIK GEOFISIKA,17,109,15.6
UNIVERSITAS LAMPUNG,TEKNIK INFORMATIKA,30,429,6.99
UNIVERSITAS LAMPUNG,TEKNIK KIMIA,30,139,21.58
UNIVERSITAS LAMPUNG,TEKNIK MESIN,30,137,21.9
UNIVERSITAS LAMPUNG,TEKNIK PERTANIAN,20,150,13.33
UNIVERSITAS LAMPUNG,TEKNIK SIPIL,30,416,7.21
UNIVERSITAS LAMPUNG,TEKNOLOGI HASIL PERTANIAN,20,244,8.2
UNIVERSITAS LAMPUNG,TEKNOLOGI INDUSTRI PERTANIAN,15,107,14.02
