Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS MALIKUSSALEH,ADMINISTRASI BISNIS,60,153,39.22
UNIVERSITAS MALIKUSSALEH,ADMINISTRASI PUBLIK,160,203,78.82
UNIVERSITAS MALIKUSSALEH,AGRIBISNIS,60,235,25.53
UNIVERSITAS MALIKUSSALEH,AGROEKOTEKNOLOGI,120,272,44.12
UNIVERSITAS MALIKUSSALEH,AKUAKULTUR,45,32,100.0
UNIVERSITAS MALIKUSSALEH,AKUNTANSI,125,385,32.47
UNIVERSITAS MALIKUSSALEH,ANTROPOLOGI,80,44,100.0
UNIVERSITAS MALIKUSSALEH,EKONOMI SYARIAH,80,209,38.28
UNIVERSITAS MALIKUSSALEH,HUKUM,225,285,78.95
UNIVERSITAS MALIKUSSALEH,ILMU EKONOMI & STUDI PEMBANGUNAN,125,113,100.0
UNIVERSITAS MALIKUSSALEH,ILMU KELAUTAN,30,42,71.43
UNIVERSITAS MALIKUSSALEH,ILMU KOMUNIKASI,160,277,57.76
UNIVERSITAS MALIKUSSALEH,ILMU POLITIK,100,36,100.0
UNIVERSITAS MALIKUSSALEH,KEDOKTERAN,24,614,3.91
UNIVERSITAS MALIKUSSALEH,KEWIRUSAHAAN,35,476,7.35
UNIVERSITAS MALIKUSSALEH,MANAJEMEN,150,575,26.09
UNIVERSITAS MALIKUSSALEH,PENDIDIKAN BAHASA INDONESIA,50,179,27.93
UNIVERSITAS MALIKUSSALEH,PENDIDIKAN FISIKA,60,35,100.0
UNIVERSITAS MALIKUSSALEH,PENDIDIKAN KIMIA,60,55,100.0
UNIVERSITAS MALIKUSSALEH,PENDIDIKAN MATEMATIKA,60,93,64.52
UNIVERSITAS MALIKUSSALEH,PENDIDIKAN VOKASIONAL TEKNIK MESIN,30,15,100.0
UNIVERSITAS MALIKUSSALEH,PSIKOLOGI,75,268,27.99
UNIVERSITAS MALIKUSSALEH,SISTEM INFORMASI,100,203,49.26
UNIVERSITAS MALIKUSSALEH,SOSIOLOGI,80,141,56.74
UNIVERSITAS MALIKUSSALEH,TEKNIK ARSITEKTUR,100,119,84.03
UNIVERSITAS MALIKUSSALEH,TEKNIK ELEKTRO,100,143,69.93
UNIVERSITAS MALIKUSSALEH,TEKNIK INDUSTRI,125,257,48.64
UNIVERSITAS MALIKUSSALEH,TEKNIK INFORMATIKA,125,555,22.52
UNIVERSITAS MALIKUSSALEH,TEKNIK KIMIA,150,155,96.77
UNIVERSITAS MALIKUSSALEH,TEKNIK LOGISTIK,50,0,100.0
UNIVERSITAS MALIKUSSALEH,TEKNIK MATERIAL,60,12,100.0
UNIVERSITAS MALIKUSSALEH,TEKNIK MESIN,150,133,100.0
UNIVERSITAS MALIKUSSALEH,TEKNIK SIPIL,150,289,51.9
