Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NEGERI GORONTALO,ADMINISTRASI PUBLIK,35,143,24.48
UNIVERSITAS NEGERI GORONTALO,AGRIBISNIS,40,66,60.61
UNIVERSITAS NEGERI GORONTALO,AGROTEKNOLOGI,40,35,100.0
UNIVERSITAS NEGERI GORONTALO,AKUNTANSI,58,300,19.33
UNIVERSITAS NEGERI GORONTALO,BIMBINGAN DAN KONSELING,40,77,51.95
UNIVERSITAS NEGERI GORONTALO,BIOLOGI,25,32,78.12
UNIVERSITAS NEGERI GORONTALO,BUDIDAYA PERAIRAN,65,13,100.0
UNIVERSITAS NEGERI GORONTALO,EKONOMI PEMBANGUNAN,35,60,58.33
UNIVERSITAS NEGERI GORONTALO,FARMASI,36,403,8.93
UNIVERSITAS NEGERI GORONTALO,FISIKA,13,15,86.67
UNIVERSITAS NEGERI GORONTALO,ILMU HUKUM,140,315,44.44
UNIVERSITAS NEGERI GORONTALO,ILMU KOMUNIKASI,35,168,20.83
UNIVERSITAS NEGERI GORONTALO,ILMU TEKNOLOGI PANGAN,30,19,100.0
UNIVERSITAS NEGERI GORONTALO,KEDOKTERAN,15,0,100.0
UNIVERSITAS NEGERI GORONTALO,KEPERAWATAN,45,407,11.06
UNIVERSITAS NEGERI GORONTALO,KESEHATAN MASYARAKAT,75,287,26.13
UNIVERSITAS NEGERI GORONTALO,KIMIA,24,26,92.31
UNIVERSITAS NEGERI GORONTALO,MANAJAMEN SUMBERDAYA PERAIRAN,65,19,100.0
UNIVERSITAS NEGERI GORONTALO,MANAJEMEN,70,404,17.33
UNIVERSITAS NEGERI GORONTALO,MANAJEMEN PENDIDIKAN,50,112,44.64
UNIVERSITAS NEGERI GORONTALO,MATEMATIKA,22,47,46.81
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN ANAK USIA DINI,56,39,100.0
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,45,118,38.14
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN BAHASA INGGRIS,45,147,30.61
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN BIOLOGI,25,55,45.45
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN EKONOMI,75,94,79.79
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN FISIKA,23,39,58.97
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN GEOGRAFI,40,0,100.0
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN GURU SD,75,592,12.67
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN ILMU PENGETAHUAN ALAM,20,15,100.0
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN JASMANI KESEHATAN DAN REKREASI,45,20,100.0
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN KEPELATIHAN OLAHRAGA,27,8,100.0
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN KIMIA,24,32,75.0
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN LUAR SEKOLAH,30,23,100.0
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN MATEMATIKA,58,138,42.03
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN PANCASLA DAN KEWARGANEGARAAN,36,42,85.71
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN SEJARAH,35,39,89.74
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN SENDRATASIK,9,11,81.82
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN SENI RUPA,20,0,100.0
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN TEKNIK MESIN,20,9,100.0
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN TEKNOLOGI INFORMASI,30,76,39.47
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN VOKASIONAL KONSTRUKSI BANGUNAN,8,3,100.0
UNIVERSITAS NEGERI GORONTALO,PETERNAKAN,30,21,100.0
UNIVERSITAS NEGERI GORONTALO,SISTEM INFORMASI,40,174,22.99
UNIVERSITAS NEGERI GORONTALO,SOSIOLOGI,35,84,41.67
UNIVERSITAS NEGERI GORONTALO,STATISTIKA,30,80,37.5
UNIVERSITAS NEGERI GORONTALO,TEKNIK ARSITEKTUR,35,68,51.47
UNIVERSITAS NEGERI GORONTALO,TEKNIK ELEKTRO,40,41,97.56
UNIVERSITAS NEGERI GORONTALO,TEKNIK GEOLOGI,30,36,83.33
UNIVERSITAS NEGERI GORONTALO,TEKNIK INDUSTRI,20,24,83.33
UNIVERSITAS NEGERI GORONTALO,TEKNIK SIPIL,35,122,28.69
UNIVERSITAS NEGERI GORONTALO,TEKNOLOGI HASIL PERIKANAN,65,12,100.0
