Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NEGERI JAKARTA,AKUNTANSI,30,1238,2.42
UNIVERSITAS NEGERI JAKARTA,BIMBINGAN & KONSELING,20,680,2.94
UNIVERSITAS NEGERI JAKARTA,BIOLOGI,20,300,6.67
UNIVERSITAS NEGERI JAKARTA,BISNIS DIGITAL,23,0,100.0
UNIVERSITAS NEGERI JAKARTA,FISIKA,20,132,15.15
UNIVERSITAS NEGERI JAKARTA,GEOGRAFI,15,0,100.0
UNIVERSITAS NEGERI JAKARTA,ILMU KEOLAHRAGAAN,20,40,50.0
UNIVERSITAS NEGERI JAKARTA,ILMU KOMPUTER,10,197,5.08
UNIVERSITAS NEGERI JAKARTA,ILMU KOMUNIKASI,19,1508,1.26
UNIVERSITAS NEGERI JAKARTA,KEPELATIHAN KECABANGAN OLAHRAGA,10,71,14.08
UNIVERSITAS NEGERI JAKARTA,KIMIA,20,202,9.9
UNIVERSITAS NEGERI JAKARTA,MANAJEMEN,30,2158,1.39
UNIVERSITAS NEGERI JAKARTA,MANAJEMEN PENDIDIKAN,23,781,2.94
UNIVERSITAS NEGERI JAKARTA,MATEMATIKA,10,196,5.1
UNIVERSITAS NEGERI JAKARTA,OLAHRAGA REKREASI,20,35,57.14
UNIVERSITAS NEGERI JAKARTA,PEND. GURU PAUD,30,356,8.43
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN ADMINISTRASI PERKANTORAN,20,691,2.89
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN AGAMA ISLAM,20,781,2.56
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA ARAB,25,444,5.63
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA INDONESIA,23,384,5.99
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA INGGRIS,19,442,4.3
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA JEPANG,19,257,7.39
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA JERMAN,13,87,14.94
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA MANDARIN,7,78,8.97
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA PRANCIS,8,80,10.0
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BIOLOGI,20,356,5.62
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BISNIS,20,414,4.83
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN EKONOMI,30,489,6.13
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN FISIKA,20,147,13.61
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN GEOGRAFI,20,311,6.43
