Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NEGERI MANADO,AKUNTANSI,S1,72,120,60.0
UNIVERSITAS NEGERI MANADO,ARSITEKTUR,S1,36,27,100.0
UNIVERSITAS NEGERI MANADO,BAH & SASTRA INGGRIS,S1,18,51,35.29
UNIVERSITAS NEGERI MANADO,BIMBINGAN KONSELING,S1,24,36,66.67
UNIVERSITAS NEGERI MANADO,ILMU ADM NEGARA,S1,60,111,54.05
UNIVERSITAS NEGERI MANADO,ILMU BIOLOGI,S1,15,25,60.0
UNIVERSITAS NEGERI MANADO,ILMU EKONOMI,S1,72,46,100.0
UNIVERSITAS NEGERI MANADO,ILMU FISIKA,S1,12,5,100.0
UNIVERSITAS NEGERI MANADO,ILMU GEOGRAFI,S1,12,16,75.0
UNIVERSITAS NEGERI MANADO,ILMU HUKUM,S1,60,85,70.59
UNIVERSITAS NEGERI MANADO,ILMU KEOLAHRAGAAN,S1,12,1,100.0
UNIVERSITAS NEGERI MANADO,ILMU KESEHATAN MASYARAKAT,S1,48,117,41.03
UNIVERSITAS NEGERI MANADO,ILMU KIMIA,S1,12,6,100.0
UNIVERSITAS NEGERI MANADO,MANAJEMEN S1,S1,75,183,40.98
UNIVERSITAS NEGERI MANADO,PEND EKONOMI S1,S1,72,53,100.0
UNIVERSITAS NEGERI MANADO,PEND GEOGRAFI,S1,21,25,84.0
UNIVERSITAS NEGERI MANADO,PEND. ANAK USIA DINI,S1,36,18,100.0
UNIVERSITAS NEGERI MANADO,PEND. BAH INGGRIS,S1,30,65,46.15
UNIVERSITAS NEGERI MANADO,PEND. BAH. JERMAN,S1,9,4,100.0
UNIVERSITAS NEGERI MANADO,PEND. BAH. PERANCIS,S1,9,1,100.0
UNIVERSITAS NEGERI MANADO,PEND. BAHASA INDONESIA,S1,36,74,48.65
UNIVERSITAS NEGERI MANADO,PEND. BAHASA JEPANG,S1,12,27,44.44
UNIVERSITAS NEGERI MANADO,PEND. BIOLOGI,S1,27,57,47.37
UNIVERSITAS NEGERI MANADO,PEND. FISIKA,S1,18,25,72.0
UNIVERSITAS NEGERI MANADO,PEND. INF./KOM,S1,60,39,100.0
UNIVERSITAS NEGERI MANADO,"PEND. JASMANI, KES. REK",S1,36,7,100.0
UNIVERSITAS NEGERI MANADO,PEND. KEPELATIHAN OR,S1,36,2,100.0
UNIVERSITAS NEGERI MANADO,PEND. KES. KEL,S1,12,10,100.0
UNIVERSITAS NEGERI MANADO,PEND. KIMIA,S1,18,18,100.0
UNIVERSITAS NEGERI MANADO,PEND. MATEMATIKA,S1,27,72,37.5
UNIVERSITAS NEGERI MANADO,PEND. SEJARAH,S1,24,17,100.0
UNIVERSITAS NEGERI MANADO,PEND. SENI MUSIK,S1,36,10,100.0
UNIVERSITAS NEGERI MANADO,PEND. SENI RUPA,S1,15,4,100.0
UNIVERSITAS NEGERI MANADO,PEND. TEK BANGUNAN,S1,12,0,100.0
UNIVERSITAS NEGERI MANADO,PEND. TEK ELEKTRO,S1,24,19,100.0
UNIVERSITAS NEGERI MANADO,PEND. TEK MESIN,S1,24,3,100.0
UNIVERSITAS NEGERI MANADO,PENDIDIKAN IPA,S1,18,14,100.0
UNIVERSITAS NEGERI MANADO,PENDIDIKAN IPS,S1,12,10,100.0
UNIVERSITAS NEGERI MANADO,PENDIDIKAN SOSIOLOGI,S1,24,59,40.68
UNIVERSITAS NEGERI MANADO,PGSD,S1,96,214,44.86
UNIVERSITAS NEGERI MANADO,PLB/P.KH,S1,24,2,100.0
UNIVERSITAS NEGERI MANADO,PLS,S1,24,0,100.0
UNIVERSITAS NEGERI MANADO,PPKN,S1,24,27,88.89
UNIVERSITAS NEGERI MANADO,PSIKOLOGI,S1,48,128,37.5
UNIVERSITAS NEGERI MANADO,TEKNIK INFORMATIKA,S1,36,126,28.57
UNIVERSITAS NEGERI MANADO,TEKNIK MESIN,S1,24,9,100.0
UNIVERSITAS NEGERI MANADO,TEKNIK SIPIL,S1,36,56,64.29
