Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NEGERI SEMARANG,AKUNTANSI,105,1542,6.81
UNIVERSITAS NEGERI SEMARANG,BIMBINGAN DAN KONSELING,27,710,3.8
UNIVERSITAS NEGERI SEMARANG,BIOLOGI,24,365,6.58
UNIVERSITAS NEGERI SEMARANG,EKONOMI PEMBANGUNAN,83,927,8.95
UNIVERSITAS NEGERI SEMARANG,FARMASI,12,559,2.15
UNIVERSITAS NEGERI SEMARANG,FISIKA,15,184,8.15
UNIVERSITAS NEGERI SEMARANG,GEOGRAFI,68,599,11.35
UNIVERSITAS NEGERI SEMARANG,GIZI,36,956,3.77
UNIVERSITAS NEGERI SEMARANG,ILMU HUKUM,210,1401,14.99
UNIVERSITAS NEGERI SEMARANG,ILMU KEOLAHRAGAAN,36,58,62.07
UNIVERSITAS NEGERI SEMARANG,ILMU LINGKUNGAN,15,222,6.76
UNIVERSITAS NEGERI SEMARANG,ILMU POLITIK,60,362,16.57
UNIVERSITAS NEGERI SEMARANG,ILMU SEJARAH,30,309,9.71
UNIVERSITAS NEGERI SEMARANG,KESEHATAN MASYARAKAT,68,1789,3.8
UNIVERSITAS NEGERI SEMARANG,KIMIA,27,295,9.15
UNIVERSITAS NEGERI SEMARANG,MANAJEMEN,105,2593,4.05
UNIVERSITAS NEGERI SEMARANG,MATEMATIKA,27,300,9.0
UNIVERSITAS NEGERI SEMARANG,"P. SENI DRAMA, TARI & MUSIK (P. SENI MUSIK)",30,77,38.96
UNIVERSITAS NEGERI SEMARANG,"P. SENI DRAMA, TARI & MUSIK (P. SENI TARI)",30,98,30.61
UNIVERSITAS NEGERI SEMARANG,PEND. EKONOMI (PEND. ADMIN. PEKANTORAN),36,693,5.19
UNIVERSITAS NEGERI SEMARANG,PEND. TEKNIK INFORMATIKA & KOMPUTER,24,458,5.24
UNIVERSITAS NEGERI SEMARANG,PEND.GURU PEND. ANAK USIA DINI (PGPAUD),41,247,16.6
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN BAHASA ARAB,24,246,9.76
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,44,830,5.3
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN BAHASA DAN SASTRA JAWA,30,339,8.85
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN BAHASA INGGRIS,54,726,7.44
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN BAHASA JEPANG,24,195,12.31
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN BAHASA MANDARIN,12,83,14.46
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN BAHASA PRANCIS,24,53,45.28
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN BIOLOGI,32,559,5.72
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN EKONOMI (PENDIDIKAN AKUNTANSI),54,505,10.69
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN EKONOMI (PENDIDIKAN KOPERASI),36,249,14.46
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN FISIKA,36,266,13.53
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN GEOGRAFI,30,367,8.17
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN GURU SEKOLAH DASAR,158,2006,7.88
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN ILMU PENGETAHUAN SOSIAL,30,277,10.83
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN IPA,45,508,8.86
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN JASMANI SEKOLAH DASAR,27,47,57.45
UNIVERSITAS NEGERI SEMARANG,"PENDIDIKAN JASMANI, KESEHATAN & REKREASI",60,322,18.63
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN KEPELATIHAN OLAHRAGA,48,171,28.07
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN KESEJAHTERAAN KELUARGA,14,74,18.92
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN KIMIA,36,343,10.5
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN LUAR SEKOLAH,27,127,21.26
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN MATEMATIKA,63,1107,5.69
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN PANCASILA & KEWARGANEGARAAN,30,357,8.4
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN SEJARAH,30,404,7.43
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN SENI RUPA,24,57,42.11
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN SOSIOLOGI & ANTROPOLOGI,36,708,5.08
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN TATA BOGA,24,552,4.35
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN TATA BUSANA,24,512,4.69
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN TATA KECANTIKAN,24,442,5.43
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN TEKNIK BANGUNAN,24,113,21.24
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN TEKNIK ELEKTRO,24,130,18.46
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN TEKNIK MESIN,27,152,17.76
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN TEKNIK OTOMOTIF,27,195,13.85
UNIVERSITAS NEGERI SEMARANG,PSIKOLOGI,54,1330,4.06
UNIVERSITAS NEGERI SEMARANG,SASTRA INDONESIA,24,289,8.3
UNIVERSITAS NEGERI SEMARANG,SASTRA INGGRIS,44,584,7.53
UNIVERSITAS NEGERI SEMARANG,SASTRA JAWA,12,89,13.48
UNIVERSITAS NEGERI SEMARANG,SASTRA PRANCIS,24,106,22.64
UNIVERSITAS NEGERI SEMARANG,"SENI RUPA (DKV,LUKIS,PTNG,GRAFIS,GBR KRIYA)",36,159,22.64
UNIVERSITAS NEGERI SEMARANG,SISTEM INFORMASI,12,341,3.52
UNIVERSITAS NEGERI SEMARANG,TEKNIK ARSITEKTUR,36,414,8.7
UNIVERSITAS NEGERI SEMARANG,TEKNIK ELEKTRO,36,418,8.61
