Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NEGERI SURABAYA,ADMINISTRASI NEGARA,D4,23,0,100.0
UNIVERSITAS NEGERI SURABAYA,AKUNTANSI,S1,30,920,3.26
UNIVERSITAS NEGERI SURABAYA,BIOLOGI,S1,18,307,5.86
UNIVERSITAS NEGERI SURABAYA,DESAIN GRAFIS,D4,8,0,100.0
UNIVERSITAS NEGERI SURABAYA,DESAIN KOMUNIKASI VISUAL,S1,15,266,5.64
UNIVERSITAS NEGERI SURABAYA,EKONOMI,S1,20,267,7.49
UNIVERSITAS NEGERI SURABAYA,EKONOMI ISLAM,S1,23,222,10.36
UNIVERSITAS NEGERI SURABAYA,FISIKA,S1,18,136,13.24
UNIVERSITAS NEGERI SURABAYA,GIZI,S1,20,568,3.52
UNIVERSITAS NEGERI SURABAYA,ILMU ADMINISTRASI NEGARA,S1,25,707,3.54
UNIVERSITAS NEGERI SURABAYA,ILMU HUKUM,S1,50,519,9.63
UNIVERSITAS NEGERI SURABAYA,ILMU KEOLAHRAGAAN,S1,45,59,76.27
UNIVERSITAS NEGERI SURABAYA,ILMU KOMUNIKASI,S1,20,684,2.92
UNIVERSITAS NEGERI SURABAYA,KEPELATIHAN OLAHRAGA,D4,8,0,100.0
UNIVERSITAS NEGERI SURABAYA,KIMIA,S1,18,228,7.89
UNIVERSITAS NEGERI SURABAYA,KURIKULUM DAN TEKNOLOGI PENDIDIKAN,S1,23,194,11.86
UNIVERSITAS NEGERI SURABAYA,MANAJEMEN,S1,45,1641,2.74
UNIVERSITAS NEGERI SURABAYA,MANAJEMEN INFORMATIKA,D4,20,0,100.0
UNIVERSITAS NEGERI SURABAYA,MANAJEMEN PENDIDIKAN,S1,23,335,6.87
UNIVERSITAS NEGERI SURABAYA,MATEMATIKA,S1,18,280,6.43
UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAERAH (JAWA),S1,25,349,7.16
UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAN SASTRA INDONESIA,S1,27,566,4.77
UNIVERSITAS NEGERI SURABAYA,P. BAHASA INGGRIS,S1,30,450,6.67
UNIVERSITAS NEGERI SURABAYA,P. BAHASA JEPANG,S1,20,163,12.27
UNIVERSITAS NEGERI SURABAYA,P. BAHASA JERMAN,S1,10,34,29.41
UNIVERSITAS NEGERI SURABAYA,P. EKONOMI,S1,23,191,12.04
UNIVERSITAS NEGERI SURABAYA,P. GEOGRAFI,S1,25,286,8.74
UNIVERSITAS NEGERI SURABAYA,P. SENDRATASIK,S1,23,107,21.5
UNIVERSITAS NEGERI SURABAYA,P. SENI RUPA,S1,19,100,19.0
UNIVERSITAS NEGERI SURABAYA,PEND. ADM. PERKANTORAN,S1,23,463,4.97
UNIVERSITAS NEGERI SURABAYA,PEND. AKUNTANSI,S1,20,197,10.15
UNIVERSITAS NEGERI SURABAYA,PEND. BAHASA MANDARIN,S1,18,103,17.48
UNIVERSITAS NEGERI SURABAYA,PEND. BIOLOGI,S1,25,483,5.18
UNIVERSITAS NEGERI SURABAYA,PEND. FISIKA,S1,25,254,9.84
UNIVERSITAS NEGERI SURABAYA,PEND. ILMU PENGETAHUAN SOSIAL,S1,20,234,8.55
UNIVERSITAS NEGERI SURABAYA,"PEND. JASMANI, KESEHATAN DAN REKREASI",S1,40,241,16.6
UNIVERSITAS NEGERI SURABAYA,PEND. KEPELATIHAN OLAHRAGA,S1,40,158,25.32
UNIVERSITAS NEGERI SURABAYA,PEND. KIMIA,S1,25,315,7.94
UNIVERSITAS NEGERI SURABAYA,PEND. MATEMATIKA,S1,25,524,4.77
UNIVERSITAS NEGERI SURABAYA,PEND. PANCASILA DAN KEWARGANEGARAAN,S1,23,251,9.16
UNIVERSITAS NEGERI SURABAYA,PEND. SAINS,S1,25,406,6.16
UNIVERSITAS NEGERI SURABAYA,PEND. SEJARAH,S1,23,266,8.65
UNIVERSITAS NEGERI SURABAYA,PEND. TATA BOGA,S1,20,552,3.62
UNIVERSITAS NEGERI SURABAYA,PEND. TATA BUSANA,S1,20,393,5.09
