Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NEGERI YOGYAKARTA,ADMINISTRASI NEGARA,S1,41,738,5.56
UNIVERSITAS NEGERI YOGYAKARTA,AKUNTANSI,S1,39,1581,2.47
UNIVERSITAS NEGERI YOGYAKARTA,BAHASA DAN SASTRA INGGRIS,S1,27,502,5.38
UNIVERSITAS NEGERI YOGYAKARTA,BAHASA. DAN SASTRA INDONESIA,S1,27,333,8.11
UNIVERSITAS NEGERI YOGYAKARTA,BIMBINGAN & KONSELING,S1,27,567,4.76
UNIVERSITAS NEGERI YOGYAKARTA,BIOLOGI,S1,27,409,6.6
UNIVERSITAS NEGERI YOGYAKARTA,FISIKA,S1,27,164,16.46
UNIVERSITAS NEGERI YOGYAKARTA,ILMU KEOLAHRAGAAN,S1,18,40,45.0
UNIVERSITAS NEGERI YOGYAKARTA,ILMU KOMUNIKASI,S1,41,909,4.51
UNIVERSITAS NEGERI YOGYAKARTA,ILMU SEJARAH,S1,27,198,13.64
UNIVERSITAS NEGERI YOGYAKARTA,KEBIJAKAN PENDIDIKAN,S1,14,94,14.89
UNIVERSITAS NEGERI YOGYAKARTA,KIMIA,S1,27,332,8.13
UNIVERSITAS NEGERI YOGYAKARTA,MANAJEMEN,S1,78,3090,2.52
UNIVERSITAS NEGERI YOGYAKARTA,MANAJEMEN PENDIDIKAN,S1,27,457,5.91
UNIVERSITAS NEGERI YOGYAKARTA,MATEMATIKA,S1,27,459,5.88
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN ADMINISTRASI PERKANTORAN,S1,26,768,3.39
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN AKUNTANSI,S1,26,257,10.12
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,40,554,7.22
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN BAHASA INGGRIS,S1,80,524,15.27
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN BAHASA JAWA,S1,40,278,14.39
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN BAHASA JERMAN,S1,27,106,25.47
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN BAHASA PRANCIS,S1,27,93,29.03
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN BIOLOGI,S1,27,486,5.56
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN EKONOMI,S1,39,361,10.8
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN FISIKA,S1,27,210,12.86
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN GEOGRAFI,S1,27,443,6.09
