Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NUSA CENDANA,AGRIBISNIS,44,66,66.67
UNIVERSITAS NUSA CENDANA,AGRONOMI/AGROEKOTEKNOLOGI,52,59,88.14
UNIVERSITAS NUSA CENDANA,AKUNTANSI,37,556,6.65
UNIVERSITAS NUSA CENDANA,BIMBINGAN KONSELING,25,54,46.3
UNIVERSITAS NUSA CENDANA,BIOLOGI,20,27,74.07
UNIVERSITAS NUSA CENDANA,BUDIDAYA PERIKANAN,15,13,100.0
UNIVERSITAS NUSA CENDANA,EKONOMI PEMBANGUNAN,25,63,39.68
UNIVERSITAS NUSA CENDANA,FISIKA,20,21,95.24
UNIVERSITAS NUSA CENDANA,ILMU ADM.NEGARA,62,278,22.3
UNIVERSITAS NUSA CENDANA,ILMU ADM.NIAGA,60,100,60.0
UNIVERSITAS NUSA CENDANA,ILMU HUKUM,125,234,53.42
UNIVERSITAS NUSA CENDANA,ILMU KESEHATAN MASYARAKAT,59,239,24.69
UNIVERSITAS NUSA CENDANA,ILMU KOMPUTER,20,144,13.89
UNIVERSITAS NUSA CENDANA,ILMU KOMUNIKASI,40,250,16.0
UNIVERSITAS NUSA CENDANA,ILMU PETERNAKAN,125,61,100.0
UNIVERSITAS NUSA CENDANA,ILMU POLITIK,44,33,100.0
UNIVERSITAS NUSA CENDANA,KEDOKTERAN HEWAN,15,91,16.48
UNIVERSITAS NUSA CENDANA,KEHUTANAN,20,46,43.48
UNIVERSITAS NUSA CENDANA,KIMIA,20,36,55.56
UNIVERSITAS NUSA CENDANA,MANAJEMEN,62,380,16.32
UNIVERSITAS NUSA CENDANA,MANAJEMEN SUMBER DAYA PERAIRAN,20,16,100.0
UNIVERSITAS NUSA CENDANA,MATEMATIKA,20,55,36.36
UNIVERSITAS NUSA CENDANA,PEND. ANAK USIA DINI,25,52,48.08
UNIVERSITAS NUSA CENDANA,PEND. BHS & SASTRA INDO.,37,65,56.92
UNIVERSITAS NUSA CENDANA,PEND. BHS. INGGRIS,45,108,41.67
UNIVERSITAS NUSA CENDANA,PEND. BIOLOGI,22,31,70.97
UNIVERSITAS NUSA CENDANA,PEND. EKONOMI,35,42,83.33
UNIVERSITAS NUSA CENDANA,PEND. FISIKA,30,40,75.0
UNIVERSITAS NUSA CENDANA,PEND. GEOGRAFI,35,109,32.11
UNIVERSITAS NUSA CENDANA,PEND. GURU SEKOLAH DASAR,45,220,20.45
UNIVERSITAS NUSA CENDANA,PEND. KIMIA,30,60,50.0
UNIVERSITAS NUSA CENDANA,PEND. LUAR SEKOLAH,25,1,100.0
UNIVERSITAS NUSA CENDANA,PEND. MATEMATIKA,30,93,32.26
UNIVERSITAS NUSA CENDANA,PEND. SEJARAH,35,43,81.4
UNIVERSITAS NUSA CENDANA,PEND. TEKNIK BANGUNAN,20,15,100.0
UNIVERSITAS NUSA CENDANA,PEND. TEKNIK ELEKTRO,20,8,100.0
UNIVERSITAS NUSA CENDANA,PEND. TEKNIK MESIN,15,2,100.0
UNIVERSITAS NUSA CENDANA,PENDIDIKAN DOKTER,21,304,6.91
UNIVERSITAS NUSA CENDANA,PENJASKESREK,25,1,100.0
UNIVERSITAS NUSA CENDANA,PPKN,35,95,36.84
UNIVERSITAS NUSA CENDANA,PSIKOLOGI,37,55,67.27
UNIVERSITAS NUSA CENDANA,SOSIOLOGI,30,60,50.0
UNIVERSITAS NUSA CENDANA,TEKNIK ARSITEKTUR,20,52,38.46
UNIVERSITAS NUSA CENDANA,TEKNIK ELEKTRO,20,67,29.85
UNIVERSITAS NUSA CENDANA,TEKNIK MESIN,20,16,100.0
UNIVERSITAS NUSA CENDANA,TEKNIK PERTAMBANGAN,10,30,33.33
UNIVERSITAS NUSA CENDANA,TEKNIK SIPIL,20,241,8.3
