Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS PADJADJARAN,ADMINISTRASI BISNIS PSDKU PANGANDARAN,S1,9,69,13.04
UNIVERSITAS PADJADJARAN,ADMINISTRASI PUBLIK,S1,20,599,3.34
UNIVERSITAS PADJADJARAN,AGRIBISNIS,S1,33,727,4.54
UNIVERSITAS PADJADJARAN,AGROTEKNOLOGI,S1,75,1073,6.99
UNIVERSITAS PADJADJARAN,AKUNTANSI,S1,34,1087,3.13
UNIVERSITAS PADJADJARAN,ANTROPOLOGI,S1,13,246,5.28
UNIVERSITAS PADJADJARAN,BIOLOGI,S1,36,443,8.13
UNIVERSITAS PADJADJARAN,BISNIS DIGITAL,S1,12,420,2.86
UNIVERSITAS PADJADJARAN,EKONOMI ISLAM,S1,24,304,7.89
UNIVERSITAS PADJADJARAN,FARMASI,S1,30,1810,1.66
UNIVERSITAS PADJADJARAN,FISIKA,S1,24,202,11.88
UNIVERSITAS PADJADJARAN,GEOFISIKA,S1,15,207,7.25
UNIVERSITAS PADJADJARAN,HUBUNGAN MASYARAKAT,S1,23,457,5.03
UNIVERSITAS PADJADJARAN,ILMU ADMINISTRASI BISNIS,S1,25,805,3.11
UNIVERSITAS PADJADJARAN,ILMU AKTUARIA,S1,13,421,3.09
UNIVERSITAS PADJADJARAN,ILMU EKONOMI,S1,24,354,6.78
UNIVERSITAS PADJADJARAN,ILMU HUBUNGAN INTERNASIONAL,S1,30,917,3.27
UNIVERSITAS PADJADJARAN,ILMU HUKUM,S1,93,1272,7.31
UNIVERSITAS PADJADJARAN,ILMU KELAUTAN,S1,30,323,9.29
UNIVERSITAS PADJADJARAN,ILMU KEPERAWATAN,S1,40,1815,2.2
UNIVERSITAS PADJADJARAN,ILMU KESEJAHTERAAN SOSIAL,S1,15,493,3.04
UNIVERSITAS PADJADJARAN,ILMU KOMUNIKASI,S1,23,1279,1.8
UNIVERSITAS PADJADJARAN,ILMU KOMUNIKASI PSDKU PANGANDARAN,S1,9,78,11.54
UNIVERSITAS PADJADJARAN,ILMU PEMERINTAHAN,S1,20,489,4.09
UNIVERSITAS PADJADJARAN,ILMU PERPUSTAKAAN,S1,30,442,6.79
UNIVERSITAS PADJADJARAN,ILMU PETERNAKAN,S1,120,774,15.5
UNIVERSITAS PADJADJARAN,ILMU POLITIK,S1,10,225,4.44
UNIVERSITAS PADJADJARAN,ILMU SEJARAH,S1,24,236,10.17
UNIVERSITAS PADJADJARAN,JURNALISTIK,S1,18,386,4.66
UNIVERSITAS PADJADJARAN,KEDOKTERAN HEWAN,S1,13,159,8.18
UNIVERSITAS PADJADJARAN,KEPERAWATAN PSDKU PANGANDARAN,S1,9,168,5.36
UNIVERSITAS PADJADJARAN,KIMIA,S1,25,440,5.68
UNIVERSITAS PADJADJARAN,MANAJEMEN,S1,24,1532,1.57
UNIVERSITAS PADJADJARAN,MANAJEMEN KOMUNIKASI,S1,18,457,3.94
UNIVERSITAS PADJADJARAN,MATEMATIKA,S1,25,446,5.61
UNIVERSITAS PADJADJARAN,PENDIDIKAN DOKTER,S1,63,1591,3.96
UNIVERSITAS PADJADJARAN,PENDIDIKAN DOKTER GIGI,S1,28,767,3.65
UNIVERSITAS PADJADJARAN,PERIKANAN,S1,48,372,12.9
UNIVERSITAS PADJADJARAN,PERIKANAN PSDKU PANGANDARAN,S1,9,41,21.95
UNIVERSITAS PADJADJARAN,PETERNAKAN PSDKU PANGANDARAN,S1,9,42,21.43
UNIVERSITAS PADJADJARAN,PSIKOLOGI,S1,34,2276,1.49
UNIVERSITAS PADJADJARAN,SASTRA ARAB,S1,20,309,6.47
UNIVERSITAS PADJADJARAN,SASTRA INDONESIA,S1,20,364,5.49
UNIVERSITAS PADJADJARAN,SASTRA INGGRIS,S1,20,753,2.66
UNIVERSITAS PADJADJARAN,SASTRA JEPANG,S1,20,415,4.82
UNIVERSITAS PADJADJARAN,SASTRA JERMAN,S1,12,191,6.28
UNIVERSITAS PADJADJARAN,SASTRA PERANCIS,S1,12,156,7.69
UNIVERSITAS PADJADJARAN,SASTRA RUSIA,S1,12,99,12.12
UNIVERSITAS PADJADJARAN,SASTRA SUNDA,S1,24,178,13.48
UNIVERSITAS PADJADJARAN,SOSIOLOGI,S1,10,386,2.59
UNIVERSITAS PADJADJARAN,STATISTIKA,S1,25,677,3.69
UNIVERSITAS PADJADJARAN,TEKNIK ELEKTRO,S1,15,376,3.99
UNIVERSITAS PADJADJARAN,TEKNIK GEOLOGI,S1,35,510,6.86
UNIVERSITAS PADJADJARAN,TEKNIK INFORMATIKA,S1,20,1331,1.5
UNIVERSITAS PADJADJARAN,TEKNIK PERTANIAN,S1,30,323,9.29
UNIVERSITAS PADJADJARAN,TEKNOLOGI INDUSTRI PERTANIAN,S1,18,290,6.21
UNIVERSITAS PADJADJARAN,TEKNOLOGI PANGAN,S1,24,794,3.02
UNIVERSITAS PADJADJARAN,TELEVISI DAN FILM,S1,18,693,2.6
