Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS PALANGKARAYA,AGROTEKNOLOGI,30,118,25.42
UNIVERSITAS PALANGKARAYA,AKUNTANSI,54,266,20.3
UNIVERSITAS PALANGKARAYA,ARSITEKTUR,30,34,88.24
UNIVERSITAS PALANGKARAYA,BIMBINGAN DAN KONSELING,10,54,18.52
UNIVERSITAS PALANGKARAYA,BIOLOGI,15,23,65.22
UNIVERSITAS PALANGKARAYA,BUDIDAYA PERAIRAN,23,17,100.0
UNIVERSITAS PALANGKARAYA,EKONOMI PEMBANGUNAN,36,103,34.95
UNIVERSITAS PALANGKARAYA,FISIKA,9,8,100.0
UNIVERSITAS PALANGKARAYA,ILMU ADMINISTRASI NEGARA,30,258,11.63
UNIVERSITAS PALANGKARAYA,ILMU HUKUM,50,195,25.64
UNIVERSITAS PALANGKARAYA,ILMU PEMERINTAHAN,30,140,21.43
UNIVERSITAS PALANGKARAYA,ILMU SOSIAL EKONOMI PERTANIAN (AGRIBISNIS),20,84,23.81
UNIVERSITAS PALANGKARAYA,KEHUTANAN,60,139,43.17
UNIVERSITAS PALANGKARAYA,KIMIA,12,22,54.55
UNIVERSITAS PALANGKARAYA,MANAJEMEN,52,414,12.56
UNIVERSITAS PALANGKARAYA,MANAJEMEN PENDIDIKAN,8,34,23.53
UNIVERSITAS PALANGKARAYA,MANAJEMEN SUMBERDAYA PERAIRAN,23,35,65.71
UNIVERSITAS PALANGKARAYA,PEND. BAHASA INGGRIS,20,145,13.79
UNIVERSITAS PALANGKARAYA,"PEND. BAHASA, SASTRA INDONESIA & DAERAH",12,93,12.9
UNIVERSITAS PALANGKARAYA,PEND. BIOLOGI,8,55,14.55
UNIVERSITAS PALANGKARAYA,PEND. EKONOMI,8,30,26.67
UNIVERSITAS PALANGKARAYA,PEND. FISIKA,12,15,80.0
UNIVERSITAS PALANGKARAYA,PEND. GURU PEND ANAK USIA DINI (PG PAUD),12,38,31.58
UNIVERSITAS PALANGKARAYA,PEND. GURU SEKOLAH DASAR (PGSD),32,282,11.35
UNIVERSITAS PALANGKARAYA,"PEND. JASMANI, KESEHATAN DAN REKREASI",21,19,100.0
UNIVERSITAS PALANGKARAYA,PEND. KIMIA,18,28,64.29
UNIVERSITAS PALANGKARAYA,PEND. LUAR SEKOLAH,9,7,100.0
UNIVERSITAS PALANGKARAYA,PEND. MATEMATIKA,14,85,16.47
UNIVERSITAS PALANGKARAYA,PEND. PANCASILA & KEWARGANEGARAAN (PPKN),12,20,60.0
UNIVERSITAS PALANGKARAYA,PEND. TEKNIK MESIN,8,10,80.0
UNIVERSITAS PALANGKARAYA,PENDIDIKAN DOKTER,16,237,6.75
UNIVERSITAS PALANGKARAYA,PENDIDIKAN SENDRATASIK,9,12,75.0
UNIVERSITAS PALANGKARAYA,PENDIDIKAN TEKNIK BANGUNAN,12,12,100.0
UNIVERSITAS PALANGKARAYA,PETERNAKAN,15,22,68.18
UNIVERSITAS PALANGKARAYA,SOSIOLOGI,30,75,40.0
UNIVERSITAS PALANGKARAYA,TEKNIK PERANGKAT LUNAK (TEK. INFORMATIKA),18,224,8.04
UNIVERSITAS PALANGKARAYA,TEKNIK PERTAMBANGAN,10,89,11.24
UNIVERSITAS PALANGKARAYA,TEKNIK SIPIL,32,156,20.51
UNIVERSITAS PALANGKARAYA,TEKNOLOGI HASIL PERIKANAN,23,23,100.0
UNIVERSITAS PALANGKARAYA,TEKNOLOGI INDUSTRI PERTANIAN,24,47,51.06
UNIVERSITAS PALANGKARAYA,TEKNOLOGI PENDIDIKAN,16,16,100.0
