Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS PAPUA,AGRIBISNIS,18,4,100.0
UNIVERSITAS PAPUA,AGROTEKNOLOGI,18,3,100.0
UNIVERSITAS PAPUA,AKUNTANSI,24,18,100.0
UNIVERSITAS PAPUA,ANTROPOLOGI,12,6,100.0
UNIVERSITAS PAPUA,BIOLOGI,21,5,100.0
UNIVERSITAS PAPUA,EKONOMI PEMBANGUNAN,24,13,100.0
UNIVERSITAS PAPUA,FISIKA,12,0,100.0
UNIVERSITAS PAPUA,ILMU KELAUTAN,12,3,100.0
UNIVERSITAS PAPUA,ILMU TANAH,18,0,100.0
UNIVERSITAS PAPUA,KEHUTANAN,18,6,100.0
UNIVERSITAS PAPUA,KIMIA,12,3,100.0
UNIVERSITAS PAPUA,MANAJEMEN,24,38,63.16
UNIVERSITAS PAPUA,MANAJEMEN SUMBERDAYA PERAIRAN,12,0,100.0
UNIVERSITAS PAPUA,MATEMATIKA,12,1,100.0
UNIVERSITAS PAPUA,NUTRISI DAN TEKNOLOGI PAKAN TERNAK,12,1,100.0
UNIVERSITAS PAPUA,PENDIDIKAN BAHASA INDONESIA,12,6,100.0
UNIVERSITAS PAPUA,PENDIDIKAN BAHASA INGGRIS,12,5,100.0
UNIVERSITAS PAPUA,PENDIDIKAN BIOLOGI,12,7,100.0
UNIVERSITAS PAPUA,PENDIDIKAN FISIKA,12,1,100.0
UNIVERSITAS PAPUA,PENDIDIKAN KIMIA,12,2,100.0
UNIVERSITAS PAPUA,PENDIDIKAN MATEMATIKA,12,2,100.0
UNIVERSITAS PAPUA,PETERNAKAN,18,1,100.0
UNIVERSITAS PAPUA,SASTRA INGGRIS,12,3,100.0
UNIVERSITAS PAPUA,TEKNIK ELEKTRO,12,3,100.0
UNIVERSITAS PAPUA,TEKNIK GEOLOGI,12,1,100.0
UNIVERSITAS PAPUA,TEKNIK INFORMATIKA,9,26,34.62
UNIVERSITAS PAPUA,TEKNIK PERTAMBANGAN,12,18,66.67
UNIVERSITAS PAPUA,TEKNIK PERTANIAN DAN BIOSISTEM,12,5,100.0
UNIVERSITAS PAPUA,TEKNIK SIPIL,12,10,100.0
UNIVERSITAS PAPUA,TEKNOLOGI HASIL PERTANIAN,18,3,100.0
