Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS SEBELAS MARET,AGRIBISNIS,S1,24,712,3.37
UNIVERSITAS SEBELAS MARET,AGROTEKNOLOGI / AGROEKOTEKNOLOGI,S1,36,776,4.64
UNIVERSITAS SEBELAS MARET,AKUNTANSI,S1,48,1112,4.32
UNIVERSITAS SEBELAS MARET,ARSITEKTUR,S1,24,670,3.58
UNIVERSITAS SEBELAS MARET,BIMBINGAN DAN KONSELING,S1,16,483,3.31
UNIVERSITAS SEBELAS MARET,BIOLOGI,S1,18,285,6.32
UNIVERSITAS SEBELAS MARET,DEMOGRAFI DAN PENCATATAN SIPIL,D4,30,0,100.0
UNIVERSITAS SEBELAS MARET,DESAIN INTERIOR,S1,12,165,7.27
UNIVERSITAS SEBELAS MARET,DESAIN KOMUNIKASI VISUAL,S1,20,367,5.45
UNIVERSITAS SEBELAS MARET,EKONOMI PEMBANGUNAN,S1,48,627,7.66
UNIVERSITAS SEBELAS MARET,FARMASI,S1,12,1088,1.1
UNIVERSITAS SEBELAS MARET,FISIKA,S1,20,165,12.12
UNIVERSITAS SEBELAS MARET,HUBUNGAN INTERNASIONAL,S1,13,331,3.93
UNIVERSITAS SEBELAS MARET,ILMU ADMINISTRASI NEGARA,S1,21,731,2.87
UNIVERSITAS SEBELAS MARET,ILMU DAN TEKNOLOGI PANGAN,S1,20,738,2.71
UNIVERSITAS SEBELAS MARET,ILMU HUKUM,S1,90,1236,7.28
UNIVERSITAS SEBELAS MARET,ILMU KOMUNIKASI,S1,20,1119,1.79
UNIVERSITAS SEBELAS MARET,ILMU LINGKUNGAN,S1,16,305,5.25
UNIVERSITAS SEBELAS MARET,ILMU SEJARAH,S1,15,144,10.42
UNIVERSITAS SEBELAS MARET,ILMU TANAH,S1,24,293,8.19
UNIVERSITAS SEBELAS MARET,INFORMATIKA,S1,16,865,1.85
UNIVERSITAS SEBELAS MARET,KEDOKTERAN,S1,42,1695,2.48
UNIVERSITAS SEBELAS MARET,KESELAMATAN DAN KESEHATAN KERJA,D4,24,0,100.0
UNIVERSITAS SEBELAS MARET,KIMIA,S1,16,250,6.4
UNIVERSITAS SEBELAS MARET,KRIYA SENI (DESAIN TEKSTIL),S1,15,44,34.09
UNIVERSITAS SEBELAS MARET,MANAJEMEN,S1,48,1673,2.87
UNIVERSITAS SEBELAS MARET,MATEMATIKA,S1,16,354,4.52
UNIVERSITAS SEBELAS MARET,"PEND. BAHASA, SASTRA INDONESIA & DAERAH",S1,16,407,3.93
UNIVERSITAS SEBELAS MARET,PEND. GURU PEND ANAK USIA DINI (PG-PAUD),S1,16,190,8.42
UNIVERSITAS SEBELAS MARET,PEND. GURU SEKOLAH DASAR (PGSD) KEBUMEN,S1,24,211,11.37
UNIVERSITAS SEBELAS MARET,PEND. GURU SEKOLAH DASAR (PGSD) SURAKARTA,S1,34,980,3.47
UNIVERSITAS SEBELAS MARET,PEND. PANCASILA & KEWARGANEGARAAN (PPKN),S1,14,248,5.65
UNIVERSITAS SEBELAS MARET,PENDIDIKAN ADMINISTRASI PERKANTORAN,S1,17,381,4.46
UNIVERSITAS SEBELAS MARET,PENDIDIKAN AKUNTANSI,S1,12,212,5.66
UNIVERSITAS SEBELAS MARET,PENDIDIKAN BAHASA INGGRIS,S1,16,348,4.6
UNIVERSITAS SEBELAS MARET,PENDIDIKAN BAHASA JAWA,S1,16,258,6.2
UNIVERSITAS SEBELAS MARET,PENDIDIKAN BIOLOGI,S1,18,326,5.52
UNIVERSITAS SEBELAS MARET,PENDIDIKAN EKONOMI,S1,24,208,11.54
UNIVERSITAS SEBELAS MARET,PENDIDIKAN FISIKA,S1,16,164,9.76
UNIVERSITAS SEBELAS MARET,PENDIDIKAN GEOGRAFI,S1,16,237,6.75
UNIVERSITAS SEBELAS MARET,PENDIDIKAN IPA,S1,16,223,7.17
UNIVERSITAS SEBELAS MARET,"PENDIDIKAN JASMANI, KESEHATAN & REKREASI",S1,24,168,14.29
UNIVERSITAS SEBELAS MARET,PENDIDIKAN KEPELATIHAN OLAHRAGA,S1,29,106,27.36
UNIVERSITAS SEBELAS MARET,PENDIDIKAN KIMIA,S1,16,209,7.66
UNIVERSITAS SEBELAS MARET,PENDIDIKAN LUAR BIASA (PENDIDIKAN KHUSUS),S1,16,217,7.37
UNIVERSITAS SEBELAS MARET,PENDIDIKAN MATEMATIKA,S1,16,488,3.28
UNIVERSITAS SEBELAS MARET,PENDIDIKAN SEJARAH,S1,16,235,6.81
UNIVERSITAS SEBELAS MARET,PENDIDIKAN SENI RUPA,S1,16,58,27.59
UNIVERSITAS SEBELAS MARET,PENDIDIKAN SOSIOLOGI ANTROPOLOGI,S1,14,312,4.49
UNIVERSITAS SEBELAS MARET,PENDIDIKAN TEKNIK BANGUNAN,S1,14,107,13.08
UNIVERSITAS SEBELAS MARET,PENDIDIKAN TEKNIK INFORMATIKA & KOMPUTER,S1,16,379,4.22
UNIVERSITAS SEBELAS MARET,PENDIDIKAN TEKNIK MESIN,S1,16,169,9.47
UNIVERSITAS SEBELAS MARET,PENGELOLAAN HUTAN,S1,16,228,7.02
UNIVERSITAS SEBELAS MARET,PENYULUHAN DAN KOMUNIKASI PERTANIAN,S1,18,320,5.62
UNIVERSITAS SEBELAS MARET,PERENCANAAN WILAYAH DAN KOTA (PWK),S1,16,442,3.62
UNIVERSITAS SEBELAS MARET,PETERNAKAN,S1,24,299,8.03
UNIVERSITAS SEBELAS MARET,PSIKOLOGI,S1,30,1638,1.83
UNIVERSITAS SEBELAS MARET,SASTRA ARAB,S1,16,225,7.11
UNIVERSITAS SEBELAS MARET,SASTRA DAERAH UNTUK SASTRA JAWA,S1,16,105,15.24
UNIVERSITAS SEBELAS MARET,SASTRA INDONESIA,S1,16,236,6.78
UNIVERSITAS SEBELAS MARET,SASTRA INGGRIS,S1,15,324,4.63
UNIVERSITAS SEBELAS MARET,"SENI RUPA MURNI (LUKIS, GRFS, PTNG, KRMIK)",S1,12,27,44.44
UNIVERSITAS SEBELAS MARET,SOSIOLOGI,S1,20,471,4.25
UNIVERSITAS SEBELAS MARET,STATISTIKA,S1,16,557,2.87
UNIVERSITAS SEBELAS MARET,TEKNIK ELEKTRO,S1,16,354,4.52
UNIVERSITAS SEBELAS MARET,TEKNIK INDUSTRI,S1,24,713,3.37
UNIVERSITAS SEBELAS MARET,TEKNIK KIMIA,S1,24,406,5.91
UNIVERSITAS SEBELAS MARET,TEKNIK MESIN,S1,30,650,4.62
UNIVERSITAS SEBELAS MARET,TEKNIK SIPIL,S1,36,1016,3.54
