Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS SULAWESI BARAT,ADMINISTRASI KESEHATAN,16,0,100.0
UNIVERSITAS SULAWESI BARAT,AGRIBISNIS,28,43,65.12
UNIVERSITAS SULAWESI BARAT,AGROEKOTEKNOLOGI,16,0,100.0
UNIVERSITAS SULAWESI BARAT,AKUNTANSI,40,103,38.83
UNIVERSITAS SULAWESI BARAT,BUDIDAYA PERAIRAN,20,8,100.0
UNIVERSITAS SULAWESI BARAT,GIZI,16,0,100.0
UNIVERSITAS SULAWESI BARAT,ILMU HUBUNGAN INTERNASIONAL,20,33,60.61
UNIVERSITAS SULAWESI BARAT,ILMU HUKUM,30,59,50.85
UNIVERSITAS SULAWESI BARAT,ILMU POLITIK,20,10,100.0
UNIVERSITAS SULAWESI BARAT,KEHUTANAN,20,7,100.0
UNIVERSITAS SULAWESI BARAT,KEPERAWATAN,28,26,100.0
UNIVERSITAS SULAWESI BARAT,MANAJEMEN,40,186,21.51
UNIVERSITAS SULAWESI BARAT,MATEMATIKA,16,9,100.0
UNIVERSITAS SULAWESI BARAT,PEND. BHS. INGGRIS,40,45,88.89
UNIVERSITAS SULAWESI BARAT,PEND. BIOLOGI,28,33,84.85
UNIVERSITAS SULAWESI BARAT,PEND. FISIKA,24,10,100.0
UNIVERSITAS SULAWESI BARAT,PEND. MATEMATIKA,24,50,48.0
UNIVERSITAS SULAWESI BARAT,PERENCANAAN WILAYAH DAN KOTA,28,0,100.0
UNIVERSITAS SULAWESI BARAT,PERIKANAN TANGKAP,20,4,100.0
UNIVERSITAS SULAWESI BARAT,PETERNAKAN,20,15,100.0
UNIVERSITAS SULAWESI BARAT,STATISTIKA,16,0,100.0
UNIVERSITAS SULAWESI BARAT,TEKNIK INFORMATIKA,52,102,50.98
UNIVERSITAS SULAWESI BARAT,TEKNIK SIPIL,48,42,100.0
UNIVERSITAS SULAWESI BARAT,TEKNOLOGI HASIL PERTANIAN,16,0,100.0
