Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS SULTAN AGENG TIRTAYASA,ADMINISTRASI PUBLIK,32,568,5.63
UNIVERSITAS SULTAN AGENG TIRTAYASA,AGRIBISNIS,48,518,9.27
UNIVERSITAS SULTAN AGENG TIRTAYASA,AGROEKOTEKNOLOGI,40,353,11.33
UNIVERSITAS SULTAN AGENG TIRTAYASA,AKUNTANSI,32,721,4.44
UNIVERSITAS SULTAN AGENG TIRTAYASA,BIMBINGAN DAN KONSELING,16,427,3.75
UNIVERSITAS SULTAN AGENG TIRTAYASA,EKONOMI PEMBANGUNAN,24,265,9.06
UNIVERSITAS SULTAN AGENG TIRTAYASA,EKONOMI SYARIAH,16,210,7.62
UNIVERSITAS SULTAN AGENG TIRTAYASA,GIZI,8,253,3.16
UNIVERSITAS SULTAN AGENG TIRTAYASA,HUKUM,80,589,13.58
UNIVERSITAS SULTAN AGENG TIRTAYASA,ILMU KEOLAHRAGAAN,8,8,100.0
UNIVERSITAS SULTAN AGENG TIRTAYASA,ILMU KOMUNIKASI,40,910,4.4
UNIVERSITAS SULTAN AGENG TIRTAYASA,ILMU PEMERINTAHAN,24,251,9.56
UNIVERSITAS SULTAN AGENG TIRTAYASA,ILMU PERIKANAN,32,180,17.78
UNIVERSITAS SULTAN AGENG TIRTAYASA,INFORMATIKA,16,0,100.0
UNIVERSITAS SULTAN AGENG TIRTAYASA,KEDOKTERAN,10,118,8.47
UNIVERSITAS SULTAN AGENG TIRTAYASA,KEPERAWATAN,8,0,100.0
UNIVERSITAS SULTAN AGENG TIRTAYASA,MANAJEMEN,32,1187,2.7
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN BAHASA INDONESIA,24,385,6.23
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN BAHASA INGGRIS,24,367,6.54
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN BIOLOGI,24,324,7.41
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN FISIKA,16,146,10.96
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,16,118,13.56
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN GURU SEKOLAH DASAR,24,550,4.36
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN IPA,16,171,9.36
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN KHUSUS,16,77,20.78
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN KIMIA,16,149,10.74
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN MATEMATIKA,24,413,5.81
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN NON FORMAL,24,97,24.74
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,16,142,11.27
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN SEJARAH,16,169,9.47
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN SENI PERTUNJUKAN,16,48,33.33
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN SOSIOLOGI,16,279,5.73
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRO,16,32,50.0
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN VOKASIONAL TEKNIK MESIN,16,32,50.0
UNIVERSITAS SULTAN AGENG TIRTAYASA,TEKNIK ELEKTRO,24,261,9.2
UNIVERSITAS SULTAN AGENG TIRTAYASA,TEKNIK INDUSTRI,24,487,4.93
UNIVERSITAS SULTAN AGENG TIRTAYASA,TEKNIK KIMIA,24,273,8.79
UNIVERSITAS SULTAN AGENG TIRTAYASA,TEKNIK MESIN,24,227,10.57
UNIVERSITAS SULTAN AGENG TIRTAYASA,TEKNIK METALURGI,24,194,12.37
UNIVERSITAS SULTAN AGENG TIRTAYASA,TEKNIK SIPIL,24,321,7.48
UNIVERSITAS SULTAN AGENG TIRTAYASA,TEKNOLOGI PANGAN,24,343,7.0
