Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS SUMATERA UTARA,AGRIBISNIS,60,1002,5.99
UNIVERSITAS SUMATERA UTARA,AGROEKOTEKNOLOGI,90,945,9.52
UNIVERSITAS SUMATERA UTARA,AKUNTANSI,50,1134,4.41
UNIVERSITAS SUMATERA UTARA,ANTROPOLOGI SOSIAL,36,267,13.48
UNIVERSITAS SUMATERA UTARA,ARSITEKTUR,30,614,4.89
UNIVERSITAS SUMATERA UTARA,BIOLOGI,54,383,14.1
UNIVERSITAS SUMATERA UTARA,EKONOMI PEMBANGUNAN,53,516,10.27
UNIVERSITAS SUMATERA UTARA,ETNO MUSIKOLOGI,45,40,100.0
UNIVERSITAS SUMATERA UTARA,FARMASI,31,1368,2.27
UNIVERSITAS SUMATERA UTARA,FISIKA,54,221,24.43
UNIVERSITAS SUMATERA UTARA,ILMU ADMINISTRASI NEGARA,24,836,2.87
UNIVERSITAS SUMATERA UTARA,ILMU ADMINISTRASI NIAGA/BISNIS,24,641,3.74
UNIVERSITAS SUMATERA UTARA,ILMU DAN TEKNOLOGI PANGAN,30,579,5.18
UNIVERSITAS SUMATERA UTARA,ILMU HUKUM,140,1216,11.51
UNIVERSITAS SUMATERA UTARA,ILMU KEPERAWATAN,30,610,4.92
UNIVERSITAS SUMATERA UTARA,ILMU KESEHATAN MASYARAKAT,80,1288,6.21
UNIVERSITAS SUMATERA UTARA,ILMU KESEJAHTERAAN SOSIAL,36,398,9.05
UNIVERSITAS SUMATERA UTARA,ILMU KOMPUTER,30,1238,2.42
UNIVERSITAS SUMATERA UTARA,ILMU KOMUNIKASI,24,698,3.44
UNIVERSITAS SUMATERA UTARA,ILMU PERPUSTAKAAN,32,450,7.11
UNIVERSITAS SUMATERA UTARA,ILMU POLITIK,36,275,13.09
UNIVERSITAS SUMATERA UTARA,ILMU SEJARAH,27,142,19.01
UNIVERSITAS SUMATERA UTARA,KEHUTANAN,100,933,10.72
UNIVERSITAS SUMATERA UTARA,KETEKNIKAN PERTANIAN,30,426,7.04
UNIVERSITAS SUMATERA UTARA,KIMIA,63,348,18.1
UNIVERSITAS SUMATERA UTARA,MANAJEMEN,50,1460,3.42
UNIVERSITAS SUMATERA UTARA,MANAJEMEN SUMBER DAYA PERAIRAN,30,383,7.83
UNIVERSITAS SUMATERA UTARA,MATEMATIKA,54,535,10.09
UNIVERSITAS SUMATERA UTARA,PENDIDIKAN DOKTER,50,981,5.1
UNIVERSITAS SUMATERA UTARA,PENDIDIKAN DOKTER GIGI,30,774,3.88
UNIVERSITAS SUMATERA UTARA,PETERNAKAN,72,409,17.6
UNIVERSITAS SUMATERA UTARA,PSIKOLOGI,75,1063,7.06
UNIVERSITAS SUMATERA UTARA,SASTRA ARAB,60,176,34.09
UNIVERSITAS SUMATERA UTARA,SASTRA CINA,28,65,43.08
UNIVERSITAS SUMATERA UTARA,SASTRA DAERAH UNTUK SASTRA BATAK,20,17,100.0
UNIVERSITAS SUMATERA UTARA,SASTRA DAERAH UNTUK SASTRA MELAYU,35,15,100.0
UNIVERSITAS SUMATERA UTARA,SASTRA INDONESIA,42,265,15.85
UNIVERSITAS SUMATERA UTARA,SASTRA INGGRIS,35,621,5.64
UNIVERSITAS SUMATERA UTARA,SASTRA JEPANG,45,177,25.42
UNIVERSITAS SUMATERA UTARA,SOSIOLOGI,42,402,10.45
UNIVERSITAS SUMATERA UTARA,TEKNIK ELEKTRO,41,556,7.37
UNIVERSITAS SUMATERA UTARA,TEKNIK INDUSTRI,36,812,4.43
UNIVERSITAS SUMATERA UTARA,TEKNIK KIMIA,36,493,7.3
UNIVERSITAS SUMATERA UTARA,TEKNIK LINGKUNGAN,38,348,10.92
UNIVERSITAS SUMATERA UTARA,TEKNIK MESIN,30,500,6.0
UNIVERSITAS SUMATERA UTARA,TEKNIK SIPIL,45,725,6.21
UNIVERSITAS SUMATERA UTARA,TEKNOLOGI INFORMASI,30,1059,2.83
