Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS TADULAKO,ADMINSTRASI NEGARA,60,260,23.08
UNIVERSITAS TADULAKO,AGRIBISNIS,80,158,50.63
UNIVERSITAS TADULAKO,AGROTEKNOLOGI,120,125,96.0
UNIVERSITAS TADULAKO,AGROTEKNOLOGI (PSDKU MOROWALI),18,7,100.0
UNIVERSITAS TADULAKO,AGROTEKNOLOGI (PSDKU TOUNA),20,2,100.0
UNIVERSITAS TADULAKO,ANTROPOLOGI,42,26,100.0
UNIVERSITAS TADULAKO,BIMBINGAN DAN KONSELING,20,48,41.67
UNIVERSITAS TADULAKO,BIOLOGI,10,32,31.25
UNIVERSITAS TADULAKO,BUDIDAYA PERAIRAN,57,16,100.0
UNIVERSITAS TADULAKO,EKONOMI AKUNTANSI,35,411,8.52
UNIVERSITAS TADULAKO,EKONOMI MANAJEMEN,40,544,7.35
UNIVERSITAS TADULAKO,EKONOMI PEMBANGUNAN,30,65,46.15
UNIVERSITAS TADULAKO,FARMASI,20,269,7.43
UNIVERSITAS TADULAKO,FISIKA,10,17,58.82
UNIVERSITAS TADULAKO,GIZI,26,166,15.66
UNIVERSITAS TADULAKO,ILMU HUKUM,130,256,50.78
UNIVERSITAS TADULAKO,ILMU KOMUNIKASI,55,210,26.19
UNIVERSITAS TADULAKO,ILMU PEMERINTAHAN,60,194,30.93
UNIVERSITAS TADULAKO,KEHUTANAN,150,59,100.0
UNIVERSITAS TADULAKO,KESEHATAN MASYARAKAT,75,323,23.22
UNIVERSITAS TADULAKO,KIMIA,15,19,78.95
UNIVERSITAS TADULAKO,MANAJEMEN (PSDKU MOROWALI),36,10,100.0
UNIVERSITAS TADULAKO,MANAJEMEN (PSDKU TOUNA),40,6,100.0
UNIVERSITAS TADULAKO,MATEMATIKA,10,45,22.22
UNIVERSITAS TADULAKO,PEND. BAHASA INDONESIA,50,174,28.74
UNIVERSITAS TADULAKO,PEND. BAHASA INGGRIS,62,212,29.25
UNIVERSITAS TADULAKO,PEND. BIOLOGI,40,80,50.0
UNIVERSITAS TADULAKO,PEND. DOKTER,30,365,8.22
UNIVERSITAS TADULAKO,PEND. FISIKA,40,46,86.96
UNIVERSITAS TADULAKO,PEND. GEOGRAFI,30,62,48.39
UNIVERSITAS TADULAKO,PEND. GURU PAUD,30,62,48.39
UNIVERSITAS TADULAKO,PEND. GURU SEKOLAH DASAR,62,469,13.22
UNIVERSITAS TADULAKO,"PEND. JASMANI, KESEHATAN DAN REKREASI",40,22,100.0
UNIVERSITAS TADULAKO,PEND. KIMIA,40,38,100.0
UNIVERSITAS TADULAKO,PEND. MATEMATIKA,40,130,30.77
UNIVERSITAS TADULAKO,PEND. PANCASILA DAN KEWARGANEGARAAN,25,50,50.0
UNIVERSITAS TADULAKO,PEND. SEJARAH,25,47,53.19
UNIVERSITAS TADULAKO,PERENCANAAN WILAYAH DAN KOTA,25,54,46.3
UNIVERSITAS TADULAKO,PETERNAKAN,82,48,100.0
UNIVERSITAS TADULAKO,SISTEM INFORMASI,10,0,100.0
UNIVERSITAS TADULAKO,SOSIOLOGI,57,85,67.06
UNIVERSITAS TADULAKO,STATISTIKA,10,93,10.75
UNIVERSITAS TADULAKO,TEKNIK ARSITEKTUR,20,105,19.05
UNIVERSITAS TADULAKO,TEKNIK ELEKTRO,20,41,48.78
UNIVERSITAS TADULAKO,TEKNIK GEO FISIKA,10,22,45.45
UNIVERSITAS TADULAKO,TEKNIK GEOLOGI,25,28,89.29
UNIVERSITAS TADULAKO,TEKNIK INFORMATIKA,20,247,8.1
UNIVERSITAS TADULAKO,TEKNIK LINGKUNGAN,20,0,100.0
UNIVERSITAS TADULAKO,TEKNIK MESIN,20,29,68.97
UNIVERSITAS TADULAKO,TEKNIK SIPIL,40,194,20.62
UNIVERSITAS TADULAKO,TEKNIK SIPIL (PSDKU MOROWALI),18,3,100.0
UNIVERSITAS TADULAKO,TEKNIK SIPIL (PSDKU TOUNA),20,2,100.0
