Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS TANJUNGPURA,AGROTEKNOLOGI,60,190,31.58
UNIVERSITAS TANJUNGPURA,AKUNTANSI,62,716,8.66
UNIVERSITAS TANJUNGPURA,AKUNTANSI (KELAS INTERNASIONAL),10,50,20.0
UNIVERSITAS TANJUNGPURA,ANTROPOLOGI SOSIAL,27,41,65.85
UNIVERSITAS TANJUNGPURA,BIOLOGI,34,101,33.66
UNIVERSITAS TANJUNGPURA,EKONOMI ISLAM,16,103,15.53
UNIVERSITAS TANJUNGPURA,EKONOMI PEMBANGUAN,62,276,22.46
UNIVERSITAS TANJUNGPURA,FARMASI,24,569,4.22
UNIVERSITAS TANJUNGPURA,FISIKA,20,27,74.07
UNIVERSITAS TANJUNGPURA,GEOFISIKA,20,32,62.5
UNIVERSITAS TANJUNGPURA,ILMU ADMINISTRASI NEGARA,45,520,8.65
UNIVERSITAS TANJUNGPURA,ILMU DAN TEKNOLOGI PANGAN,20,113,17.7
UNIVERSITAS TANJUNGPURA,ILMU HUBUNGAN INTERNASIONAL,45,228,19.74
UNIVERSITAS TANJUNGPURA,ILMU HUKUM,96,533,18.01
UNIVERSITAS TANJUNGPURA,ILMU KELAUTAN,20,25,80.0
UNIVERSITAS TANJUNGPURA,ILMU KOMUNIKASI,15,247,6.07
UNIVERSITAS TANJUNGPURA,ILMU PEMERINTAHAN,45,367,12.26
UNIVERSITAS TANJUNGPURA,ILMU POLITIK,45,70,64.29
UNIVERSITAS TANJUNGPURA,ILMU SOSIATRI/PEM. MASYARAKAT,45,70,64.29
UNIVERSITAS TANJUNGPURA,ILMU TANAH,24,38,63.16
UNIVERSITAS TANJUNGPURA,KEHUTANAN,135,352,38.35
UNIVERSITAS TANJUNGPURA,KEPERAWATAN,20,201,9.95
UNIVERSITAS TANJUNGPURA,KIMIA,34,73,46.58
UNIVERSITAS TANJUNGPURA,MANAJEMEN,62,1121,5.53
UNIVERSITAS TANJUNGPURA,MANAJEMEN (KELAS INTERNASIONAL),10,89,11.24
UNIVERSITAS TANJUNGPURA,MANAJEMEN SUMBER PERAIRAN,12,0,100.0
UNIVERSITAS TANJUNGPURA,MATEMATIKA,20,86,23.26
UNIVERSITAS TANJUNGPURA,PEND. BAHASA INGGRIS,20,357,5.6
UNIVERSITAS TANJUNGPURA,PEND. BAHASA MANDARIN,12,57,21.05
UNIVERSITAS TANJUNGPURA,"PEND. BAHASA, SASTRA INDONESIA & DAERAH",15,208,7.21
UNIVERSITAS TANJUNGPURA,PEND. BIMBINGAN KONSELING,12,95,12.63
UNIVERSITAS TANJUNGPURA,PEND. BIOLOGI,22,121,18.18
UNIVERSITAS TANJUNGPURA,PEND. DOKTER,18,350,5.14
UNIVERSITAS TANJUNGPURA,PEND. EKONOMI,15,70,21.43
UNIVERSITAS TANJUNGPURA,PEND. FISIKA,22,61,36.07
UNIVERSITAS TANJUNGPURA,PEND. GURU PEND. ANAK USIA DINI (PGPAUD),12,94,12.77
UNIVERSITAS TANJUNGPURA,PEND. GURU SEKOLAH DASAR (PGSD),20,973,2.06
UNIVERSITAS TANJUNGPURA,"PEND. JASMANI,KESEHATAN & REKREASI",17,20,85.0
UNIVERSITAS TANJUNGPURA,PEND. KIMIA,22,80,27.5
UNIVERSITAS TANJUNGPURA,PEND. MATEMATIKA,22,225,9.78
UNIVERSITAS TANJUNGPURA,PEND. SENI TARI DAN MUSIK,17,16,100.0
UNIVERSITAS TANJUNGPURA,PEND. SOSIOLOGI,15,140,10.71
UNIVERSITAS TANJUNGPURA,PENDIDIKAN GEOGRAFI,15,88,17.05
UNIVERSITAS TANJUNGPURA,PENDIDIKAN IPS,15,60,25.0
UNIVERSITAS TANJUNGPURA,PENDIDIKAN KEPELATIHAN OLAHRAGA,15,10,100.0
UNIVERSITAS TANJUNGPURA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,15,48,31.25
UNIVERSITAS TANJUNGPURA,PENDIDIKAN SEJARAH,15,62,24.19
UNIVERSITAS TANJUNGPURA,PERENCANAAN WILAYAH KOTA,8,78,10.26
UNIVERSITAS TANJUNGPURA,PETERNAKAN,12,26,46.15
UNIVERSITAS TANJUNGPURA,SISTEM INFORMASI,20,178,11.24
UNIVERSITAS TANJUNGPURA,SISTEM KOMPUTER,34,176,19.32
UNIVERSITAS TANJUNGPURA,SOSIAL EKONOMI PERTANIAN (AGRIBISNIS),30,298,10.07
UNIVERSITAS TANJUNGPURA,SOSIOLOGI,45,125,36.0
UNIVERSITAS TANJUNGPURA,STATISTIK,20,180,11.11
UNIVERSITAS TANJUNGPURA,TEKNIK ARSITEKTUR,12,122,9.84
UNIVERSITAS TANJUNGPURA,TEKNIK ELEKTRO,24,105,22.86
UNIVERSITAS TANJUNGPURA,TEKNIK INDUSTRI,14,70,20.0
UNIVERSITAS TANJUNGPURA,TEKNIK INFORMATIKA,14,361,3.88
UNIVERSITAS TANJUNGPURA,TEKNIK KELAUTAN,8,9,88.89
UNIVERSITAS TANJUNGPURA,TEKNIK KIMIA,8,26,30.77
UNIVERSITAS TANJUNGPURA,TEKNIK LINGKUNGAN,18,133,13.53
UNIVERSITAS TANJUNGPURA,TEKNIK MESIN,8,45,17.78
UNIVERSITAS TANJUNGPURA,TEKNIK PERTAMBANGAN,10,63,15.87
UNIVERSITAS TANJUNGPURA,TEKNIK SIPIL,32,324,9.88
