Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS TIDAR,AGROTEKNOLOGI,30,334,8.98
UNIVERSITAS TIDAR,AKUAKULTUR,30,103,29.13
UNIVERSITAS TIDAR,AKUNTANSI,40,216,18.52
UNIVERSITAS TIDAR,EKONOMI PEMBANGUNAN,40,335,11.94
UNIVERSITAS TIDAR,HUKUM,40,165,24.24
UNIVERSITAS TIDAR,ILMU ADMINISTRASI NEGARA,40,390,10.26
UNIVERSITAS TIDAR,ILMU KOMUNIKASI,40,306,13.07
UNIVERSITAS TIDAR,MANAJEMEN,40,368,10.87
UNIVERSITAS TIDAR,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,40,338,11.83
UNIVERSITAS TIDAR,PENDIDIKAN BAHASA INGGRIS,40,212,18.87
UNIVERSITAS TIDAR,PENDIDIKAN BIOLOGI,32,163,19.63
UNIVERSITAS TIDAR,PENDIDIKAN ILMU PENGETAHUAN ALAM,32,252,12.7
UNIVERSITAS TIDAR,PENDIDIKAN MATEMATIKA,32,209,15.31
UNIVERSITAS TIDAR,PETERNAKAN,30,121,24.79
UNIVERSITAS TIDAR,TEKNIK ELEKTRO,32,181,17.68
UNIVERSITAS TIDAR,TEKNIK MESIN,32,200,16.0
UNIVERSITAS TIDAR,TEKNIK SIPIL,32,321,9.97
