Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS UDAYANA,ADMINISTRASI NEGARA,S1,24,343,7.0
UNIVERSITAS UDAYANA,AGRIBISNIS,S1,60,322,18.63
UNIVERSITAS UDAYANA,AGROEKOTEKNOLOGI,S1,60,219,27.4
UNIVERSITAS UDAYANA,AKUNTANSI,S1,90,1143,7.87
UNIVERSITAS UDAYANA,ANTROPOLOGI BUDAYA,S1,15,55,27.27
UNIVERSITAS UDAYANA,ARKEOLOGI,S1,15,45,33.33
UNIVERSITAS UDAYANA,ARSITEKTUR,S1,36,278,12.95
UNIVERSITAS UDAYANA,ARSITEKTUR LANSKAP,S1,12,60,20.0
UNIVERSITAS UDAYANA,BIOLOGI,S1,21,74,28.38
UNIVERSITAS UDAYANA,EKONOMI PEMBANGUNAN,S1,90,314,28.66
UNIVERSITAS UDAYANA,FARMASI,S1,30,778,3.86
UNIVERSITAS UDAYANA,FISIKA,S1,18,32,56.25
UNIVERSITAS UDAYANA,FISIOTERAPI,S1,18,263,6.84
UNIVERSITAS UDAYANA,HUBUNGAN INTERNASIONAL,S1,24,378,6.35
UNIVERSITAS UDAYANA,ILMU HUKUM,S1,156,683,22.84
UNIVERSITAS UDAYANA,ILMU KELAUTAN,S1,30,145,20.69
UNIVERSITAS UDAYANA,ILMU KESEHATAN MASYARAKAT,S1,45,480,9.38
UNIVERSITAS UDAYANA,ILMU KOMPUTER/TEKNIK INFORMATIKA,S1,36,483,7.45
UNIVERSITAS UDAYANA,ILMU KOMUNIKASI,S1,24,326,7.36
UNIVERSITAS UDAYANA,ILMU POLITIK,S1,24,100,24.0
UNIVERSITAS UDAYANA,ILMU SEJARAH,S1,15,39,38.46
UNIVERSITAS UDAYANA,INDUSTRI PERJALANAN WISATA,S1,36,292,12.33
UNIVERSITAS UDAYANA,KEDOKTERAN,S1,75,1180,6.36
UNIVERSITAS UDAYANA,KEDOKTERAN GIGI,S1,30,347,8.65
UNIVERSITAS UDAYANA,KEDOKTERAN HEWAN,S1,45,220,20.45
UNIVERSITAS UDAYANA,KEPERAWATAN,S1,27,375,7.2
UNIVERSITAS UDAYANA,KIMIA,S1,24,70,34.29
UNIVERSITAS UDAYANA,MANAJEMEN,S1,90,1403,6.41
UNIVERSITAS UDAYANA,MANAJEMEN SUMBER DAYA PERAIRAN,S1,30,85,35.29
UNIVERSITAS UDAYANA,MATEMATIKA,S1,30,136,22.06
UNIVERSITAS UDAYANA,PARIWISATA,S1,36,532,6.77
UNIVERSITAS UDAYANA,PENGELOLAAN PERHOTELAN,D4,30,0,100.0
UNIVERSITAS UDAYANA,PETERNAKAN,S1,60,112,53.57
UNIVERSITAS UDAYANA,PSIKOLOGI,S1,36,383,9.4
UNIVERSITAS UDAYANA,SASTRA BALI,S1,15,34,44.12
UNIVERSITAS UDAYANA,SASTRA INDONESIA,S1,20,41,48.78
UNIVERSITAS UDAYANA,SASTRA INGGRIS,S1,60,474,12.66
UNIVERSITAS UDAYANA,SASTRA JAWA KUNO,S1,6,10,60.0
UNIVERSITAS UDAYANA,SASTRA JEPANG,S1,27,95,28.42
UNIVERSITAS UDAYANA,SOSIOLOGI,S1,24,98,24.49
UNIVERSITAS UDAYANA,TEKNIK ELEKTRO,S1,48,192,25.0
UNIVERSITAS UDAYANA,TEKNIK INDUSTRI,S1,18,53,33.96
UNIVERSITAS UDAYANA,TEKNIK LINGKUNGAN,S1,18,35,51.43
UNIVERSITAS UDAYANA,TEKNIK MESIN,S1,54,146,36.99
UNIVERSITAS UDAYANA,TEKNIK PERTANIAN DAN BIOSISTEM,S1,18,49,36.73
UNIVERSITAS UDAYANA,TEKNIK SIPIL,S1,54,419,12.89
UNIVERSITAS UDAYANA,TEKNOLOGI INDUSTRI PERTANIAN,S1,24,77,31.17
UNIVERSITAS UDAYANA,TEKNOLOGI INFORMASI,S1,48,423,11.35
UNIVERSITAS UDAYANA,TEKNOLOGI PANGAN,S1,24,195,12.31
