Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
"UPN ""VETERAN"" JAKARTA",AKUNTANSI,48,1076,4.46
"UPN ""VETERAN"" JAKARTA",EKONOMI PEMBANGUNAN,24,353,6.8
"UPN ""VETERAN"" JAKARTA",EKONOMI SYARIAH,16,325,4.92
"UPN ""VETERAN"" JAKARTA",FARMASI,12,306,3.92
"UPN ""VETERAN"" JAKARTA",GIZI,21,1037,2.03
"UPN ""VETERAN"" JAKARTA",HUBUNGAN INTERNASIONAL,48,645,7.44
"UPN ""VETERAN"" JAKARTA",HUKUM,70,761,9.2
"UPN ""VETERAN"" JAKARTA",ILMU KOMUNIKASI,64,1876,3.41
"UPN ""VETERAN"" JAKARTA",ILMU POLITIK,40,351,11.4
"UPN ""VETERAN"" JAKARTA",INFORMATIKA,35,745,4.7
"UPN ""VETERAN"" JAKARTA",KEDOKTERAN,30,846,3.55
"UPN ""VETERAN"" JAKARTA",KEPERAWATAN,28,823,3.4
"UPN ""VETERAN"" JAKARTA",KESEHATAN MASYARAKAT,28,843,3.32
"UPN ""VETERAN"" JAKARTA",MANAJEMEN,56,1815,3.09
"UPN ""VETERAN"" JAKARTA",SISTEM INFORMASI,35,767,4.56
"UPN ""VETERAN"" JAKARTA",TEKNIK ELEKTRO,21,175,12.0
"UPN ""VETERAN"" JAKARTA",TEKNIK INDUSTRI,21,453,4.64
"UPN ""VETERAN"" JAKARTA",TEKNIK MESIN,21,260,8.08
"UPN ""VETERAN"" JAKARTA",TEKNIK PERKAPALAN,14,143,9.79
