Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
"UPN ""VETERAN"" YOGYAKARTA",AGRIBISNIS,24,422,5.69
"UPN ""VETERAN"" YOGYAKARTA",AGROTEKNOLOGI,70,736,9.51
"UPN ""VETERAN"" YOGYAKARTA",AKUNTANSI,60,714,8.4
"UPN ""VETERAN"" YOGYAKARTA",EKONOMI PEMBANGUNAN,32,363,8.82
"UPN ""VETERAN"" YOGYAKARTA",HUBUNGAN MASYARAKAT,32,277,11.55
"UPN ""VETERAN"" YOGYAKARTA",ILMU ADMINISTRASI BISNIS,36,580,6.21
"UPN ""VETERAN"" YOGYAKARTA",ILMU HUBUNGAN INTERNASIONAL,40,458,8.73
"UPN ""VETERAN"" YOGYAKARTA",ILMU KOMUNIKASI,40,997,4.01
"UPN ""VETERAN"" YOGYAKARTA",ILMU TANAH,24,206,11.65
"UPN ""VETERAN"" YOGYAKARTA",MANAJEMEN,73,1128,6.47
"UPN ""VETERAN"" YOGYAKARTA",METALURGI,16,99,16.16
"UPN ""VETERAN"" YOGYAKARTA",SISTEM INFORMASI,20,246,8.13
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK GEOFISIKA,18,185,9.73
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK GEOLOGI,31,432,7.18
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK GEOMATIKA,15,104,14.42
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK INDUSTRI,32,565,5.66
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK INFORMATIKA,40,884,4.52
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK KIMIA,32,301,10.63
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK LINGKUNGAN,25,386,6.48
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK PERMINYAKAN,34,724,4.7
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK PERTAMBANGAN,34,905,3.76
