Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
"UPN ""VETERAN"" YOGYAKARTA",MANAJEMEN,73,1128,6.47
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK PERTAMBANGAN,34,905,3.76
"UPN ""VETERAN"" YOGYAKARTA",ILMU KOMUNIKASI,40,997,4.01
"UPN ""VETERAN"" YOGYAKARTA",ILMU ADMINISTRASI BISNIS,36,580,6.21
"UPN ""VETERAN"" YOGYAKARTA",ILMU HUBUNGAN INTERNASIONAL,40,458,8.73
"UPN ""VETERAN"" YOGYAKARTA",EKONOMI PEMBANGUNAN,32,363,8.82
"UPN ""VETERAN"" YOGYAKARTA",AKUNTANSI,60,714,8.4
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK GEOMATIKA,15,104,14.42
"UPN ""VETERAN"" YOGYAKARTA",SISTEM INFORMASI,20,246,8.13
"UPN ""VETERAN"" YOGYAKARTA",ILMU TANAH,24,206,11.65
"UPN ""VETERAN"" YOGYAKARTA",METALURGI,16,99,16.16
"UPN ""VETERAN"" YOGYAKARTA",AGRIBISNIS,24,422,5.69
"UPN ""VETERAN"" YOGYAKARTA",AGROTEKNOLOGI,70,736,9.51
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK INFORMATIKA,40,884,4.52
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK INDUSTRI,32,565,5.66
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK KIMIA,32,301,10.63
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK GEOFISIKA,18,185,9.73
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK LINGKUNGAN,25,386,6.48
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK PERMINYAKAN,34,724,4.7
"UPN ""VETERAN"" YOGYAKARTA",HUBUNGAN MASYARAKAT,32,277,11.55
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK GEOLOGI,31,432,7.18
"UPN ""VETERAN"" JAWA TIMUR",AGROTEKNOLOGI,56,492,11.38
"UPN ""VETERAN"" JAWA TIMUR",ILMU KOMUNIKASI,66,732,9.02
"UPN ""VETERAN"" JAWA TIMUR",DESAIN KOMUNIKASI VISUAL,32,174,18.39
"UPN ""VETERAN"" JAWA TIMUR",SAINS DATA,16,0,100.0
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK MESIN,16,0,100.0
"UPN ""VETERAN"" JAWA TIMUR",EKONOMI PEMBANGUNAN,46,359,12.81
"UPN ""VETERAN"" JAWA TIMUR",MANAJEMEN,90,1021,8.81
"UPN ""VETERAN"" JAWA TIMUR",AKUNTANSI,72,628,11.46
"UPN ""VETERAN"" JAWA TIMUR",ADMINISTRASI PUBLIK,60,455,13.19
"UPN ""VETERAN"" JAWA TIMUR",ADMINISTRASI BISNIS,64,694,9.22
"UPN ""VETERAN"" JAWA TIMUR",ILMU HUBUNGAN INTERNASIONAL,36,252,14.29
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK KIMIA,56,477,11.74
"UPN ""VETERAN"" JAWA TIMUR",HUKUM,66,412,16.02
"UPN ""VETERAN"" JAWA TIMUR",PARIWISATA,16,0,100.0
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK LINGKUNGAN,30,396,7.58
"UPN ""VETERAN"" JAWA TIMUR",ARSITEKTUR,28,299,9.36
"UPN ""VETERAN"" JAWA TIMUR",SISTEM INFORMASI,48,569,8.44
"UPN ""VETERAN"" JAWA TIMUR",INFORMATIKA,66,621,10.63
"UPN ""VETERAN"" JAWA TIMUR",TEKNOLOGI PANGAN,28,468,5.98
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK INDUSTRI,50,591,8.46
"UPN ""VETERAN"" JAWA TIMUR",AGRIBISNIS,46,533,8.63
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK SIPIL,28,410,6.83
"UPN ""VETERAN"" JAKARTA",KEPERAWATAN,28,823,3.4
"UPN ""VETERAN"" JAKARTA",MANAJEMEN,56,1815,3.09
"UPN ""VETERAN"" JAKARTA",TEKNIK PERKAPALAN,14,143,9.79
"UPN ""VETERAN"" JAKARTA",TEKNIK INDUSTRI,21,453,4.64
"UPN ""VETERAN"" JAKARTA",INFORMATIKA,35,745,4.7
"UPN ""VETERAN"" JAKARTA",SISTEM INFORMASI,35,767,4.56
"UPN ""VETERAN"" JAKARTA",KEDOKTERAN,30,846,3.55
"UPN ""VETERAN"" JAKARTA",TEKNIK MESIN,21,260,8.08
"UPN ""VETERAN"" JAKARTA",KESEHATAN MASYARAKAT,28,843,3.32
"UPN ""VETERAN"" JAKARTA",GIZI,21,1037,2.03
"UPN ""VETERAN"" JAKARTA",FARMASI,12,306,3.92
"UPN ""VETERAN"" JAKARTA",TEKNIK ELEKTRO,21,175,12.0
"UPN ""VETERAN"" JAKARTA",AKUNTANSI,48,1076,4.46
"UPN ""VETERAN"" JAKARTA",HUBUNGAN INTERNASIONAL,48,645,7.44
"UPN ""VETERAN"" JAKARTA",ILMU KOMUNIKASI,64,1876,3.41
"UPN ""VETERAN"" JAKARTA",HUKUM,70,761,9.2
"UPN ""VETERAN"" JAKARTA",EKONOMI PEMBANGUNAN,24,353,6.8
"UPN ""VETERAN"" JAKARTA",EKONOMI SYARIAH,16,325,4.92
"UPN ""VETERAN"" JAKARTA",ILMU POLITIK,40,351,11.4
UNIVERSITAS UDAYANA,PSIKOLOGI,36,383,9.4
UNIVERSITAS UDAYANA,PARIWISATA,36,532,6.77
UNIVERSITAS UDAYANA,INDUSTRI PERJALANAN WISATA,36,292,12.33
UNIVERSITAS UDAYANA,SASTRA JEPANG,27,95,28.42
UNIVERSITAS UDAYANA,SASTRA BALI,15,34,44.12
UNIVERSITAS UDAYANA,HUBUNGAN INTERNASIONAL,24,378,6.35
UNIVERSITAS UDAYANA,SOSIOLOGI,24,98,24.49
UNIVERSITAS UDAYANA,TEKNOLOGI INFORMASI,48,423,11.35
UNIVERSITAS UDAYANA,ADMINISTRASI NEGARA,24,343,7.0
UNIVERSITAS UDAYANA,ILMU KOMUNIKASI,24,326,7.36
UNIVERSITAS UDAYANA,SASTRA INDONESIA,20,41,48.78
UNIVERSITAS UDAYANA,ILMU POLITIK,24,100,24.0
UNIVERSITAS UDAYANA,ARSITEKTUR,36,278,12.95
UNIVERSITAS UDAYANA,KEDOKTERAN HEWAN,45,220,20.45
UNIVERSITAS UDAYANA,SASTRA JAWA KUNO,6,10,60.0
UNIVERSITAS UDAYANA,MANAJEMEN,90,1403,6.41
UNIVERSITAS UDAYANA,ILMU KOMPUTER/TEKNIK INFORMATIKA,36,483,7.45
UNIVERSITAS UDAYANA,AKUNTANSI,90,1143,7.87
UNIVERSITAS UDAYANA,KEPERAWATAN,27,375,7.2
UNIVERSITAS UDAYANA,FARMASI,30,778,3.86
UNIVERSITAS UDAYANA,ILMU KESEHATAN MASYARAKAT,45,480,9.38
UNIVERSITAS UDAYANA,MATEMATIKA,30,136,22.06
UNIVERSITAS UDAYANA,PETERNAKAN,60,112,53.57
UNIVERSITAS UDAYANA,AGROEKOTEKNOLOGI,60,219,27.4
UNIVERSITAS UDAYANA,AGRIBISNIS,60,322,18.63
UNIVERSITAS UDAYANA,TEKNIK ELEKTRO,48,192,25.0
UNIVERSITAS UDAYANA,TEKNIK MESIN,54,146,36.99
UNIVERSITAS UDAYANA,FISIKA,18,32,56.25
UNIVERSITAS UDAYANA,KIMIA,24,70,34.29
UNIVERSITAS UDAYANA,BIOLOGI,21,74,28.38
UNIVERSITAS UDAYANA,TEKNIK PERTANIAN DAN BIOSISTEM,18,49,36.73
UNIVERSITAS UDAYANA,TEKNOLOGI INDUSTRI PERTANIAN,24,77,31.17
UNIVERSITAS UDAYANA,TEKNOLOGI PANGAN,24,195,12.31
UNIVERSITAS UDAYANA,TEKNIK SIPIL,54,419,12.89
UNIVERSITAS UDAYANA,FISIOTERAPI,18,263,6.84
UNIVERSITAS UDAYANA,ILMU KELAUTAN,30,145,20.69
UNIVERSITAS UDAYANA,ARSITEKTUR LANSKAP,12,60,20.0
UNIVERSITAS UDAYANA,MANAJEMEN SUMBER DAYA PERAIRAN,30,85,35.29
UNIVERSITAS UDAYANA,KEDOKTERAN GIGI,30,347,8.65
UNIVERSITAS UDAYANA,TEKNIK LINGKUNGAN,18,0,100.0
UNIVERSITAS UDAYANA,TEKNIK INDUSTRI,18,0,100.0
UNIVERSITAS UDAYANA,PENGELOLAAN PERHOTELAN,30,0,100.0
UNIVERSITAS UDAYANA,ARKEOLOGI,15,45,33.33
UNIVERSITAS UDAYANA,ANTROPOLOGI BUDAYA,15,55,27.27
UNIVERSITAS UDAYANA,ILMU SEJARAH,15,39,38.46
UNIVERSITAS UDAYANA,ILMU HUKUM,156,683,22.84
UNIVERSITAS UDAYANA,EKONOMI PEMBANGUNAN,90,314,28.66
UNIVERSITAS UDAYANA,SASTRA INGGRIS,60,474,12.66
UNIVERSITAS UDAYANA,KEDOKTERAN,75,1180,6.36
UNIVERSITAS TRUNOJOYO MADURA,EKONOMI PEMBANGUNAN,68,197,34.52
UNIVERSITAS TRUNOJOYO MADURA,SASTRA INGGRIS,54,148,36.49
UNIVERSITAS TRUNOJOYO MADURA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,54,329,16.41
UNIVERSITAS TRUNOJOYO MADURA,EKONOMI SYARIAH,72,247,29.15
UNIVERSITAS TRUNOJOYO MADURA,HUKUM BISNIS SYARIAH,48,88,54.55
UNIVERSITAS TRUNOJOYO MADURA,PGSD,54,621,8.7
UNIVERSITAS TRUNOJOYO MADURA,PSIKOLOGI,54,419,12.89
UNIVERSITAS TRUNOJOYO MADURA,AGROEKOTEKNOLOGI,54,219,24.66
UNIVERSITAS TRUNOJOYO MADURA,AKUNTANSI,79,456,17.32
UNIVERSITAS TRUNOJOYO MADURA,MANAJEMEN,92,775,11.87
UNIVERSITAS TRUNOJOYO MADURA,ILMU KOMUNIKASI,54,331,16.31
UNIVERSITAS TRUNOJOYO MADURA,SOSIOLOGI,54,257,21.01
UNIVERSITAS TRUNOJOYO MADURA,ILMU HUKUM,120,375,32.0
UNIVERSITAS TRUNOJOYO MADURA,AGRIBISNIS,54,310,17.42
UNIVERSITAS TRUNOJOYO MADURA,SISTEM INFORMASI,60,160,37.5
UNIVERSITAS TRUNOJOYO MADURA,TEKNIK MEKATRONIKA,24,52,46.15
UNIVERSITAS TRUNOJOYO MADURA,TEKNIK MESIN,24,89,26.97
UNIVERSITAS TRUNOJOYO MADURA,MANAJEMEN SUMBERDAYA PERAIRAN,36,101,35.64
UNIVERSITAS TRUNOJOYO MADURA,PENDIDIKAN ILMU PENGETAHUAN ALAM,54,271,19.93
UNIVERSITAS TRUNOJOYO MADURA,PENDIDIKAN INFORMATIKA,54,154,35.06
UNIVERSITAS TRUNOJOYO MADURA,TEKNIK ELEKTRO,36,108,33.33
UNIVERSITAS TRUNOJOYO MADURA,TEKNIK INFORMATIKA,60,422,14.22
UNIVERSITAS TRUNOJOYO MADURA,TEKNIK INDUSTRI,60,297,20.2
UNIVERSITAS TRUNOJOYO MADURA,ILMU KELAUTAN,54,166,32.53
UNIVERSITAS TRUNOJOYO MADURA,PENDIDIKAN GURU ANAK USIA DINI,54,133,40.6
UNIVERSITAS TRUNOJOYO MADURA,TEKNOLOGI INDUSTRI PERTANIAN,54,173,31.21
UNIVERSITAS TIMOR,MATEMATIKA,12,8,100.0
UNIVERSITAS TIMOR,TEKNOLOGI INFORMASI,20,23,86.96
